TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,8.075000e-01,1.615000e+00,1.0,0.0,2.49999e-06,0.0078219,4.016339,2.0,5.379107,1.362768,5.4795184,2.952232,8.4348545,1.0,8.435002,9.043825,5.027486,9.043991,9.853327,--
2,2,6,2,3,2.422500e+00,2.422500e+00,1.0,1.0,--,--,9.869675,1.0,10.9124,1.0427256,11.012761,4.0797744,15.09447,1.0,15.094587,15.700853,5.8311787,15.700991,18.125574,--
3,3,8,3,2,2.422500e+00,2.422500e+00,1.0,2.0,--,--,18.136644,2.0,19.079216,0.9425733,19.179575,4.179927,23.361814,5.0,23.361933,23.970411,5.833768,23.97055,26.395727,--
4,4,6,2,3,8.882500e+00,2.422500e+00,1.0,3.0,--,--,26.40898,1.0,26.929718,0.5207382,27.030067,4.601762,31.63373,3.0,31.633848,32.240696,5.8317165,32.240833,41.125782,--
5,5,7,3,1,8.075000e-01,2.422500e+00,1.0,4.0,--,--,41.1289,1.0,42.07929,0.9503914,42.179657,4.1721087,46.353756,9.0,46.353867,46.959824,5.8309245,46.95996,47.769264,--
6,6,4,2,1,8.075000e-01,8.075000e-01,1.0,5.0,--,--,47.781292,2.0,48.828953,1.0476631,48.929306,2.459837,51.3907,2.0,51.39082,51.99681,4.2155223,51.99695,52.806656,--
7,7,9,3,3,8.075000e-01,8.075000e-01,1.0,6.0,--,--,52.80987,1.0,54.16217,1.3523005,54.262527,2.1551995,56.42069,4.0,56.420803,57.02857,4.218695,57.028706,57.83825,--
8,8,1,1,1,2.422500e+00,8.075000e-01,1.0,7.0,--,--,57.84266,2.0,58.679085,0.8364239,58.779434,2.671076,61.45269,4.0,61.452805,62.058796,4.216136,62.058933,64.4837,--
9,9,4,2,1,8.075000e-01,8.075000e-01,1.0,8.0,--,--,64.497406,1.0,65.02897,0.5315605,65.12936,2.9759395,68.10769,9.0,68.1078,68.711685,4.2142773,68.711815,69.52157,--
10,10,4,2,1,2.422500e+00,2.422500e+00,1.0,9.0,--,--,69.53296,2.0,70.9959,1.4629416,71.09627,3.6595583,74.7587,4.0,74.75881,75.36341,5.830454,75.36355,77.78803,--
11,11,6,2,3,8.075000e-01,1.615000e+00,1.0,10.0,--,--,77.800415,1.0,78.8456,1.0451843,78.94595,3.2698157,82.21764,1.0,82.21776,82.82385,5.023439,82.82399,83.633675,--
12,12,9,3,3,8.075000e-01,1.615000e+00,1.0,11.0,--,--,83.636765,1.0,84.99614,1.359378,85.09653,2.955622,88.05383,2.0,88.053955,88.65877,5.022006,88.65891,89.46879,--
13,13,7,3,1,5.652500e+00,8.075000e-01,1.0,12.0,--,--,89.470764,2.0,90.2124,0.7416363,90.31276,2.7658637,93.08098,4.0,93.08109,93.68665,4.2158875,93.686806,99.341156,--
14,14,1,1,1,8.075000e-01,8.075000e-01,1.0,13.0,--,--,99.34442,1.0,100.079094,0.7346769,100.17944,2.772823,102.95396,8.0,102.95407,103.55907,4.2146482,103.559204,104.36847,--
15,15,6,2,3,8.075000e-01,2.422500e+00,1.0,14.0,--,--,104.38266,2.0,105.32882,0.9461625,105.42921,4.1763377,109.60869,8.0,109.6088,110.21423,5.8315783,110.21437,111.02547,--
16,16,3,1,3,8.075000e-01,2.422500e+00,1.0,15.0,--,--,111.02907,1.0,111.66217,0.6330964,111.76252,4.4894037,116.254616,4.0,116.25484,116.85981,5.830739,116.85995,117.66969,--
17,17,6,2,3,2.422500e+00,2.422500e+00,1.0,16.0,--,--,117.68303,1.0,118.92892,1.2458847,119.02927,3.8766153,122.90853,2.0,122.908646,123.51378,5.830747,123.513916,125.93867,--
18,18,7,3,1,5.652500e+00,1.615000e+00,1.0,17.0,--,--,125.94181,1.0,126.87873,0.9369256,126.97908,3.3780744,130.36069,6.0,130.36081,130.96739,5.025591,130.96753,136.6228,--
