TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,7,3,1,8.075000e-01,1.615000e+00,1.0,0.0,2.7999922e-06,0.0103218,4.021924,1.0,5.1786847,1.1567605,5.2791047,3.1582396,8.439864,8.0,8.440008,9.048118,5.0261936,9.048282,9.857913,--
2,2,3,1,3,8.075000e-01,2.422500e+00,1.0,1.0,--,--,9.863428,1.0,10.595142,0.7317139,10.695439,4.390786,15.088929,2.0,15.089036,15.695663,5.832235,15.695794,16.505032,--
3,3,3,1,3,8.075000e-01,8.075000e-01,1.0,2.0,--,--,16.50692,2.0,17.028404,0.5214851,17.128717,2.9860148,20.117985,9.0,20.118093,20.723299,4.21638,20.72343,21.53293,--
4,4,6,2,3,8.075000e-01,2.422500e+00,1.0,3.0,--,--,21.547716,2.0,22.178625,0.6309097,22.278933,4.4915905,26.772999,8.0,26.773104,27.378061,5.830346,27.378193,28.187943,--
5,5,3,1,3,4.037500e+00,1.615000e+00,1.0,4.0,--,--,28.19099,1.0,28.711914,0.5209227,28.812227,3.7940774,32.608932,4.0,32.609035,33.21504,5.0240483,33.21517,37.25492,--
6,6,6,2,3,8.075000e-01,1.615000e+00,1.0,5.0,--,--,37.26844,1.0,38.112076,0.843636,38.21238,3.471364,41.686596,4.0,41.68671,42.29104,5.0225983,42.29117,43.100895,--
7,7,4,2,1,8.075000e-01,2.422500e+00,1.0,6.0,--,--,43.111794,2.0,43.74537,0.6335752,43.84571,4.488925,48.336952,3.0,48.33706,48.94401,5.8322186,48.944138,49.75385,--
8,8,1,1,1,4.037500e+00,1.615000e+00,1.0,7.0,--,--,49.75796,2.0,50.59583,0.837867,50.6962,3.477133,54.17596,4.0,54.176075,54.779774,5.0218115,54.779903,58.81935,--
9,9,5,2,2,8.075000e-01,2.422500e+00,1.0,8.0,--,--,58.831474,1.0,59.561714,0.73024,59.662018,4.39226,64.0576,5.0,64.05772,64.66504,5.833564,64.66517,65.47457,--
10,10,1,1,1,4.037500e+00,8.075000e-01,1.0,9.0,--,--,65.477745,1.0,66.31195,0.8342058,66.412254,2.6732943,69.08788,8.0,69.08799,69.69404,4.216293,69.69417,73.73347,--
11,11,1,1,1,8.075000e-01,2.422500e+00,1.0,10.0,--,--,73.73534,1.0,74.26169,0.526353,74.36198,4.596147,78.96105,8.0,78.96116,79.565765,5.830435,79.565895,80.37606,--
12,12,1,1,1,8.075000e-01,8.075000e-01,1.0,11.0,--,--,80.37803,2.0,81.1117,0.7336716,81.21202,2.7738285,83.987755,3.0,83.98786,84.59156,4.2135334,84.591705,85.40101,--
13,13,4,2,1,8.075000e-01,2.422500e+00,1.0,12.0,--,--,85.41343,1.0,85.94536,0.5319319,86.04574,4.590568,90.63896,7.0,90.63907,91.24687,5.8334465,91.247,92.057045,--
14,14,1,1,1,8.075000e-01,2.422500e+00,1.0,13.0,--,--,92.06016,1.0,92.69536,0.6352024,92.79572,4.4872975,97.28611,7.0,97.28622,97.89007,5.829911,97.8902,98.69975,--
15,15,8,3,2,2.422500e+00,1.615000e+00,1.0,14.0,--,--,98.70923,1.0,99.64503,0.935803,99.74533,3.379197,103.127045,5.0,103.12715,103.73211,5.0228844,103.73224,106.15666,--
16,16,6,2,3,2.422500e+00,1.615000e+00,1.0,15.0,--,--,106.16871,1.0,106.89536,0.726653,106.995705,3.588347,110.586044,3.0,110.58615,111.191086,5.022382,111.19122,113.61604,--
17,17,7,3,1,8.075000e-01,2.422500e+00,1.0,16.0,--,--,113.62491,2.0,114.145035,0.5201299,114.24533,4.6023703,118.8508,4.0,118.8509,119.4641,5.839199,119.46423,120.27399,--
18,18,3,1,3,8.075000e-01,2.422500e+00,1.0,17.0,--,--,120.27696,2.0,121.21161,0.9346457,121.31195,4.1878543,125.501915,7.0,125.50202,126.10719,5.830225,126.10732,126.917076,--
19,19,3,1,3,2.422500e+00,8.075000e-01,1.0,18.0,--,--,126.918816,2.0,127.54525,0.6264355,127.64557,2.8810644,130.5291,7.0,130.5292,131.13293,4.2141213,131.13306,133.55742,--
20,20,4,2,1,8.075000e-01,2.422500e+00,1.0,19.0,--,--,133.56941,1.0,134.09508,0.5256678,134.19539,4.5968323,138.79498,6.0,138.79509,139.40411,5.8347006,139.40425,140.2144,--
21,21,1,1,1,2.422500e+00,1.615000e+00,1.0,20.0,--,--,140.21756,2.0,140.94531,0.7277477,141.046,3.5872524,144.63702,3.0,144.63713,145.2418,5.0242367,145.24193,147.66617,--
22,22,3,1,3,8.075000e-01,8.075000e-01,1.0,21.0,--,--,147.668,2.0,148.19519,0.5271895,148.29553,2.9803104,151.27809,9.0,151.2782,151.88414,4.2161345,151.88426,152.69409,--
23,23,9,3,3,2.422500e+00,1.615000e+00,1.0,22.0,--,--,152.7031,2.0,153.32835,0.62527,153.42863,3.68973,157.12105,9.0,157.12115,157.72578,5.0227027,157.72592,160.15103,--
24,24,9,3,3,2.422500e+00,8.075000e-01,1.0,23.0,--,--,160.15874,1.0,160.67926,0.5205269,160.77957,2.986973,163.76802,1.0,163.76814,164.37314,4.214397,164.37326,166.79805,--
25,25,7,3,1,8.075000e-01,8.075000e-01,1.0,24.0,--,--,166.80571,2.0,167.3283,0.5225828,167.42862,2.9849172,170.4153,3.0,170.4154,171.02017,4.2144613,171.02031,171.82971,--
26,26,4,2,1,4.037500e+00,1.615000e+00,1.0,25.0,--,--,171.8419,2.0,173.29501,1.4531223,173.39539,2.861878,176.25893,1.0,176.25903,176.86412,5.0222263,176.86426,180.90373,--
27,27,4,2,1,2.422500e+00,2.422500e+00,1.0,26.0,--,--,180.91469,2.0,181.44525,0.5305648,181.54556,4.591935,186.13913,3.0,186.13924,186.74393,5.829246,186.74406,189.16907,--
28,28,2,1,2,5.652500e+00,2.422500e+00,1.0,27.0,--,--,189.17319,1.0,189.79668,0.6234886,189.89699,4.4990115,194.39906,5.0,194.39919,195.00484,5.831648,195.00497,200.65918,--
29,29,6,2,3,2.422500e+00,2.422500e+00,1.0,28.0,--,--,200.6713,1.0,201.29544,0.6241363,201.39574,4.4983635,205.896,4.0,205.8961,206.50304,5.8317437,206.50317,208.9291,--
30,30,7,3,1,7.267500e+00,8.075000e-01,1.0,29.0,--,--,208.93802,1.0,209.46185,0.5238352,209.56216,2.9836648,212.54808,8.0,212.54819,213.15285,4.214822,213.15297,220.42308,--
31,31,6,2,3,8.075000e-01,1.615000e+00,1.0,30.0,--,--,220.43498,1.0,221.2783,0.8433254,221.37862,3.4716747,224.85208,4.0,224.85219,225.45723,5.0222583,225.45737,226.26726,--
32,32,3,1,3,4.037500e+00,2.422500e+00,1.0,31.0,--,--,226.2711,2.0,226.79517,0.5240648,226.89552,4.5984354,231.49637,8.0,231.49649,232.10123,5.8301244,232.10136,236.14075,--
33,33,1,1,1,4.037500e+00,8.075000e-01,1.0,32.0,--,--,236.14264,2.0,237.0782,0.9355679,237.17851,2.571932,239.75168,2.0,239.75179,240.35722,4.2145844,240.35735,244.39719,--
34,34,9,3,3,8.075000e-01,8.075000e-01,1.0,33.0,--,--,244.40616,2.0,244.92833,0.5221752,245.02864,2.9853249,248.01624,9.0,248.01636,248.62204,4.215887,248.62216,249.43213,--
35,35,2,1,2,2.422500e+00,8.075000e-01,1.0,34.0,--,--,249.43523,2.0,249.96179,0.5265623,250.06216,2.9809377,253.0451,5.0,253.04521,253.65022,4.215001,253.65034,256.07465,--
36,36,4,2,1,8.075000e-01,2.422500e+00,1.0,35.0,--,--,256.08737,1.0,256.51175,0.4243583,256.61212,4.6981416,261.31314,9.0,261.31326,261.91913,5.8317485,261.91925,262.72913,--
