TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,2.422500e+00,2.422500e+00,1.0,0.0,3.0000228e-06,0.0081725,4.0130024,2.0,5.3602,1.3471977,5.460608,3.7753024,9.238851,4.0,9.238998,9.846823,5.8338203,9.846985,12.27118,--
2,2,7,3,1,2.422500e+00,2.422500e+00,1.0,1.0,--,--,12.276111,2.0,12.71056,0.4344494,12.810912,4.6880507,17.501637,2.0,17.501753,18.107214,5.831104,18.10735,20.532114,--
3,3,5,2,2,8.075000e-01,1.615000e+00,1.0,2.0,--,--,20.54677,1.0,21.176819,0.6300487,21.277178,3.6849513,24.964579,5.0,24.964693,25.57157,5.024799,25.571701,26.382113,--
4,4,7,3,1,8.075000e-01,1.615000e+00,1.0,3.0,--,--,26.385302,1.0,27.529024,1.143721,27.629396,3.171279,30.803213,9.0,30.803331,31.40945,5.024149,31.409584,32.218845,--
5,5,1,1,1,4.037500e+00,1.615000e+00,1.0,4.0,--,--,32.222984,1.0,32.96043,0.7374478,33.060818,3.5775523,36.641685,7.0,36.64181,37.247395,5.024412,37.24753,41.287766,--
6,6,9,3,3,2.422500e+00,2.422500e+00,1.0,5.0,--,--,41.290844,1.0,41.827114,0.5362692,41.927483,4.5862308,46.516396,2.0,46.516514,47.12287,5.8320274,47.123005,49.54808,--
7,7,3,1,3,2.422500e+00,2.422500e+00,1.0,6.0,--,--,49.55115,2.0,50.293793,0.7426409,50.394157,4.379859,54.7757,8.0,54.775818,55.381355,5.8302054,55.38149,57.80644,--
8,8,9,3,3,2.422500e+00,1.615000e+00,1.0,7.0,--,--,57.80974,2.0,58.4446,0.6348605,58.544964,3.6801395,62.22769,7.0,62.227806,62.832188,5.022451,62.83232,65.25837,--
9,9,6,2,3,2.422500e+00,2.422500e+00,1.0,8.0,--,--,65.27234,2.0,66.11021,0.8378651,66.21057,4.284635,70.4967,8.0,70.49681,71.10035,5.8280044,71.10048,73.52621,--
10,10,4,2,1,8.075000e-01,8.075000e-01,1.0,9.0,--,--,73.537025,2.0,75.510376,1.9733464,75.610725,1.5341537,77.147705,4.0,77.14783,77.7525,4.215471,77.75263,78.56277,--
