TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,2,1,2,5.652500e+00,8.075000e-01,1.0,0.0,3.1999662e-06,0.0052149,4.0171933,1.0,5.7825136,1.7653201,5.8829527,1.7421799,7.6276813,5.0,7.627823,8.235884,4.21869,8.236057,13.8904295,--
2,2,1,1,1,8.075000e-01,1.615000e+00,1.0,1.0,--,--,13.892314,1.0,14.832377,0.9400635,14.932746,3.3749366,18.309273,9.0,18.309385,18.917303,5.0249887,18.917439,19.72754,--
3,3,3,1,3,8.075000e-01,1.615000e+00,1.0,2.0,--,--,19.729422,2.0,20.982363,1.2529423,21.082748,3.0620577,24.147724,9.0,24.147839,24.754534,5.025113,24.75468,25.565754,--
4,4,7,3,1,8.075000e-01,8.075000e-01,1.0,3.0,--,--,25.588144,1.0,27.248827,1.6606822,27.34917,1.8468179,29.197817,6.0,29.197927,29.804615,4.2164702,29.804749,30.614061,--
5,5,7,3,1,8.075000e-01,2.422500e+00,1.0,4.0,--,--,30.6273,1.0,31.882282,1.2549824,31.982666,3.8675177,35.852253,6.0,35.852367,36.45674,5.829442,36.45688,37.266315,--
6,6,9,3,3,8.075000e-01,2.422500e+00,1.0,5.0,--,--,37.280178,2.0,38.215332,0.9351519,38.31572,4.187348,42.50564,7.0,42.505753,43.11247,5.832288,43.11261,43.922287,--
7,7,5,2,2,4.037500e+00,2.422500e+00,1.0,6.0,--,--,43.93657,2.0,44.565346,0.6287753,44.66573,4.493725,49.161705,5.0,49.16182,49.76825,5.8316813,49.768387,53.80841,--
8,8,4,2,1,2.422500e+00,1.615000e+00,1.0,7.0,--,--,53.819534,2.0,54.44896,0.6294255,54.549316,3.6855745,58.237343,3.0,58.237453,58.84431,5.024777,58.844448,61.268787,--
9,9,9,3,3,8.075000e-01,8.075000e-01,1.0,8.0,--,--,61.283432,1.0,62.73224,1.4488069,62.832603,2.0586932,64.89343,1.0,64.89355,65.499756,4.216323,65.49989,66.30954,--
10,10,4,2,1,4.037500e+00,1.615000e+00,1.0,9.0,--,--,66.32151,2.0,66.94871,0.6271962,67.04906,3.6878037,70.738686,4.0,70.7388,71.34443,5.0229187,71.344574,75.384514,--
11,11,4,2,1,8.075000e-01,8.075000e-01,1.0,10.0,--,--,75.39529,2.0,75.91682,0.5215286,76.017166,2.9859715,79.005486,3.0,79.0056,79.60939,4.2141037,79.60953,80.4197,--
12,12,3,1,3,2.422500e+00,2.422500e+00,1.0,11.0,--,--,80.42535,1.0,80.54883,0.1234821,80.64918,4.9990177,85.65166,2.0,85.651764,86.25865,5.8333116,86.25879,88.68277,--
13,13,3,1,3,2.422500e+00,1.615000e+00,1.0,12.0,--,--,88.68461,1.0,89.41528,0.7306728,89.51565,3.5843272,93.102325,2.0,93.10245,93.70714,5.0225267,93.707275,96.131645,--
14,14,7,3,1,8.075000e-01,2.422500e+00,1.0,13.0,--,--,96.14609,1.0,96.66714,0.5210492,96.76749,4.601451,101.371635,7.0,101.37175,101.97633,5.8302503,101.97647,102.78568,--
15,15,7,3,1,8.075000e-01,8.075000e-01,1.0,14.0,--,--,102.79869,1.0,103.53194,0.7332482,103.63231,2.7742517,106.41024,7.0,106.41035,107.01398,4.2152867,107.014114,107.824005,--
