TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,2,1,2,5.652500e+00,8.075000e-01,1.0,0.0,4.014835,0.0,999.0,999.0,999.0,6.5247455,7.541228,3.526393,7.5413837,13.196326
2,2,1,1,1,8.075000e-01,1.615000e+00,1.0,1.0,13.200928,0.0,999.0,999.0,999.0,15.715433,16.732508,3.5315807,16.73262,17.550014
3,3,3,1,3,8.075000e-01,1.615000e+00,1.0,2.0,17.55213,2.0,17.666922,0.1147915,8.0,20.070591,21.078909,3.5267787,21.07902,21.88672
4,4,7,3,1,8.075000e-01,8.075000e-01,1.0,3.0,21.893785,1.0,22.020546,0.1267619,6.0,24.410767,25.416197,3.522412,25.416306,26.240444
5,5,7,3,1,8.075000e-01,2.422500e+00,1.0,4.0,26.241877,2.0,26.407488,0.1656118,2.0,28.760061,29.763706,3.5218294,29.763842,30.577383
6,6,9,3,3,8.075000e-01,2.422500e+00,1.0,5.0,30.579086,1.0,31.662077,1.0829908,1.0,33.09625,34.101547,3.5224607,34.101665,34.914246
7,7,5,2,2,4.037500e+00,2.422500e+00,1.0,6.0,34.919765,2.0,35.515152,0.5953853,5.0,37.437237,38.443527,3.5237613,38.44364,42.487186
8,8,4,2,1,2.422500e+00,1.615000e+00,1.0,7.0,42.488636,2.0,43.57188,1.0832423,4.0,45.005875,46.012188,3.5235507,46.0123,48.44209
9,9,9,3,3,8.075000e-01,8.075000e-01,1.0,8.0,48.44464,2.0,49.376556,0.9319128,8.0,50.962063,51.9668,3.5221584,51.966915,52.77899
10,10,4,2,1,4.037500e+00,1.615000e+00,1.0,9.0,52.781933,1.0,53.997017,1.2150843,9.0,55.29809,56.303257,3.5213227,56.30337,60.35215
11,11,4,2,1,8.075000e-01,8.075000e-01,1.0,10.0,60.353992,1.0,60.569077,0.2150816,7.0,62.870853,63.87449,3.5204954,63.8746,64.68884
12,12,3,1,3,2.422500e+00,2.422500e+00,1.0,11.0,64.69367,2.0,65.37304,0.6793673,7.0,67.21086,68.21512,3.5214458,68.21523,70.64378
13,13,3,1,3,2.422500e+00,1.615000e+00,1.0,12.0,70.64583,2.0,71.22799,0.5821605,7.0,73.16328,74.16709,3.5212615,74.167206,76.59879
14,14,7,3,1,8.075000e-01,2.422500e+00,1.0,13.0,76.60241,2.0,77.13271,0.5303101,4.0,79.119514,80.124054,3.5216463,80.12418,80.93557
15,15,7,3,1,8.075000e-01,8.075000e-01,1.0,14.0,80.937065,2.0,81.78665,0.8495893,1.0,83.45445,84.45828,3.5212183,84.4584,85.2725
16,16,8,3,2,2.422500e+00,1.615000e+00,1.0,15.0,85.27407,2.0,85.940155,0.6660826,5.0,87.791016,88.79503,3.5209548,88.79516,91.2274
17,17,9,3,3,8.075000e-01,1.615000e+00,1.0,16.0,91.22906,1.0,92.51211,1.283046,4.0,93.74676,94.7502,3.5211349,94.750305,95.56448
18,18,6,2,3,4.037500e+00,8.075000e-01,1.0,17.0,95.56722,1.0,96.1986,0.6313822,2.0,98.08476,99.08781,3.520582,99.08791,103.13721
19,19,1,1,1,8.075000e-01,2.422500e+00,1.0,18.0,103.14211,2.0,103.72136,0.5792452,1.0,105.65971,106.663864,3.5217502,106.66397,107.47413
20,20,1,1,1,8.075000e-01,8.075000e-01,1.0,19.0,107.47619,2.0,108.27484,0.7986482,4.0,109.993744,110.99752,3.5213292,110.99766,111.811066
21,21,3,1,3,7.267500e+00,1.615000e+00,1.0,20.0,111.81314,2.0,113.079025,1.2658818,9.0,114.33022,115.33422,3.521079,115.334335,122.60337
22,22,6,2,3,4.037500e+00,2.422500e+00,1.0,21.0,122.606834,1.0,123.5543,0.9474619,3.0,125.124504,126.12996,3.5231268,126.13008,130.17633
23,23,7,3,1,7.267500e+00,8.075000e-01,1.0,22.0,130.17926,0.0,999.0,999.0,999.0,132.69531,133.7121,3.5328379,133.7122,140.9851
24,24,1,1,1,2.422500e+00,8.075000e-01,1.0,23.0,140.98962,0.0,999.0,999.0,999.0,143.5046,144.5214,3.5317776,144.5215,146.95679
25,25,6,2,3,5.652500e+00,8.075000e-01,1.0,24.0,146.96182,0.0,999.0,999.0,999.0,149.4759,150.49239,3.5305622,150.49251,156.14769
26,26,6,2,3,8.075000e-01,1.615000e+00,1.0,25.0,156.14914,--,--,--,--,--,--,--,--,--
27,27,1,1,1,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,1,1,1,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
29,29,7,3,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
30,30,3,1,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
31,31,9,3,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
32,32,3,1,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
33,33,7,3,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
34,34,4,2,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
35,35,9,3,3,5.652500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
36,36,9,3,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
37,37,7,3,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
38,38,4,2,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
39,39,9,3,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
40,40,5,2,2,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
41,41,3,1,3,8.882500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,4,2,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,4,2,1,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,1,1,1,5.652500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,2,1,2,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,1,1,1,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,8,3,2,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,4,2,1,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,9,3,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,3,1,3,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
