TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,8.075000e-01,2.422500e+00,1.0,0.0,2.799963e-06,0.0110495,4.0165887,0.0,6.804896,2.7883074,6.905334,2.3341925,9.242632,999.0,9.242774,9.849294,5.832705,9.849462,10.658656,--
2,2,9,3,3,4.037500e+00,2.422500e+00,1.0,1.0,--,--,10.67102,0.0,13.458434,2.7874143,13.558804,2.3350856,15.896034,999.0,15.896149,16.498688,5.8276677,16.498821,20.538485,--
3,3,4,2,1,2.422500e+00,8.075000e-01,1.0,2.0,--,--,20.55246,1.0,21.195206,0.6427468,21.29557,2.8647532,24.162643,8.0,24.162758,24.770765,4.2183056,24.77092,27.195705,--
4,4,4,2,1,4.037500e+00,1.615000e+00,1.0,3.0,--,--,27.20737,2.0,28.562275,1.3549055,28.662697,2.9600945,31.625544,2.0,31.625658,32.231262,5.023894,32.2314,36.271378,--
5,5,1,1,1,5.652500e+00,8.075000e-01,1.0,4.0,--,--,36.27564,0.0,39.061966,2.7863247,39.162323,0.7211752,39.884926,999.0,39.88504,40.489567,4.2139287,40.489708,46.143974,--
6,6,3,1,3,8.075000e-01,1.615000e+00,1.0,5.0,--,--,46.145782,1.0,47.811893,1.6661109,47.912254,2.648889,50.56333,1.0,50.563446,51.170677,5.024893,51.170815,51.980537,--
7,7,9,3,3,8.075000e-01,2.422500e+00,1.0,6.0,--,--,51.990246,1.0,53.129566,1.1393211,53.229927,3.9831789,57.21567,1.0,57.215786,57.821354,5.8311114,57.821503,58.63057,--
8,8,9,3,3,8.075000e-01,1.615000e+00,1.0,7.0,--,--,58.63926,2.0,60.194973,1.5557141,60.295326,2.759286,63.057484,6.0,63.057602,63.663074,5.0238166,63.663223,64.473434,--
9,9,4,2,1,5.652500e+00,2.422500e+00,1.0,8.0,--,--,64.48534,2.0,66.461685,1.976353,66.56204,3.146147,69.71077,2.0,69.71089,70.31567,5.8303347,70.31581,75.97013,--
10,10,8,3,2,8.075000e-01,2.422500e+00,1.0,9.0,--,--,75.9797,1.0,76.81177,0.832073,76.91213,4.290427,81.20407,5.0,81.204185,81.811646,5.831952,81.81178,82.62114,--
11,11,9,3,3,8.075000e-01,8.075000e-01,1.0,10.0,--,--,82.62991,1.0,83.67838,1.0484658,83.77875,2.4590342,86.240715,3.0,86.24084,86.846344,4.2164297,86.8465,87.6562,--
12,12,3,1,3,8.882500e+00,1.615000e+00,1.0,11.0,--,--,87.65969,2.0,88.812004,1.152314,88.91238,3.162686,92.077,6.0,92.07712,92.681694,5.022007,92.68184,101.56744,--
13,13,3,1,3,8.075000e-01,2.422500e+00,1.0,12.0,--,--,101.5693,1.0,102.51133,0.9420321,102.611694,4.180468,106.79474,1.0,106.79485,107.39829,5.828998,107.39843,108.20774,--
14,14,9,3,3,8.075000e-01,1.615000e+00,1.0,13.0,--,--,108.21754,1.0,109.461426,1.2438834,109.56178,3.0711167,112.635,3.0,112.63512,113.23923,5.021689,113.239365,114.049034,--
15,15,9,3,3,5.652500e+00,8.075000e-01,1.0,14.0,--,--,114.05751,2.0,115.61124,1.5537287,115.71161,1.9537714,117.667564,7.0,117.66768,118.27265,4.215141,118.27279,123.92725,--
16,16,1,1,1,8.075000e-01,1.615000e+00,1.0,15.0,--,--,123.93033,2.0,124.97838,1.0480493,125.078735,3.2669506,128.34709,2.0,128.3472,128.95172,5.021397,128.95186,129.76141,--
17,17,5,2,2,8.075000e-01,8.075000e-01,1.0,16.0,--,--,129.77347,1.0,130.91263,1.1391636,131.013,2.3683364,133.38446,5.0,133.38458,133.99158,4.218118,133.99171,134.80098,--
18,18,6,2,3,2.422500e+00,8.075000e-01,1.0,17.0,--,--,134.81152,2.0,136.36154,1.550024,136.46191,1.957476,138.42224,9.0,138.42236,139.0286,4.217069,139.02873,141.4535,--
19,19,3,1,3,8.075000e-01,8.075000e-01,1.0,18.0,--,--,141.45654,2.0,142.39478,0.9382238,142.49515,2.569276,145.06744,8.0,145.06757,145.67169,4.215147,145.67183,146.48296,--
20,20,8,3,2,8.075000e-01,1.615000e+00,1.0,19.0,--,--,146.49307,1.0,147.84476,1.3516886,147.94513,2.9633114,150.91127,5.0,150.91139,151.51663,5.023553,151.51677,152.32616,--
21,21,7,3,1,2.422500e+00,2.422500e+00,1.0,20.0,--,--,152.33481,1.0,153.79451,1.4597049,153.89488,3.662795,157.56134,9.0,157.56146,158.1676,5.832804,158.16776,160.59274,--
22,22,1,1,1,8.075000e-01,1.615000e+00,1.0,21.0,--,--,160.59587,1.0,162.0445,1.4486341,162.14487,2.866366,165.01476,7.0,165.01486,165.61954,5.0236807,165.61969,166.42943,--
23,23,9,3,3,4.037500e+00,8.075000e-01,1.0,22.0,--,--,166.43912,2.0,167.17819,0.7390807,167.27856,2.7684193,170.04901,7.0,170.04912,170.65451,4.215398,170.65465,174.69484,--
24,24,7,3,1,2.422500e+00,8.075000e-01,1.0,23.0,--,--,174.70398,2.0,175.32767,0.6236863,175.42804,2.8838136,178.31331,1.0,178.31343,178.91917,4.2151833,178.91931,181.34505,--
25,25,6,2,3,8.075000e-01,2.422500e+00,1.0,24.0,--,--,181.35805,2.0,182.61128,1.2532244,182.71165,3.8692756,186.58365,9.0,186.58377,187.18924,5.83118,187.18939,187.99886,--
26,26,6,2,3,4.037500e+00,1.615000e+00,1.0,25.0,--,--,188.01122,2.0,190.3946,2.383399,190.49498,1.9316009,192.4294,8.0,192.42952,193.03395,5.0227456,193.03409,197.07335,--
27,27,5,2,2,8.075000e-01,8.075000e-01,1.0,26.0,--,--,197.08514,2.0,198.12775,1.0426126,198.22815,2.4648874,200.69466,5.0,200.69478,201.3001,4.214952,201.30023,202.10957,--
28,28,7,3,1,8.075000e-01,2.422500e+00,1.0,27.0,--,--,202.11966,2.0,203.06133,0.9416661,203.16168,4.180834,207.34499,2.0,207.34512,207.95053,5.8308797,207.95068,208.76012,--
29,29,7,3,1,2.422500e+00,8.075000e-01,1.0,28.0,--,--,208.7687,1.0,209.91129,1.1425726,210.01164,2.3649273,212.37843,9.0,212.37856,212.9829,4.2141867,212.98303,215.40816,--
30,30,7,3,1,4.037500e+00,1.615000e+00,1.0,29.0,--,--,215.41678,2.0,216.04425,0.6274762,216.14462,3.6875238,219.83485,1.0,219.83496,220.43854,5.0217633,220.43867,224.47845,--
31,31,2,1,2,8.075000e-01,2.422500e+00,1.0,30.0,--,--,224.48251,1.0,225.11093,0.6284297,225.2113,4.4940705,229.708,5.0,229.70811,230.313,5.8304987,230.31316,231.12286,--
32,32,1,1,1,2.422500e+00,8.075000e-01,1.0,31.0,--,--,231.12479,2.0,233.09428,1.9694959,233.19467,1.538004,234.73529,2.0,234.73541,235.33981,4.2150226,235.33995,237.76517,--
33,33,3,1,3,2.422500e+00,8.075000e-01,1.0,32.0,--,--,237.76707,1.0,239.12784,1.3607632,239.2282,2.1467369,241.3774,2.0,241.3775,241.98308,4.2159963,241.98322,244.40742,--
34,34,6,2,3,8.075000e-01,2.422500e+00,1.0,33.0,--,--,244.41989,1.0,246.07773,1.6578257,246.17807,3.4646742,249.6448,4.0,249.64493,250.24983,5.829944,250.24998,251.06023,--
35,35,6,2,3,8.075000e-01,1.615000e+00,1.0,34.0,--,--,251.07155,2.0,253.76088,2.6893284,253.86124,1.6256716,255.48885,8.0,255.48895,256.09338,5.02182,256.09354,256.90277,--
36,36,6,2,3,5.652500e+00,2.422500e+00,1.0,35.0,--,--,256.91412,2.0,258.1608,1.2467006,258.26117,3.8757994,262.13867,9.0,262.1388,262.74265,5.82855,262.7428,268.39822,--
37,37,2,1,2,8.075000e-01,1.615000e+00,1.0,36.0,--,--,268.40155,2.0,269.76093,1.3593774,269.8613,2.9556227,272.81903,5.0,272.81912,273.42438,5.022837,273.42453,274.23395,--
38,38,9,3,3,8.075000e-01,2.422500e+00,1.0,37.0,--,--,274.24402,2.0,274.9775,0.7335132,275.07788,4.3889866,279.46924,9.0,279.46933,280.07434,5.8303404,280.0745,280.88422,--
39,39,3,1,3,2.422500e+00,2.422500e+00,1.0,38.0,--,--,280.88724,2.0,281.8277,0.9404587,281.92807,4.182041,286.11322,9.0,286.11334,286.71725,5.830012,286.71738,289.1422,--
40,40,6,2,3,2.422500e+00,1.615000e+00,1.0,39.0,--,--,289.15445,2.0,291.22778,2.0733173,291.32816,2.2416828,293.5722,6.0,293.57233,294.17685,5.0223813,294.17697,296.6028,--
41,41,1,1,1,4.037500e+00,1.615000e+00,1.0,40.0,--,--,296.60596,2.0,297.3443,0.7383307,297.44464,3.5766692,301.0241,2.0,301.02423,301.62888,5.0229187,301.629,305.66885,--
42,42,4,2,1,7.267500e+00,1.615000e+00,1.0,41.0,--,--,305.68118,1.0,306.72754,1.0463583,306.8279,3.2686417,310.0983,7.0,310.09842,310.7023,5.021113,310.70242,317.97183,--
43,43,3,1,3,8.075000e-01,8.075000e-01,1.0,42.0,--,--,317.97516,2.0,318.71088,0.7357,318.81125,2.7718,321.58508,6.0,321.5852,322.19037,4.2152066,322.19052,322.99982,--
44,44,7,3,1,2.422500e+00,2.422500e+00,1.0,43.0,--,--,323.0097,2.0,323.94382,0.9340992,324.04416,4.1884007,328.2352,1.0,328.23532,328.84204,5.832332,328.8422,331.26712,--
45,45,7,3,1,2.422500e+00,8.075000e-01,1.0,44.0,--,--,331.27554,1.0,332.72852,1.4529558,332.82886,2.0545442,334.88577,7.0,334.8859,335.48975,4.214206,335.4899,337.91406,--
46,46,3,1,3,4.037500e+00,8.075000e-01,1.0,45.0,--,--,337.91718,2.0,338.64377,0.7266105,338.74414,2.7808895,341.52728,7.0,341.5274,342.13232,4.2151566,342.13245,346.17197,--
47,47,1,1,1,7.267500e+00,1.615000e+00,1.0,46.0,--,--,346.17386,2.0,346.9106,0.7367398,347.01096,3.5782602,350.59216,3.0,350.5923,351.1969,5.02303,351.19702,358.4666,--
48,48,4,2,1,2.422500e+00,1.615000e+00,1.0,47.0,--,--,358.4789,2.0,359.42737,0.9484484,359.52774,3.3665516,362.8961,1.0,362.8962,363.50012,5.021206,363.50027,365.92584,--
49,49,1,1,1,8.075000e-01,1.615000e+00,1.0,48.0,--,--,365.92914,1.0,367.1772,1.2480495,367.27756,3.0669506,370.34647,6.0,370.3466,370.95056,5.0214086,370.95068,371.76007,--
50,50,4,2,1,2.422500e+00,2.422500e+00,1.0,49.0,--,--,371.77225,2.0,372.5106,0.7383468,372.611,4.3841534,376.99817,2.0,376.99835,377.6032,5.830976,377.60336,380.02765,--
51,51,4,2,1,8.075000e-01,8.075000e-01,1.0,50.0,--,--,380.0402,2.0,380.77722,0.7370367,380.87756,2.7704632,383.65,2.0,383.65012,384.25363,4.213463,384.25378,385.06378,--
52,52,4,2,1,8.075000e-01,8.075000e-01,1.0,51.0,--,--,385.07547,2.0,386.01025,0.9347996,386.11063,2.5727005,388.68518,2.0,388.6853,389.29095,4.2154846,389.29108,390.10095,--
53,53,7,3,1,8.075000e-01,2.422500e+00,1.0,52.0,--,--,390.111,2.0,391.46048,1.3494672,391.56082,3.773033,395.33743,3.0,395.33755,395.9422,5.831189,395.94232,396.75253,--
54,54,6,2,3,8.075000e-01,2.422500e+00,1.0,53.0,--,--,396.765,1.0,397.7104,0.9453548,397.81073,4.177145,401.99097,2.0,401.99106,402.59616,5.8311357,402.5963,403.4055,412.00095
