TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,6,2,3,8.075000e-01,2.422500e+00,1.0,0.0,4.009986,0.0,999.0,999.0,999.0,6.5180054,7.5345206,3.5245347,7.534648,8.352429
2,2,4,2,1,2.422500e+00,1.615000e+00,1.0,1.0,8.356679,0.0,999.0,999.0,999.0,10.871381,11.887484,3.530805,11.887576,14.323818
3,3,1,1,1,8.075000e-01,8.075000e-01,1.0,2.0,14.328996,0.0,999.0,999.0,999.0,16.842808,17.859375,3.5303795,17.859472,18.67739
4,4,4,2,1,8.075000e-01,8.075000e-01,1.0,3.0,18.680016,0.0,999.0,999.0,999.0,21.196522,22.213379,3.5333629,22.213505,23.030977
5,5,9,3,3,8.075000e-01,8.075000e-01,1.0,4.0,23.034702,0.0,999.0,999.0,999.0,25.550257,26.566116,3.5314145,26.566244,27.3847
6,6,1,1,1,2.422500e+00,1.615000e+00,1.0,5.0,27.38859,0.0,999.0,999.0,999.0,29.903698,30.92011,3.531521,30.920233,33.35619
7,7,2,1,2,8.075000e-01,8.075000e-01,1.0,6.0,33.358006,0.0,999.0,999.0,999.0,35.85852,36.8757,3.517698,36.87581,37.69329
8,8,3,1,3,8.075000e-01,1.615000e+00,1.0,7.0,37.695343,1.0,38.87785,1.1825054,4.0,40.212234,41.217693,3.5223498,41.217796,42.029972
9,9,7,3,1,2.422500e+00,8.075000e-01,1.0,8.0,42.034267,0.0,999.0,999.0,999.0,44.549095,45.565044,3.5307786,45.565147,48.001575
10,10,3,1,3,5.652500e+00,1.615000e+00,1.0,9.0,48.007168,2.0,49.236183,1.2290128,6.0,50.523846,51.528385,3.5212164,51.528484,57.192562
11,11,4,2,1,5.652500e+00,1.615000e+00,1.0,10.0,57.195595,1.0,58.160244,0.964652,8.0,59.713173,60.718235,3.5226417,60.71833,66.38338
12,12,1,1,1,5.652500e+00,8.075000e-01,1.0,11.0,66.38721,2.0,67.7849,1.397689,4.0,68.904396,69.906715,3.5195036,69.90684,75.57432
13,13,4,2,1,8.075000e-01,2.422500e+00,1.0,12.0,75.57696,2.0,77.0091,1.4321398,2.0,78.0939,79.098366,3.521405,79.09847,79.911194
14,14,5,2,2,8.075000e-01,1.615000e+00,1.0,13.0,79.91253,2.0,80.92899,1.0164605,5.0,82.429474,83.43499,3.5224595,83.4351,84.248245
15,15,4,2,1,8.075000e-01,1.615000e+00,1.0,14.0,84.249596,2.0,85.23252,0.9829233,1.0,86.767494,87.7718,3.5221963,87.77189,88.585045
16,16,1,1,1,8.075000e-01,2.422500e+00,1.0,15.0,88.58801,1.0,90.40365,1.8156353,8.0,91.10489,92.1078,3.5197866,92.1079,92.92206
17,17,6,2,3,8.882500e+00,8.075000e-01,1.0,16.0,92.924545,2.0,95.323906,2.399366,6.0,95.44154,96.445335,3.5207937,96.44544,105.33219
18,18,4,2,1,2.422500e+00,1.615000e+00,1.0,17.0,105.33368,0.0,999.0,999.0,999.0,107.83458,108.85061,3.516929,108.850716,111.287186
19,19,3,1,3,8.075000e-01,1.615000e+00,1.0,18.0,111.290596,1.0,112.4385,1.147902,1.0,113.80836,114.81284,3.5222487,114.81295,115.62409
20,20,6,2,3,8.075000e-01,8.075000e-01,1.0,19.0,115.62713,2.0,116.84213,1.2150081,8.0,118.14391,119.148,3.5208766,119.1481,119.96097
21,21,6,2,3,7.267500e+00,1.615000e+00,1.0,20.0,119.96269,2.0,121.6458,1.6831063,6.0,122.47944,123.48207,3.519382,123.482185,130.75319
22,22,8,3,2,8.075000e-01,2.422500e+00,1.0,21.0,130.75623,1.0,131.871,1.1147839,5.0,133.27365,134.27803,3.5218077,134.27812,135.0901
23,23,7,3,1,2.422500e+00,2.422500e+00,1.0,22.0,135.09155,1.0,137.04204,1.9504882,8.0,137.60852,138.61276,3.5212066,138.61285,141.04503
24,24,3,1,3,2.422500e+00,2.422500e+00,1.0,23.0,141.04793,2.0,142.67989,1.631957,8.0,143.56572,144.57076,3.5228245,144.57086,146.9999
25,25,4,2,1,2.422500e+00,8.075000e-01,1.0,24.0,147.00237,1.0,148.00105,0.998692,9.0,149.51976,150.5245,3.522146,150.52461,152.95494
26,26,7,3,1,2.422500e+00,2.422500e+00,1.0,25.0,152.95792,0.0,999.0,999.0,999.0,155.47375,156.49014,3.5322278,156.49023,158.9266
27,27,6,2,3,8.075000e-01,8.075000e-01,1.0,26.0,158.92903,0.0,999.0,999.0,999.0,161.44528,162.4621,3.5330727,162.46227,163.28006
28,28,6,2,3,4.037500e+00,1.615000e+00,1.0,27.0,163.28142,0.0,999.0,999.0,999.0,165.78242,166.79909,3.5176587,166.79918,170.85286
29,29,3,1,3,2.422500e+00,2.422500e+00,1.0,28.0,170.85687,0.0,999.0,999.0,999.0,173.37202,174.38847,3.531598,174.38858,176.82452
30,30,4,2,1,2.422500e+00,1.615000e+00,1.0,29.0,176.82693,0.0,999.0,999.0,999.0,179.3435,180.36035,3.5334198,180.36046,182.7961
31,31,3,1,3,2.422500e+00,1.615000e+00,1.0,30.0,182.79913,0.0,999.0,999.0,999.0,185.31503,186.33176,3.532628,186.33188,188.76768
32,32,6,2,3,8.075000e-01,2.422500e+00,1.0,31.0,188.77048,0.0,999.0,999.0,999.0,191.28671,192.3028,3.5323205,192.3029,193.12134
33,33,6,2,3,8.075000e-01,1.615000e+00,1.0,32.0,193.12296,--,--,--,--,--,--,--,--,--
34,34,3,1,3,5.652500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
35,35,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
36,36,7,3,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
37,37,9,3,3,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
38,38,9,3,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
39,39,9,3,3,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
40,40,5,2,2,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
41,41,7,3,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,1,1,1,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,7,3,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,1,1,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,8,3,2,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,7,3,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,1,1,1,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,2,1,2,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,3,1,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,9,3,3,7.267500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,7,3,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
