TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,7,3,1,8.882500e+00,8.075000e-01,1.0,0.0,2.8000213e-06,0.0102197,4.016787,1.0,5.168127,1.1513398,5.2685595,2.3561602,7.6272445,9.0,7.6273823,8.234788,4.2180004,8.234957,17.11944,--
2,2,7,3,1,8.075000e-01,2.422500e+00,1.0,1.0,--,--,17.12277,1.0,18.367933,1.2451633,18.468296,3.8773367,22.347761,7.0,22.347876,22.952522,5.8297515,22.952663,23.762638,--
3,3,1,1,1,8.075000e-01,8.075000e-01,1.0,2.0,--,--,23.767435,1.0,24.818222,1.050786,24.918583,2.456714,27.377167,7.0,27.377281,27.982355,4.2149186,27.982492,28.791769,--
4,4,4,2,1,7.267500e+00,8.075000e-01,1.0,3.0,--,--,28.80585,1.0,29.634996,0.8291461,29.735304,2.6783538,32.41584,8.0,32.415955,33.020473,4.2146235,33.020607,40.290295,--
5,5,9,3,3,4.037500e+00,8.075000e-01,1.0,4.0,--,--,40.295002,1.0,41.034462,0.7394624,41.134792,2.7680376,43.905777,2.0,43.905895,44.512997,4.217995,44.513134,48.552734,--
6,6,3,1,3,2.422500e+00,2.422500e+00,1.0,5.0,--,--,48.55613,1.0,49.184376,0.6282458,49.284748,4.494254,53.781704,2.0,53.781815,54.385918,5.829789,54.386055,56.810493,--
7,7,3,1,3,2.422500e+00,1.615000e+00,1.0,6.0,--,--,56.812237,2.0,57.23474,0.4225067,57.335094,3.8924932,61.2297,6.0,61.22981,61.835773,5.0235386,61.835907,64.26079,--
8,8,6,2,3,4.037500e+00,8.075000e-01,1.0,7.0,--,--,64.272675,2.0,65.1019,0.8292263,65.202225,2.6782737,67.88371,7.0,67.88382,68.487305,4.2146287,68.487434,72.52672,--
9,9,7,3,1,8.075000e-01,2.422500e+00,1.0,8.0,--,--,72.532684,1.0,73.16781,0.6351194,73.26817,4.4873805,77.75771,6.0,77.75783,78.36342,5.830732,78.363556,79.17368,--
10,10,5,2,2,2.422500e+00,1.615000e+00,1.0,9.0,--,--,79.185875,2.0,79.717735,0.5318621,79.81809,3.7831378,83.60463,5.0,83.60474,84.21188,5.0260143,84.21202,86.63669,--
11,11,7,3,1,8.075000e-01,1.615000e+00,1.0,10.0,--,--,86.641014,2.0,87.46923,0.8282206,87.569565,3.4867795,91.05828,3.0,91.058395,91.663574,5.02256,91.66371,92.474686,--
12,12,3,1,3,8.075000e-01,8.075000e-01,1.0,11.0,--,--,92.47763,1.0,93.31759,0.8399594,93.41792,2.6675406,96.087685,2.0,96.0878,96.693855,4.2162247,96.694,97.50387,--
13,13,2,1,2,5.652500e+00,2.422500e+00,1.0,12.0,--,--,97.50567,0.0,100.287605,2.7819393,100.38797,2.340561,102.731415,999.0,102.73153,103.336655,5.8309865,103.33679,108.99119,--
14,14,6,2,3,8.075000e-01,2.422500e+00,1.0,13.0,--,--,109.003075,2.0,109.73409,0.7310149,109.834404,4.391485,114.22754,6.0,114.22765,114.83293,5.8298535,114.83307,115.64246,--
15,15,1,1,1,2.422500e+00,1.615000e+00,1.0,14.0,--,--,115.6456,1.0,116.384544,0.7389436,116.484886,3.5760565,120.06357,7.0,120.06368,120.6693,5.023701,120.66943,123.09429,--
