TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,8.075000e-01,2.422500e+00,1.0,0.0,2.6000002e-06,0.0101341,4.032707,1.0,4.9781504,0.9454436,5.0785627,4.1770563,9.258287,3.0,9.258433,9.874532,5.8418245,9.874693,10.683848,--
2,2,9,3,3,8.075000e-01,1.615000e+00,1.0,1.0,--,--,10.699536,1.0,11.428162,0.7286249,11.528508,3.586375,15.117225,1.0,15.117341,15.721839,5.0223026,15.7219715,16.532244,--
3,3,1,1,1,2.422500e+00,8.075000e-01,1.0,2.0,--,--,16.538094,1.0,17.178154,0.6400602,17.27853,2.8674397,20.148815,8.0,20.14893,20.755527,4.217434,20.755661,23.179789,--
4,4,2,1,2,8.075000e-01,1.615000e+00,1.0,3.0,--,--,23.181585,1.0,24.228075,1.0464906,24.32842,3.2685094,27.599838,5.0,27.599953,28.207958,5.026373,28.208094,29.01733,--
5,5,7,3,1,8.075000e-01,8.075000e-01,1.0,4.0,--,--,29.025751,1.0,29.661373,0.6356216,29.761728,2.8718784,32.635868,8.0,32.635983,33.24156,4.2158117,33.2417,34.05177,--
6,6,1,1,1,4.037500e+00,1.615000e+00,1.0,5.0,--,--,34.05476,1.0,34.678486,0.6237268,34.77884,3.6912732,38.473236,6.0,38.47335,39.07976,5.0250044,39.079895,43.119705,--
7,7,6,2,3,8.075000e-01,2.422500e+00,1.0,6.0,--,--,43.13206,1.0,43.561623,0.4295615,43.66198,4.6929383,48.356785,2.0,48.356903,48.96423,5.8321676,48.964363,49.774258,--
8,8,7,3,1,7.267500e+00,1.615000e+00,1.0,7.0,--,--,49.782345,1.0,50.51127,0.7289205,50.611618,3.5860796,54.200615,7.0,54.20073,54.806843,5.024497,54.806976,62.076458,--
9,9,9,3,3,8.075000e-01,8.075000e-01,1.0,8.0,--,--,62.082634,1.0,62.511078,0.4284458,62.611423,3.079054,65.692795,1.0,65.69291,66.297806,4.215175,66.29794,67.10775,--
10,10,2,1,2,2.422500e+00,1.615000e+00,1.0,9.0,--,--,67.11073,1.0,67.74446,0.6337261,67.84481,3.681274,71.52901,5.0,71.52912,72.13468,5.0239477,72.13482,74.5591,--
11,11,3,1,3,2.422500e+00,8.075000e-01,1.0,10.0,--,--,74.56089,1.0,75.09434,0.5334466,75.19469,2.9740534,78.1716,2.0,78.171715,78.77722,4.216335,78.77736,81.202415,--
12,12,7,3,1,2.422500e+00,1.615000e+00,1.0,11.0,--,--,81.20985,1.0,81.627686,0.417843,81.72804,3.897157,85.627754,6.0,85.62787,86.2325,5.0226526,86.23263,88.65672,--
13,13,7,3,1,4.037500e+00,2.422500e+00,1.0,12.0,--,--,88.66313,1.0,89.29435,0.63122,89.39469,4.49128,93.88767,7.0,93.88779,94.491806,5.828673,94.491936,98.53148,--
14,14,4,2,1,8.075000e-01,2.422500e+00,1.0,13.0,--,--,98.54369,1.0,99.07781,0.5341154,99.17817,4.5883846,103.76841,6.0,103.768524,104.37259,5.8288918,104.37273,105.18189,--
15,15,3,1,3,8.882500e+00,2.422500e+00,1.0,14.0,--,--,105.18512,1.0,105.81098,0.6258602,105.91133,4.4966397,110.41066,2.0,110.410774,111.019356,5.834234,111.01949,119.90476,--
16,16,6,2,3,8.075000e-01,1.615000e+00,1.0,15.0,--,--,119.917,1.0,120.444214,0.5272082,120.54457,3.7877917,124.334656,4.0,124.33477,124.94113,5.024125,124.94126,125.75049,--
17,17,1,1,1,8.075000e-01,8.075000e-01,1.0,16.0,--,--,125.75368,0.0,128.53566,2.7819865,128.636,0.7255136,129.36343,999.0,129.36356,129.96872,4.2150455,129.96886,130.77818,--
18,18,7,3,1,2.422500e+00,8.075000e-01,1.0,17.0,--,--,130.78609,1.0,131.311,0.5249146,131.41136,2.9825854,134.39653,7.0,134.39665,135.00128,4.215194,135.00142,137.42567,--
19,19,5,2,2,8.075000e-01,1.615000e+00,1.0,18.0,--,--,137.43877,1.0,137.86092,0.4221602,137.96127,3.89284,141.85654,5.0,141.85664,142.46155,5.0227857,142.46169,143.27164,--
20,20,9,3,3,8.075000e-01,1.615000e+00,1.0,19.0,--,--,143.27968,1.0,143.71101,0.4313347,143.81137,3.8836653,147.69676,3.0,147.69687,148.30334,5.023663,148.30348,149.11255,--
21,21,1,1,1,8.075000e-01,1.615000e+00,1.0,20.0,--,--,149.11586,1.0,149.84398,0.7281266,149.94432,3.5868733,153.53366,9.0,153.53377,154.1401,5.0242467,154.14024,154.95049,--
22,22,7,3,1,2.422500e+00,2.422500e+00,1.0,21.0,--,--,154.95848,1.0,155.4788,0.5203349,155.57932,4.602165,160.1836,9.0,160.1837,160.79277,5.834292,160.79291,163.21738,--
23,23,5,2,2,2.422500e+00,1.615000e+00,1.0,22.0,--,--,163.22902,1.0,163.54391,0.3148942,163.64426,4.000106,167.64761,5.0,167.64774,168.25261,5.0235934,168.25275,170.67847,--
24,24,4,2,1,5.652500e+00,1.615000e+00,1.0,23.0,--,--,170.6897,1.0,171.11073,0.4210338,171.21107,3.8939662,175.10704,7.0,175.10716,175.7127,5.0230107,175.71284,181.36734,--
25,25,9,3,3,5.652500e+00,8.075000e-01,1.0,24.0,--,--,181.37547,1.0,181.8109,0.435422,181.91124,3.072078,184.98657,3.0,184.9867,185.59077,4.2153087,185.59091,191.24599,--
26,26,4,2,1,2.422500e+00,1.615000e+00,1.0,25.0,--,--,191.25809,1.0,191.67735,0.4192668,191.77771,3.895733,195.67606,6.0,195.67616,196.28105,5.022964,196.28119,198.70557,--
27,27,4,2,1,8.075000e-01,2.422500e+00,1.0,26.0,--,--,198.71706,1.0,199.24387,0.5268114,199.34422,4.595689,203.94241,7.0,203.94254,204.54753,5.830477,204.54767,205.35709,--
28,28,6,2,3,4.037500e+00,1.615000e+00,1.0,27.0,--,--,205.36832,1.0,205.99388,0.62557,206.09422,3.68943,209.78584,2.0,209.78595,210.39285,5.0245347,210.39299,214.43256,--
29,29,4,2,1,8.075000e-01,2.422500e+00,1.0,28.0,--,--,214.44427,1.0,214.86182,0.4175451,214.96217,4.704955,219.66914,6.0,219.66927,220.27736,5.8330874,220.2775,221.08713,--
30,30,4,2,1,8.075000e-01,8.075000e-01,1.0,29.0,--,--,221.09834,1.0,221.82704,0.728707,221.92738,2.778793,224.70836,6.0,224.70848,225.31216,4.2138276,225.3123,226.12253,--
31,31,9,3,3,8.075000e-01,8.075000e-01,1.0,30.0,--,--,226.13058,1.0,226.8604,0.7298108,226.96074,2.7776892,229.74051,4.0,229.74063,230.34549,4.2149024,230.34563,231.15544,--
32,32,7,3,1,8.075000e-01,2.422500e+00,1.0,31.0,--,--,231.16174,1.0,231.59398,0.4322294,231.69432,4.6902704,236.3869,6.0,236.38704,236.99248,5.830731,236.99261,237.80247,--
33,33,1,1,1,4.037500e+00,2.422500e+00,1.0,32.0,--,--,237.80548,1.0,238.32697,0.5214845,238.4273,4.6010156,243.03134,8.0,243.03145,243.63559,5.8301034,243.63571,247.67526,--
34,34,6,2,3,8.075000e-01,2.422500e+00,1.0,33.0,--,--,247.68703,1.0,248.11061,0.4235843,248.21097,4.6989155,252.91263,2.0,252.91275,253.5187,5.831679,253.51884,254.32823,--
35,35,9,3,3,7.267500e+00,2.422500e+00,1.0,34.0,--,--,254.33627,1.0,254.96107,0.6248014,255.06142,4.497699,259.56076,2.0,259.56088,260.16754,5.8312807,260.1677,267.43784,--
36,36,6,2,3,2.422500e+00,8.075000e-01,1.0,35.0,--,--,267.45044,1.0,267.97705,0.5266086,268.0774,2.9808915,271.06033,2.0,271.06042,271.66434,4.213893,271.66446,274.08932,--
37,37,1,1,1,4.037500e+00,8.075000e-01,1.0,36.0,--,--,274.09247,1.0,274.51038,0.4179032,274.61072,3.0895967,277.70242,6.0,277.7025,278.30807,4.215623,278.30823,282.34732,--
38,38,8,3,2,4.037500e+00,1.615000e+00,1.0,37.0,--,--,282.35544,1.0,282.77686,0.4214339,282.8772,3.8935661,286.77258,5.0,286.7727,287.37744,5.021997,287.37756,291.417,--
39,39,4,2,1,8.075000e-01,8.075000e-01,1.0,38.0,--,--,291.4299,1.0,291.74454,0.3146289,291.84488,3.192871,295.03998,6.0,295.04007,295.6465,4.2166033,295.64667,296.4564,--
40,40,6,2,3,5.652500e+00,2.422500e+00,1.0,39.0,--,--,296.46838,1.0,296.99353,0.5251344,297.09387,4.5973654,301.6938,1.0,301.6939,302.2995,5.831102,302.29962,307.95435,--
41,41,4,2,1,8.075000e-01,8.075000e-01,1.0,40.0,--,--,307.9659,1.0,308.39334,0.4274318,308.49368,3.080068,311.57623,7.0,311.57635,312.18082,4.214913,312.18094,312.99088,--
42,42,1,1,1,4.037500e+00,8.075000e-01,1.0,41.0,--,--,312.99417,1.0,313.52707,0.5328984,313.6274,2.9746015,316.60452,7.0,316.60464,317.21097,4.2167783,317.2111,321.25027,--
43,43,7,3,1,8.075000e-01,8.075000e-01,1.0,42.0,--,--,321.25818,1.0,321.5766,0.3184327,321.67694,3.1890674,324.8693,7.0,324.8694,325.47485,4.216684,325.475,326.28458,--
