dataset	subject	session	run	method	image	mask	nominal_kernel_fwhm_mm	susan_spatial_sigma_mm	susan_masked_median	susan_brightness_threshold	fsl_version	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	104		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.75825	3.68524	3.85446	3.76535	0.894013	2.11549	20.326	5.28236	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.95843	5.93601	5.93886	5.94443	0.574071	3.13103	11.4754	8.8889	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	931.592346 	698.6942595	6.0.7.18	8.2988	8.43387	8.01243	8.24649	0.478467	4.55425	13.6017	12.9043	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.80562	3.71515	3.86398	3.79442	0.885251	2.12196	20.7423	5.34452	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.85066	5.82593	5.80562	5.82737	0.563008	3.05719	11.1315	8.72493	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	930.632202 	697.9741515	6.0.7.18	8.46273	8.56009	8.1154	8.37721	0.466859	4.67587	13.6174	13.2186	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.57866	3.52768	3.76241	3.62153	0.908704	2.06673	18.6387	5.05986	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.81094	5.7891	5.80939	5.80313	0.599447	3.11373	11.5211	8.72815	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	923.968994 	692.9767455	6.0.7.18	8.10677	8.19352	7.85996	8.05217	0.497867	4.52711	13.532	12.7084	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.61271	3.58064	3.81282	3.6673	0.897475	2.08286	19.147	5.15909	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
