dataset	subject	session	n_imaging_runs	n_task_ready_runs	task_ready_runs	n_task_excluded_runs	task_excluded_runs	n_review_hold_runs	review_hold_runs	task_l2_ready	ratings_eligible	ratings_exclusion_reason	ratings_l2_ready
ds003745	104		2	2	01,02	0		0		true	true		true
ds003745	105		2	2	01,02	0		0		true	false	missing_ratings_file	false
ds003745	106		2	2	01,02	0		0		true	false	missing_ratings_file	false
ds003745	107		2	2	01,02	0		0		true	true		true
ds003745	108		2	2	01,02	0		0		true	true		true
ds003745	109		2	0		1	02	1	01	false	false	missing_ratings_file	false
ds003745	110		2	2	01,02	0		0		true	false	missing_ratings_file	false
ds003745	111		2	0		1	01	1	02	false	true		false
ds003745	112		2	1	01	0		1	02	true	true		true
ds003745	113		2	2	01,02	0		0		true	true		true
ds003745	115		2	2	01,02	0		0		true	true		true
ds003745	116		2	2	01,02	0		0		true	true		true
ds003745	117		2	2	01,02	0		0		true	true		true
ds003745	118		2	0		2	01,02	0		false	true		false
ds003745	120		2	1	02	0		1	01	true	true		true
ds003745	121		2	2	01,02	0		0		true	true		true
ds003745	122		2	2	01,02	0		0		true	true		true
ds003745	124		2	1	01	0		1	02	true	true		true
ds003745	125		2	2	01,02	0		0		true	true		true
ds003745	126		2	2	01,02	0		0		true	false	identical_ratings	false
ds003745	127		2	2	01,02	0		0		true	false	loss_sum_greater_than_win_sum	false
ds003745	128		2	2	01,02	0		0		true	true		true
ds003745	129		2	1	02	1	01	0		true	true		true
ds003745	130		2	2	01,02	0		0		true	false	missing_ratings_file	false
ds003745	131		2	1	02	0		1	01	true	false	missing_ratings_file	false
ds003745	132		2	0		0		2	01,02	false	false	missing_ratings_file	false
ds003745	133		2	2	01,02	0		0		true	false	missing_ratings_file	false
ds003745	134		2	1	01	0		1	02	true	false	missing_ratings_file	false
ds003745	135		2	0		2	01,02	0		false	false	missing_ratings_file	false
ds003745	136		2	2	01,02	0		0		true	true		true
ds003745	137		2	2	01,02	0		0		true	true		true
ds003745	138		2	0		2	01,02	0		false	true		false
ds003745	140		2	0		0		2	01,02	false	false	identical_ratings	false
ds003745	141		2	1	02	0		1	01	true	true		true
ds003745	142		2	2	01,02	0		0		true	true		true
ds003745	143		2	1	01	0		1	02	true	false	missing_ratings_file	false
ds003745	144		2	1	01	0		1	02	true	true		true
ds003745	145		2	2	01,02	0		0		true	true		true
ds003745	147		2	2	01,02	0		0		true	true		true
ds003745	149		2	1	02	1	01	0		true	true		true
ds003745	150		2	2	01,02	0		0		true	true		true
ds003745	151		2	2	01,02	0		0		true	true		true
ds003745	152		2	1	02	1	01	0		true	true		true
ds003745	153		2	2	01,02	0		0		true	true		true
ds003745	154		2	2	01,02	0		0		true	true		true
ds003745	155		2	1	01	0		1	02	true	true		true
ds003745	156		2	2	01,02	0		0		true	true		true
ds003745	157		2	2	01,02	0		0		true	true		true
ds003745	158		2	2	01,02	0		0		true	true		true
ds003745	159		2	2	01,02	0		0		true	true		true
rf1	10317	01	2	2	1,2	0		0		true	true		true
rf1	10369	01	2	2	1,2	0		0		true	true		true
rf1	10402	01	2	2	1,2	0		0		true	true		true
rf1	10418	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10462	01	1	1	1	0		0		true	true		true
rf1	10478	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10486	01	2	2	1,2	0		0		true	true		true
rf1	10529	01	2	2	1,2	0		0		true	true		true
rf1	10541	01	2	2	1,2	0		0		true	true		true
rf1	10559	01	2	2	1,2	0		0		true	true		true
rf1	10572	01	2	2	1,2	0		0		true	true		true
rf1	10581	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10584	01	1	1	1	0		0		true	true		true
rf1	10585	01	2	2	1,2	0		0		true	true		true
rf1	10589	01	2	2	1,2	0		0		true	true		true
rf1	10590	01	2	2	1,2	0		0		true	true		true
rf1	10596	01	2	2	1,2	0		0		true	true		true
rf1	10603	01	1	1	1	0		0		true	true		true
rf1	10606	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10608	01	2	1	1	1	2	0		true	true		true
rf1	10617	01	1	1	1	0		0		true	true		true
rf1	10636	01	2	2	1,2	0		0		true	true		true
rf1	10638	01	2	2	1,2	0		0		true	true		true
rf1	10640	01	2	2	1,2	0		0		true	true		true
rf1	10641	01	1	1	1	0		0		true	true		true
rf1	10642	01	2	2	1,2	0		0		true	true		true
rf1	10644	01	2	2	1,2	0		0		true	true		true
rf1	10647	01	2	2	1,2	0		0		true	true		true
rf1	10649	01	2	2	1,2	0		0		true	true		true
rf1	10652	01	2	2	1,2	0		0		true	true		true
rf1	10656	01	2	2	1,2	0		0		true	true		true
rf1	10657	01	2	2	1,2	0		0		true	true		true
rf1	10661	01	2	2	1,2	0		0		true	true		true
rf1	10663	01	2	2	1,2	0		0		true	true		true
rf1	10668	01	1	1	1	0		0		true	true		true
rf1	10673	01	2	2	1,2	0		0		true	true		true
rf1	10674	01	2	2	1,2	0		0		true	true		true
rf1	10677	01	2	2	1,2	0		0		true	true		true
rf1	10685	01	2	2	1,2	0		0		true	true		true
rf1	10690	01	2	2	1,2	0		0		true	true		true
rf1	10691	01	2	2	1,2	0		0		true	true		true
rf1	10700	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10701	01	2	2	1,2	0		0		true	true		true
rf1	10713	01	2	2	1,2	0		0		true	true		true
rf1	10716	01	2	2	1,2	0		0		true	true		true
rf1	10718	01	2	2	1,2	0		0		true	true		true
rf1	10720	01	2	2	1,2	0		0		true	true		true
rf1	10723	01	2	2	1,2	0		0		true	true		true
rf1	10741	01	2	2	1,2	0		0		true	true		true
rf1	10748	01	2	2	1,2	0		0		true	true		true
rf1	10767	01	2	2	1,2	0		0		true	true		true
rf1	10770	01	2	2	1,2	0		0		true	true		true
rf1	10777	01	2	2	1,2	0		0		true	true		true
rf1	10781	01	2	2	1,2	0		0		true	true		true
rf1	10783	01	2	2	1,2	0		0		true	true		true
rf1	10785	01	2	2	1,2	0		0		true	true		true
rf1	10794	01	2	2	1,2	0		0		true	true		true
rf1	10800	01	2	2	1,2	0		0		true	true		true
rf1	10801	01	2	2	1,2	0		0		true	true		true
rf1	10802	01	2	2	1,2	0		0		true	true		true
rf1	10803	01	1	1	1	0		0		true	false	missing_ratings_file	false
rf1	10804	01	2	2	1,2	0		0		true	true		true
rf1	10806	01	2	2	1,2	0		0		true	true		true
rf1	10807	01	2	2	1,2	0		0		true	true		true
rf1	10809	01	2	1	2	1	1	0		true	true		true
rf1	10810	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10812	01	2	2	1,2	0		0		true	true		true
rf1	10817	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10827	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10831	01	2	2	1,2	0		0		true	true		true
rf1	10834	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10838	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10843	01	2	2	1,2	0		0		true	true		true
rf1	10850	01	2	2	1,2	0		0		true	true		true
rf1	10854	01	2	2	1,2	0		0		true	true		true
rf1	10857	01	2	2	1,2	0		0		true	true		true
rf1	10858	01	2	2	1,2	0		0		true	true		true
rf1	10860	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	10862	01	2	2	1,2	0		0		true	true		true
rf1	10863	01	2	2	1,2	0		0		true	true		true
rf1	10866	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10875	01	2	2	1,2	0		0		true	true		true
rf1	10881	01	1	1	1	0		0		true	true		true
rf1	10886	01	1	1	1	0		0		true	true		true
rf1	10887	01	2	2	1,2	0		0		true	true		true
rf1	10896	01	2	2	1,2	0		0		true	true		true
rf1	10897	01	1	1	1	0		0		true	true		true
rf1	10898	01	2	2	1,2	0		0		true	true		true
rf1	10908	01	2	2	1,2	0		0		true	true		true
rf1	10913	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	10918	01	2	2	1,2	0		0		true	true		true
rf1	10919	01	2	2	1,2	0		0		true	true		true
rf1	10924	01	2	2	1,2	0		0		true	true		true
rf1	10926	01	2	2	1,2	0		0		true	true		true
rf1	10928	01	2	2	1,2	0		0		true	true		true
rf1	10929	01	2	2	1,2	0		0		true	true		true
rf1	10930	01	2	2	1,2	0		0		true	true		true
rf1	10938	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	10940	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	10950	01	2	2	1,2	0		0		true	true		true
rf1	10951	01	2	2	1,2	0		0		true	true		true
rf1	10952	01	2	2	1,2	0		0		true	true		true
rf1	10953	01	2	2	1,2	0		0		true	true		true
rf1	10954	01	2	1	1	1	2	0		true	true		true
rf1	10956	01	2	2	1,2	0		0		true	true		true
rf1	10958	01	2	2	1,2	0		0		true	true		true
rf1	10961	01	2	2	1,2	0		0		true	true		true
rf1	10964	01	2	2	1,2	0		0		true	true		true
rf1	10966	01	2	2	1,2	0		0		true	true		true
rf1	10969	01	2	2	1,2	0		0		true	true		true
