dataset	subject	session	n_imaging_runs	n_task_ready_runs	task_ready_runs	n_task_excluded_runs	task_excluded_runs	n_review_hold_runs	review_hold_runs	task_l2_ready	ratings_eligible	ratings_exclusion_reason	ratings_l2_ready
rf1	10974	01	2	2	1,2	0		0		true	true		true
rf1	10977	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	10979	01	2	2	1,2	0		0		true	true		true
rf1	10983	01	2	2	1,2	0		0		true	true		true
rf1	10984	01	2	2	1,2	0		0		true	true		true
rf1	10998	01	2	2	1,2	0		0		true	true		true
rf1	11005	01	2	2	1,2	0		0		true	true		true
rf1	11007	01	2	2	1,2	0		0		true	true		true
rf1	11012	01	2	2	1,2	0		0		true	true		true
rf1	11016	01	2	2	1,2	0		0		true	true		true
rf1	11021	01	2	2	1,2	0		0		true	true		true
rf1	11030	01	2	2	1,2	0		0		true	true		true
rf1	11031	01	2	2	1,2	0		0		true	true		true
rf1	11036	01	2	2	1,2	0		0		true	true		true
rf1	11039	01	2	2	1,2	0		0		true	true		true
rf1	11042	01	2	2	1,2	0		0		true	true		true
rf1	11053	01	2	2	1,2	0		0		true	true		true
rf1	11058	01	2	2	1,2	0		0		true	true		true
rf1	11060	01	2	2	1,2	0		0		true	true		true
rf1	11063	01	2	2	1,2	0		0		true	true		true
rf1	11064	01	2	2	1,2	0		0		true	true		true
rf1	11065	01	2	2	1,2	0		0		true	true		true
rf1	11066	01	2	2	1,2	0		0		true	true		true
rf1	11068	01	2	2	1,2	0		0		true	true		true
rf1	11071	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	11072	01	2	2	1,2	0		0		true	true		true
rf1	11074	01	2	2	1,2	0		0		true	true		true
rf1	11075	01	2	2	1,2	0		0		true	true		true
rf1	11076	01	1	1	1	0		0		true	true		true
rf1	11078	01	2	2	1,2	0		0		true	true		true
rf1	11083	01	2	2	1,2	0		0		true	true		true
rf1	11084	01	2	2	1,2	0		0		true	true		true
rf1	11085	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	11090	01	2	2	1,2	0		0		true	true		true
rf1	11110	01	2	2	1,2	0		0		true	true		true
rf1	11113	01	2	2	1,2	0		0		true	true		true
rf1	11116	01	2	2	1,2	0		0		true	true		true
rf1	11120	01	2	2	1,2	0		0		true	true		true
rf1	11125	01	2	1	1	1	2	0		true	false	loss_sum_greater_than_win_sum	false
rf1	11126	01	1	1	1	0		0		true	true		true
rf1	11128	01	2	2	1,2	0		0		true	true		true
rf1	11134	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11139	01	2	2	1,2	0		0		true	true		true
rf1	11145	01	2	2	1,2	0		0		true	true		true
rf1	11164	01	1	1	1	0		0		true	true		true
rf1	11167	01	2	2	1,2	0		0		true	true		true
rf1	11168	01	2	2	1,2	0		0		true	true		true
rf1	11171	01	2	2	1,2	0		0		true	true		true
rf1	11177	01	2	2	1,2	0		0		true	true		true
rf1	11192	01	2	2	1,2	0		0		true	true		true
rf1	11193	01	2	2	1,2	0		0		true	true		true
rf1	11201	01	1	0		0		1	1	false	true		false
rf1	11203	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11209	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11227	01	2	2	1,2	0		0		true	true		true
rf1	11238	01	2	2	1,2	0		0		true	true		true
rf1	11241	01	2	2	1,2	0		0		true	true		true
rf1	11246	01	2	2	1,2	0		0		true	true		true
rf1	11276	01	2	2	1,2	0		0		true	true		true
rf1	11286	01	1	1	1	0		0		true	true		true
rf1	11301	01	2	2	1,2	0		0		true	true		true
rf1	11311	01	2	2	1,2	0		0		true	true		true
rf1	11312	01	2	2	1,2	0		0		true	true		true
rf1	11316	01	2	2	1,2	0		0		true	true		true
rf1	11318	01	2	2	1,2	0		0		true	true		true
rf1	11321	01	2	2	1,2	0		0		true	true		true
rf1	11325	01	2	2	1,2	0		0		true	true		true
rf1	11326	01	2	2	1,2	0		0		true	true		true
rf1	11329	01	2	2	1,2	0		0		true	true		true
rf1	11330	01	2	2	1,2	0		0		true	true		true
rf1	11337	01	2	2	1,2	0		0		true	true		true
rf1	11338	01	2	2	1,2	0		0		true	true		true
rf1	11340	01	2	2	1,2	0		0		true	true		true
rf1	11343	01	2	2	1,2	0		0		true	true		true
rf1	11345	01	2	2	1,2	0		0		true	true		true
rf1	11348	01	2	2	1,2	0		0		true	true		true
rf1	11358	01	2	2	1,2	0		0		true	true		true
rf1	11364	01	2	2	1,2	0		0		true	true		true
rf1	11367	01	2	2	1,2	0		0		true	true		true
rf1	11374	01	2	2	1,2	0		0		true	true		true
rf1	11376	01	2	2	1,2	0		0		true	true		true
rf1	11377	01	2	2	1,2	0		0		true	true		true
rf1	11387	01	2	2	1,2	0		0		true	true		true
rf1	11410	01	2	2	1,2	0		0		true	true		true
rf1	11416	01	1	1	1	0		0		true	true		true
rf1	11426	01	1	1	1	0		0		true	true		true
rf1	11430	01	1	1	1	0		0		true	true		true
rf1	11432	01	2	2	1,2	0		0		true	true		true
rf1	11433	01	2	2	1,2	0		0		true	true		true
rf1	11435	01	2	2	1,2	0		0		true	true		true
rf1	11439	01	1	1	1	0		0		true	true		true
rf1	11440	01	2	2	1,2	0		0		true	true		true
rf1	11443	01	1	1	1	0		0		true	true		true
rf1	11450	01	2	1	1	1	2	0		true	true		true
rf1	11451	01	2	2	1,2	0		0		true	true		true
rf1	11461	01	2	2	1,2	0		0		true	true		true
rf1	11462	01	1	1	1	0		0		true	true		true
rf1	11472	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	11492	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	11493	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11498	01	1	1	1	0		0		true	true		true
rf1	11517	01	2	1	2	0		1	1	true	true		true
rf1	11518	01	2	2	1,2	0		0		true	true		true
rf1	11523	01	2	2	1,2	0		0		true	true		true
rf1	11526	01	2	2	1,2	0		0		true	true		true
rf1	11527	01	2	2	1,2	0		0		true	true		true
rf1	11529	01	2	2	1,2	0		0		true	true		true
rf1	11530	01	2	2	1,2	0		0		true	true		true
rf1	11532	01	2	2	1,2	0		0		true	true		true
rf1	11533	01	2	2	1,2	0		0		true	true		true
rf1	11534	01	2	2	1,2	0		0		true	true		true
rf1	11535	01	2	2	1,2	0		0		true	true		true
rf1	11536	01	2	2	1,2	0		0		true	true		true
rf1	11539	01	2	0		2	1,2	0		false	false	missing_ratings_file	false
rf1	11540	01	2	2	1,2	0		0		true	true		true
rf1	11542	01	2	2	1,2	0		0		true	true		true
rf1	11545	01	2	2	1,2	0		0		true	true		true
rf1	11551	01	2	2	1,2	0		0		true	true		true
rf1	11559	01	2	2	1,2	0		0		true	true		true
rf1	11560	01	2	2	1,2	0		0		true	true		true
rf1	11563	01	2	2	1,2	0		0		true	true		true
rf1	11570	01	2	2	1,2	0		0		true	true		true
rf1	11572	01	2	2	1,2	0		0		true	true		true
rf1	11579	01	2	2	1,2	0		0		true	true		true
rf1	11586	01	1	1	1	0		0		true	true		true
rf1	11587	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	11588	01	2	2	1,2	0		0		true	true		true
rf1	11591	01	2	2	1,2	0		0		true	true		true
rf1	11597	01	2	2	1,2	0		0		true	true		true
rf1	11598	01	2	2	1,2	0		0		true	true		true
rf1	11599	01	2	2	1,2	0		0		true	true		true
rf1	11600	01	2	2	1,2	0		0		true	true		true
rf1	11606	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11614	01	2	2	1,2	0		0		true	false	loss_sum_greater_than_win_sum	false
rf1	11622	01	2	2	1,2	0		0		true	true		true
rf1	11623	01	1	1	1	0		0		true	true		true
rf1	11625	01	2	2	1,2	0		0		true	true		true
rf1	11626	01	2	2	1,2	0		0		true	true		true
rf1	11628	01	2	2	1,2	0		0		true	true		true
rf1	11631	01	2	2	1,2	0		0		true	true		true
rf1	11651	01	2	2	1,2	0		0		true	true		true
rf1	11660	01	2	2	1,2	0		0		true	true		true
rf1	11670	01	2	2	1,2	0		0		true	true		true
rf1	11674	01	1	1	1	0		0		true	true		true
rf1	11679	01	2	2	1,2	0		0		true	true		true
rf1	11681	01	2	2	1,2	0		0		true	false	missing_ratings_file	false
rf1	11692	01	2	2	1,2	0		0		true	true		true
rf1	11694	01	1	1	1	0		0		true	false	missing_ratings_file	false
rf1	11701	01	2	2	1,2	0		0		true	true		true
rf1	11703	01	2	2	1,2	0		0		true	true		true
rf1	11705	01	2	2	1,2	0		0		true	true		true
rf1	11709	01	2	2	1,2	0		0		true	true		true
rf1	11710	01	2	2	1,2	0		0		true	true		true
rf1	11714	01	2	2	1,2	0		0		true	true		true
rf1	11719	01	1	1	1	0		0		true	true		true
rf1	11720	01	2	2	1,2	0		0		true	true		true
rf1	11722	01	2	2	1,2	0		0		true	true		true
rf1	11723	01	2	2	1,2	0		0		true	true		true
rf1	11736	01	2	2	1,2	0		0		true	true		true
rf1	11744	01	2	2	1,2	0		0		true	true		true
rf1	11746	01	2	2	1,2	0		0		true	true		true
rf1	11748	01	2	2	1,2	0		0		true	true		true
rf1	11756	01	2	2	1,2	0		0		true	true		true
rf1	11764	01	2	2	1,2	0		0		true	true		true
rf1	11772	01	1	1	1	0		0		true	true		true
rf1	11773	01	2	2	1,2	0		0		true	true		true
rf1	11774	01	2	2	1,2	0		0		true	true		true
rf1	11784	01	2	2	1,2	0		0		true	true		true
rf1	11787	01	2	2	1,2	0		0		true	true		true
rf1	11788	01	2	2	1,2	0		0		true	true		true
rf1	11789	01	2	2	1,2	0		0		true	true		true
rf1	11790	01	2	2	1,2	0		0		true	true		true
rf1	11793	01	2	2	1,2	0		0		true	true		true
rf1	11795	01	2	2	1,2	0		0		true	true		true
rf1	11815	01	2	2	1,2	0		0		true	true		true
rf1	11822	01	2	2	1,2	0		0		true	true		true
rf1	11823	01	2	2	1,2	0		0		true	true		true
rf1	11824	01	2	2	1,2	0		0		true	true		true
rf1	11828	01	2	2	1,2	0		0		true	true		true
rf1	11829	01	2	1	2	1	1	0		true	true		true
rf1	11840	01	2	2	1,2	0		0		true	true		true
rf1	11847	01	2	2	1,2	0		0		true	true		true
rf1	11853	01	2	2	1,2	0		0		true	true		true
rf1	11854	01	2	2	1,2	0		0		true	true		true
rf1	11861	01	2	2	1,2	0		0		true	true		true
rf1	11866	01	2	2	1,2	0		0		true	true		true
rf1	11867	01	2	2	1,2	0		0		true	true		true
rf1	11870	01	2	2	1,2	0		0		true	true		true
rf1	11872	01	2	2	1,2	0		0		true	true		true
rf1	11876	01	2	2	1,2	0		0		true	true		true
rf1	11877	01	2	2	1,2	0		0		true	true		true
rf1	11881	01	2	2	1,2	0		0		true	true		true
rf1	11885	01	2	2	1,2	0		0		true	true		true
rf1	11891	01	2	2	1,2	0		0		true	true		true
rf1	11897	01	2	2	1,2	0		0		true	true		true
rf1	11900	01	2	2	1,2	0		0		true	true		true
rf1	11902	01	2	1	1	1	2	0		true	true		true
rf1	11909	01	2	2	1,2	0		0		true	true		true
rf1	11913	01	2	2	1,2	0		0		true	true		true
rf1	11914	01	2	2	1,2	0		0		true	false	identical_ratings	false
rf1	11920	01	2	1	1	1	2	0		true	true		true
rf1	11922	01	2	2	1,2	0		0		true	true		true
rf1	11923	01	2	2	1,2	0		0		true	true		true
rf1	11924	01	2	2	1,2	0		0		true	true		true
rf1	11926	01	2	2	1,2	0		0		true	true		true
rf1	11928	01	2	2	1,2	0		0		true	true		true
rf1	11929	01	2	2	1,2	0		0		true	true		true
rf1	11931	01	2	2	1,2	0		0		true	true		true
rf1	11935	01	2	2	1,2	0		0		true	true		true
rf1	11939	01	2	2	1,2	0		0		true	true		true
rf1	11943	01	2	2	1,2	0		0		true	true		true
rf1	11949	01	2	2	1,2	0		0		true	true		true
rf1	11960	01	2	2	1,2	0		0		true	true		true
rf1	11969	01	2	0		2	1,2	0		false	true		false
rf1	11974	01	2	2	1,2	0		0		true	true		true
rf1	11976	01	2	2	1,2	0		0		true	true		true
rf1	11982	01	2	2	1,2	0		0		true	true		true
rf1	11984	01	2	1	2	1	1	0		true	true		true
rf1	12008	01	2	2	1,2	0		0		true	true		true
rf1	12011	01	2	2	1,2	0		0		true	true		true
rf1	12013	01	2	2	1,2	0		0		true	true		true
rf1	12018	01	2	2	1,2	0		0		true	true		true
rf1	12020	01	2	1	2	1	1	0		true	true		true
rf1	12021	01	2	2	1,2	0		0		true	true		true
rf1	12031	01	2	2	1,2	0		0		true	true		true
rf1	12033	01	2	2	1,2	0		0		true	true		true
rf1	12036	01	2	1	1	1	2	0		true	false	identical_ratings	false
rf1	12037	01	2	1	1	1	2	0		true	false	missing_ratings_file	false
rf1	12038	01	2	2	1,2	0		0		true	true		true
rf1	12039	01	2	2	1,2	0		0		true	true		true
rf1	12041	01	1	0		1	1	0		false	true		false
rf1	12047	01	2	2	1,2	0		0		true	true		true
rf1	12049	01	2	2	1,2	0		0		true	true		true
rf1	12051	01	2	2	1,2	0		0		true	true		true
rf1	12054	01	2	2	1,2	0		0		true	true		true
rf1	12055	01	2	2	1,2	0		0		true	true		true
rf1	12057	01	2	2	1,2	0		0		true	true		true
