dataset	subject	n_runs	excluded_runs	usable_runs	exclude_subject
ds003745	104	2	0	2	false
ds003745	105	2	0	2	false
ds003745	106	2	0	2	false
ds003745	107	2	0	2	false
ds003745	108	2	0	2	false
ds003745	109	2	1	1	false
ds003745	110	2	0	2	false
ds003745	111	2	1	1	false
ds003745	112	2	0	2	false
ds003745	113	2	0	2	false
ds003745	115	2	0	2	false
ds003745	116	2	0	2	false
ds003745	117	2	0	2	false
ds003745	118	2	2	0	true
ds003745	120	2	0	2	false
ds003745	121	2	0	2	false
ds003745	122	2	0	2	false
ds003745	124	2	0	2	false
ds003745	125	2	0	2	false
ds003745	126	2	0	2	false
ds003745	127	2	0	2	false
ds003745	128	2	0	2	false
ds003745	129	2	1	1	false
ds003745	130	2	0	2	false
ds003745	131	2	0	2	false
ds003745	132	2	0	2	false
ds003745	133	2	0	2	false
ds003745	134	2	0	2	false
ds003745	135	2	2	0	true
ds003745	136	2	0	2	false
ds003745	137	2	0	2	false
ds003745	138	2	2	0	true
ds003745	140	2	0	2	false
ds003745	141	2	0	2	false
ds003745	142	2	0	2	false
ds003745	143	2	0	2	false
ds003745	144	2	0	2	false
ds003745	145	2	0	2	false
ds003745	147	2	0	2	false
ds003745	149	2	1	1	false
ds003745	150	2	0	2	false
ds003745	151	2	0	2	false
ds003745	152	2	1	1	false
ds003745	153	2	0	2	false
ds003745	154	2	0	2	false
ds003745	155	2	0	2	false
ds003745	156	2	0	2	false
ds003745	157	2	0	2	false
ds003745	158	2	0	2	false
ds003745	159	2	0	2	false
rf1	10317	2	0	2	false
rf1	10369	2	0	2	false
rf1	10402	2	0	2	false
rf1	10418	2	0	2	false
rf1	10462	1	0	1	false
rf1	10478	2	0	2	false
rf1	10486	2	0	2	false
rf1	10529	2	0	2	false
rf1	10541	2	0	2	false
rf1	10559	2	0	2	false
rf1	10572	2	0	2	false
rf1	10581	2	0	2	false
rf1	10584	1	0	1	false
rf1	10585	2	0	2	false
rf1	10589	2	0	2	false
rf1	10590	2	0	2	false
rf1	10596	2	0	2	false
rf1	10603	1	0	1	false
rf1	10606	2	0	2	false
rf1	10608	2	1	1	false
rf1	10617	1	0	1	false
rf1	10636	2	0	2	false
rf1	10638	2	0	2	false
rf1	10640	2	0	2	false
rf1	10641	1	0	1	false
rf1	10642	2	0	2	false
rf1	10644	2	0	2	false
rf1	10647	2	0	2	false
rf1	10649	2	0	2	false
rf1	10652	2	0	2	false
rf1	10656	2	0	2	false
rf1	10657	2	0	2	false
rf1	10661	2	0	2	false
rf1	10663	2	0	2	false
rf1	10668	1	0	1	false
rf1	10673	2	0	2	false
rf1	10674	2	0	2	false
rf1	10677	2	0	2	false
rf1	10685	2	0	2	false
rf1	10690	2	0	2	false
rf1	10691	2	0	2	false
rf1	10700	2	0	2	false
rf1	10701	2	0	2	false
rf1	10713	2	0	2	false
rf1	10716	2	0	2	false
rf1	10718	2	0	2	false
rf1	10720	2	0	2	false
rf1	10723	2	0	2	false
rf1	10741	2	0	2	false
rf1	10748	2	0	2	false
rf1	10767	2	0	2	false
rf1	10770	2	0	2	false
rf1	10777	2	0	2	false
rf1	10781	2	0	2	false
rf1	10783	2	0	2	false
rf1	10785	2	0	2	false
rf1	10794	2	0	2	false
rf1	10800	2	0	2	false
rf1	10801	2	0	2	false
rf1	10802	2	0	2	false
rf1	10803	1	0	1	false
rf1	10804	2	0	2	false
rf1	10806	2	0	2	false
rf1	10807	2	0	2	false
rf1	10809	2	1	1	false
rf1	10810	2	0	2	false
rf1	10812	2	0	2	false
rf1	10817	2	0	2	false
rf1	10827	2	0	2	false
rf1	10831	2	0	2	false
rf1	10834	2	0	2	false
rf1	10838	2	0	2	false
rf1	10843	2	0	2	false
rf1	10850	2	0	2	false
rf1	10854	2	0	2	false
rf1	10857	2	0	2	false
rf1	10858	2	0	2	false
rf1	10860	2	0	2	false
rf1	10862	2	0	2	false
rf1	10863	2	0	2	false
rf1	10866	2	0	2	false
rf1	10875	2	0	2	false
rf1	10881	1	0	1	false
rf1	10886	1	0	1	false
rf1	10887	2	0	2	false
rf1	10896	2	0	2	false
rf1	10897	1	0	1	false
rf1	10898	2	0	2	false
