dataset	subject	session	run	input_bold	input_mask	output_bold	target_fwhm_mm	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	104		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.95843	5.93601	5.93886	5.94443	0.574016	3.13097	11.4741	8.88883	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.85066	5.82593	5.80562	5.82737	0.563073	3.05727	11.1329	8.72503	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.81094	5.7891	5.80939	5.80313	0.599441	3.11372	11.521	8.72814	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.81385	5.82574	5.82514	5.82158	0.566919	3.11053	11.1696	8.82947	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.74515	5.71232	5.74911	5.7355	0.574144	3.03418	11.2608	8.63701	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.6675	5.66	5.71668	5.68134	0.58064	3.00756	11.4461	8.57154	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.86108	5.85813	5.87904	5.86607	0.598738	3.09678	13.111	8.90501	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.83327	5.79604	5.83081	5.82002	0.59491	3.09619	11.9769	8.7767	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.88939	5.87547	5.88673	5.88386	0.631019	3.13398	12.8205	8.7776	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.69812	5.70138	5.72586	5.70844	0.627804	3.01397	12.3775	8.46115	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
