dataset	subject	session	run	source_events	harmonized_events	n_trials	n_responded_trials	n_missed_trials	missed_trial_fraction	n_event_computer_punish	n_event_computer_neutral	n_event_computer_reward	n_event_friend_punish	n_event_friend_neutral	n_event_friend_reward	n_event_stranger_punish	n_event_stranger_neutral	n_event_stranger_reward	zero_count_conditions	exclude_run	exclusion_reason
ds003745	111		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-111/func/sub-111_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-111/func/sub-111_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	32	40	0.5555555555555556	3	0	7	5	2	2	8	0	5	event_computer_neutral;event_stranger_neutral	true	missed_trials_gt_25pct
ds003745	111		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-111/func/sub-111_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-111/func/sub-111_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	64	8	0.1111111111111111	7	0	8	14	4	14	7	1	9	event_computer_neutral	false	
ds003745	112		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-112/func/sub-112_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-112/func/sub-112_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	12	6	14	8	1	7	14	2	8		false	
ds003745	112		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-112/func/sub-112_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-112/func/sub-112_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	7	0	8	14	4	14	8	2	14	event_computer_neutral	false	
ds003745	113		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-113/func/sub-113_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-113/func/sub-113_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	14	4	14	7	2	7	13	3	8		false	
ds003745	113		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-113/func/sub-113_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-113/func/sub-113_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	6	2	8	15	3	14	9	2	13		false	
ds003745	115		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-115/func/sub-115_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-115/func/sub-115_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	13	6	13	6	3	6	14	1	9		false	
ds003745	115		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-115/func/sub-115_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-115/func/sub-115_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	8	1	7	13	4	15	8	3	13		false	
ds003745	116		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-116/func/sub-116_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-116/func/sub-116_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	6	4	6	13	4	13	8	3	13		false	
ds003745	116		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-116/func/sub-116_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-116/func/sub-116_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	13	6	13	7	3	6	12	3	9		false	
ds003745	117		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-117/func/sub-117_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-117/func/sub-117_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	6	2	8	13	5	14	8	4	12		false	
ds003745	117		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-117/func/sub-117_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-117/func/sub-117_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	14	5	13	8	1	7	14	3	7		false	
ds003745	118		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-118/func/sub-118_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-118/func/sub-118_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	53	19	0.2638888888888889	5	2	5	7	3	10	6	3	12		true	missed_trials_gt_25pct
ds003745	118		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-118/func/sub-118_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-118/func/sub-118_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	48	24	0.3333333333333333	5	3	12	4	0	7	8	4	5	event_friend_neutral	true	missed_trials_gt_25pct
ds003745	120		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-120/func/sub-120_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-120/func/sub-120_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	62	10	0.1388888888888889	13	2	13	6	3	7	11	0	7	event_stranger_neutral	false	
ds003745	120		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-120/func/sub-120_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-120/func/sub-120_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	6	3	7	13	5	14	7	4	13		false	
ds003745	121		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-121/func/sub-121_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-121/func/sub-121_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	8	2	6	13	5	14	9	2	13		false	
ds003745	121		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-121/func/sub-121_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-121/func/sub-121_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	15	1	16	6	3	7	13	3	8		false	
ds003745	122		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-122/func/sub-122_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-122/func/sub-122_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	11	4	15	8	2	6	12	4	7		false	
ds003745	122		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-122/func/sub-122_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-122/func/sub-122_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	6	2	6	15	3	14	9	3	12		false	
ds003745	124		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-124/func/sub-124_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-124/func/sub-124_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	6	2	8	14	5	13	7	4	13		false	
ds003745	124		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-124/func/sub-124_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-124/func/sub-124_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	16	0	16	7	1	7	12	2	9	event_computer_neutral	false	
ds003745	125		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-125/func/sub-125_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-125/func/sub-125_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	13	4	13	6	4	6	12	5	7		false	
ds003745	125		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-125/func/sub-125_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-125/func/sub-125_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	7	1	7	14	3	15	9	1	13		false	
ds003745	126		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-126/func/sub-126_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-126/func/sub-126_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	15	3	14	7	3	6	13	3	8		false	
ds003745	126		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-126/func/sub-126_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-126/func/sub-126_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	6	2	8	13	4	14	8	3	13		false	
ds003745	127		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-127/func/sub-127_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-127/func/sub-127_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	14	3	14	7	1	8	14	3	6		false	
ds003745	127		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-127/func/sub-127_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-127/func/sub-127_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	7	2	7	12	7	13	8	2	14		false	
ds003745	128		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-128/func/sub-128_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-128/func/sub-128_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	15	3	14	8	2	6	13	3	8		false	
ds003745	128		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-128/func/sub-128_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-128/func/sub-128_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	7	2	6	13	4	14	10	1	13		false	
ds003745	129		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-129/func/sub-129_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-129/func/sub-129_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	45	27	0.375	4	1	3	8	3	11	5	1	9		true	missed_trials_gt_25pct
ds003745	129		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-129/func/sub-129_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-129/func/sub-129_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	67	5	0.06944444444444445	11	4	12	7	2	7	14	1	9		false	
ds003745	130		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-130/func/sub-130_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-130/func/sub-130_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	5	2	6	16	2	14	9	2	13		false	
ds003745	130		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-130/func/sub-130_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-130/func/sub-130_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	14	6	12	7	1	8	12	2	10		false	
ds003745	131		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-131/func/sub-131_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-131/func/sub-131_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	56	16	0.2222222222222222	8	0	7	8	2	11	7	3	10	event_computer_neutral	false	
ds003745	131		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-131/func/sub-131_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-131/func/sub-131_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	63	9	0.125	11	3	12	6	2	6	11	4	8		false	
ds003745	132		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-132/func/sub-132_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-132/func/sub-132_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	13	7	12	8	1	7	14	0	10	event_stranger_neutral	false	
ds003745	132		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-132/func/sub-132_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-132/func/sub-132_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	8	0	8	16	1	15	8	3	12	event_computer_neutral	false	
ds003745	133		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-133/func/sub-133_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-133/func/sub-133_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	14	2	14	7	1	7	12	3	9		false	
ds003745	133		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-133/func/sub-133_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-133/func/sub-133_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	66	6	0.08333333333333333	5	2	6	13	5	12	7	4	12		false	
ds003745	134		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-134/func/sub-134_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-134/func/sub-134_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	65	7	0.09722222222222222	6	1	8	14	1	16	5	3	11		false	
ds003745	134		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-134/func/sub-134_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-134/func/sub-134_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	65	7	0.09722222222222222	11	4	15	8	0	8	9	2	8	event_friend_neutral	false	
ds003745	135		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-135/func/sub-135_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-135/func/sub-135_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	53	19	0.2638888888888889	9	2	7	5	2	7	12	0	9	event_stranger_neutral	true	missed_trials_gt_25pct
ds003745	135		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-135/func/sub-135_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-135/func/sub-135_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	33	39	0.5416666666666666	3	0	4	6	3	5	2	1	9	event_computer_neutral	true	missed_trials_gt_25pct
ds003745	136		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-136/func/sub-136_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-136/func/sub-136_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	6	3	7	14	3	14	9	3	12		false	
ds003745	136		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-136/func/sub-136_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-136/func/sub-136_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	14	6	12	7	2	7	13	1	10		false	
ds003745	137		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-137/func/sub-137_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-137/func/sub-137_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	6	3	7	13	7	12	9	2	13		false	
ds003745	137		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-137/func/sub-137_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-137/func/sub-137_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	15	4	12	6	3	7	13	5	6		false	
ds003745	138		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-138/func/sub-138_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-138/func/sub-138_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	14	58	0.8055555555555556	0	1	5	1	0	1	4	0	2	event_computer_punish;event_friend_neutral;event_stranger_neutral	true	missed_trials_gt_25pct
ds003745	138		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-138/func/sub-138_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-138/func/sub-138_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	6	66	0.9166666666666666	1	0	0	0	0	2	0	0	3	event_computer_neutral;event_computer_reward;event_friend_punish;event_friend_neutral;event_stranger_punish;event_stranger_neutral	true	missed_trials_gt_25pct
ds003745	140		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-140/func/sub-140_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-140/func/sub-140_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	68	4	0.05555555555555555	7	2	7	12	3	15	10	0	12	event_stranger_neutral	false	
ds003745	140		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-140/func/sub-140_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-140/func/sub-140_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	15	3	12	8	0	8	13	2	8	event_friend_neutral	false	
ds003745	141		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-141/func/sub-141_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-141/func/sub-141_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	14	5	12	8	0	8	11	4	7	event_friend_neutral	false	
ds003745	141		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-141/func/sub-141_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-141/func/sub-141_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	6	2	7	13	4	14	7	3	13		false	
ds003745	142		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-142/func/sub-142_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-142/func/sub-142_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	65	7	0.09722222222222222	6	2	7	12	4	13	6	5	10		false	
ds003745	142		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-142/func/sub-142_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-142/func/sub-142_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	69	3	0.041666666666666664	13	3	13	7	2	7	12	3	9		false	
ds003745	143		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-143/func/sub-143_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-143/func/sub-143_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	70	2	0.027777777777777776	6	1	8	15	1	15	7	3	14		false	
ds003745	143		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-143/func/sub-143_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-143/func/sub-143_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	14	4	14	8	0	8	14	2	8	event_friend_neutral	false	
