dataset	subject	session	run	source_events	harmonized_events	n_trials	n_responded_trials	n_missed_trials	missed_trial_fraction	n_event_computer_punish	n_event_computer_neutral	n_event_computer_reward	n_event_friend_punish	n_event_friend_neutral	n_event_friend_reward	n_event_stranger_punish	n_event_stranger_neutral	n_event_stranger_reward	zero_count_conditions	exclude_run	exclusion_reason
ds003745	104		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-104/func/sub-104_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-104/func/sub-104_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	7	3	6	15	4	13	7	4	13		false	
ds003745	104		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-104/func/sub-104_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-104/func/sub-104_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	15	5	12	7	2	7	14	1	9		false	
ds003745	105		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-105/func/sub-105_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-105/func/sub-105_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	13	5	14	7	2	7	14	1	9		false	
ds003745	105		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-105/func/sub-105_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-105/func/sub-105_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	7	2	7	14	6	12	7	3	14		false	
ds003745	106		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-106/func/sub-106_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-106/func/sub-106_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	6	3	7	14	4	14	8	2	14		false	
ds003745	106		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-106/func/sub-106_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-106/func/sub-106_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	13	4	14	6	2	8	13	4	7		false	
ds003745	107		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-107/func/sub-107_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-107/func/sub-107_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	71	1	0.013888888888888888	13	6	13	7	2	7	13	1	9		false	
ds003745	107		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-107/func/sub-107_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-107/func/sub-107_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	7	2	7	14	4	14	9	1	14		false	
ds003745	108		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-108/func/sub-108_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-108/func/sub-108_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	7	1	8	13	4	15	9	2	13		false	
ds003745	108		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-108/func/sub-108_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-108/func/sub-108_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	14	3	15	8	1	7	12	4	8		false	
ds003745	109		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-109/func/sub-109_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-109/func/sub-109_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	66	6	0.08333333333333333	15	1	12	8	0	8	14	2	6	event_friend_neutral	false	
ds003745	109		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-109/func/sub-109_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-109/func/sub-109_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	53	19	0.2638888888888889	5	4	5	11	5	7	4	0	12	event_stranger_neutral	true	missed_trials_gt_25pct
ds003745	110		01	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-110/func/sub-110_task-sharedreward_run-01_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-110/func/sub-110_task-sharedreward_run-01_desc-fullTrial_events.tsv	72	72	0	0.0	7	2	7	14	4	14	7	5	12		false	
ds003745	110		02	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/sub-110/func/sub-110_task-sharedreward_run-02_events.tsv	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/events/ds003745/sub-110/func/sub-110_task-sharedreward_run-02_desc-fullTrial_events.tsv	72	72	0	0.0	13	5	14	7	2	7	13	2	9		false	
