dataset	n	baseline_mean	baseline_median	baseline_min	baseline_max	afni_mean	afni_median	afni_min	afni_max	susan_mean	susan_median	susan_min	susan_max	gaussian_expected_mean	gaussian_expected_median	gaussian_expected_min	gaussian_expected_max	effective_added_mean	effective_added_median	effective_added_min	effective_added_max	susan_minus_afni_mean	susan_minus_afni_median	susan_minus_afni_min	susan_minus_afni_max
ds003745	100	3.7268551	3.719255	3.49012	4.01874	5.774944	5.779435	5.52188	5.99337	8.2600109	8.23894	7.62594	9.13668	7.0638797	7.0592393	6.941249	7.2215145	7.3697192	7.3593386	6.7100124	8.3631534	2.4850669	2.439995	1.94117	3.37518
rf1	665	3.5458275	3.45098	2.90664	4.61897	5.8520135	5.85416	5.27996	6.16019	7.9186071	7.57765	6.10266	10.6975	6.9754322	6.9216518	6.666975	7.5719802	7.0776229	6.8083632	5.2419244	9.6675207	2.0665936	1.71443	0.49298	4.91024
