dataset	subject	session	run	stage	input_bold	input_mask	voxel_size_x	voxel_size_y	voxel_size_z	n_volumes	tr_seconds	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	104		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.75825	3.68524	3.85446	3.76535	0.894015	2.1155	20.3259	5.28241	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-104/func/sub-104_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.52076	3.40991	3.61279	3.5135	0.885215	1.96133	16.0291	4.76496	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.80562	3.71515	3.86398	3.79442	0.885252	2.12197	20.7423	5.34456	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	104		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-104/func/sub-104_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.56807	3.44368	3.62238	3.54392	0.877313	1.96669	16.3877	4.81303	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.57866	3.52768	3.76241	3.62153	0.908695	2.06673	18.6387	5.05992	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.32101	3.22847	3.52663	3.35641	0.898737	1.90566	14.3915	4.56289	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.61271	3.58064	3.81282	3.6673	0.897487	2.08301	19.1468	5.15949	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.35987	3.28757	3.57969	3.40681	0.887639	1.9237	14.8631	4.65174	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.80433	3.63171	3.78177	3.73848	0.895043	2.10818	20.438	5.25573	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.5634	3.35508	3.51743	3.47748	0.888728	1.94974	16.0887	4.72255	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.81565	3.6678	3.80601	3.76254	0.891283	2.11838	20.7302	5.30605	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
