dataset	subject	session	run	method	image	mask	nominal_kernel_fwhm_mm	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	118		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz		4.05565	4.07181	3.93028	4.01874	0.838377	2.20005	16.6117	5.91089	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	118		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz		6.07519	6.01462	5.89177	5.99337	0.553827	3.11521	12.2068	9.08367	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	118		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	9.09411	9.40084	8.14629	8.86398	0.456435	4.75373	15.2569	13.9394	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	11720	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz		4.43288	4.75237	4.67778	4.61897	0.512348	2.3574	8.29207	6.90258	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	11720	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz		5.78328	5.78543	5.61637	5.72781	0.371238	3.05365	9.00962	9.15315	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	11720	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-11720/ses-01/func/sub-11720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	11.2489	11.1411	8.24077	10.1081	0.443643	6.33781	13.0972	16.0654	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
