dataset	subject	ratings_file	source_resolution	candidate_count	candidate_files	ratings_file_sha256	n_source_rows	n_rating_blocks	selected_rating_block	n_selected_rows	partner_1_trait_0_n	partner_1_trait_0_mean	partner_1_trait_1_n	partner_1_trait_1_mean	partner_2_trait_0_n	partner_2_trait_0_mean	partner_2_trait_1_n	partner_2_trait_1_mean	partner_3_trait_0_n	partner_3_trait_0_mean	partner_3_trait_1_n	partner_3_trait_1_mean	win_sum	loss_sum	identical_ratings	exclude_subject	exclusion_reason	review_flags
ds003745	104	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/104/sub104_SR-Ratings-2.csv	explicit_map	2	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/104/sub104_SR-Ratings-1.csv;/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/104/sub104_SR-Ratings-2.csv	3495345d4e016f9dd2879fe0da8da888dc235db84410479d56f8f093a0c9e605	6	1	1	6	1	5.0	1	-2.0	1	5.0	1	0.0	1	5.0	1	0.0	15.0	-2.0	false	false		
ds003745	105		missing	0			0	0		0																true	missing_ratings_file	
ds003745	106		missing	0			0	0		0																true	missing_ratings_file	
ds003745	107	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/107/sub107_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/107/sub107_SR-Ratings-2.csv	0e3bccd373ff125f8444872dbcaa34daf6adf0dad2d4beed006f771db14c4b06	6	1	1	6	1	0.0	1	0.0	1	5.0	1	0.0	1	5.0	1	-2.0	10.0	-2.0	false	false		
ds003745	108	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/108/sub108_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/108/sub108_SR-Ratings-2.csv	34aa08c96fc26b1f3637564ed0c840083b4aa3f312fdd19e39a3622ca6c6fc0c	6	1	1	6	1	1.0	1	0.0	1	4.0	1	-3.0	1	5.0	1	-5.0	10.0	-8.0	false	false		
ds003745	109		missing	0			0	0		0																true	missing_ratings_file	
ds003745	110		missing	0			0	0		0																true	missing_ratings_file	
ds003745	111	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/111/sub111_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/111/sub111_SR-Ratings-2.csv	a79d5b944e28265509248660b10b50f7a8ddd247a218b2cf03d9a1dc056088b8	6	1	1	6	1	5.0	1	0.0	1	5.0	1	5.0	1	5.0	1	5.0	15.0	10.0	false	false		
ds003745	112	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/112/sub112_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/112/sub112_SR-Ratings-2.csv	38531fbe3b59e9895f17f9669083e5817b4f699bc88651bead550b8158931d4f	6	1	1	6	1	5.0	1	-4.0	1	5.0	1	-5.0	1	5.0	1	-5.0	15.0	-14.0	false	false		
ds003745	113	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/113/sub113_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/113/sub113_SR-Ratings-2.csv	961f5e234f53f4451b1026b4ce2031748ac95dc0d4586820369d44de8d32d6e6	6	1	1	6	1	5.0	1	-2.0	1	5.0	1	-5.0	1	5.0	1	-5.0	15.0	-12.0	false	false		
ds003745	115	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/115/sub115_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/115/sub115_SR-Ratings-2.csv	67ecae3ffe2d08a71571fba0768a54bdc92dbe32ba963e5206a4d1411f4ff2fd	6	1	1	6	1	5.0	1	0.0	1	5.0	1	-2.0	1	5.0	1	-5.0	15.0	-7.0	false	false		
ds003745	116	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/116/sub116_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/116/sub116_SR-Ratings-2.csv	0a5b2b596ad016909ef137f3b29a1b4035eaeaa9d318858a0f795afe81c74129	6	1	1	6	1	0.0	1	0.0	1	1.0	1	-1.0	1	5.0	1	-2.0	6.0	-3.0	false	false		
ds003745	117	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/117/sub117_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/117/sub117_SR-Ratings-2.csv	b32867a2eab67cc8063b39ceb5f1f23c133fdd40677ee4d135e3cacdbff1d404	6	1	1	6	1	2.0	1	-2.0	1	3.0	1	-4.0	1	4.0	1	-4.0	9.0	-10.0	false	false		
ds003745	118	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/118/sub118_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/118/sub118_SR-Ratings-2.csv	996c802d255b0969b4d8e27bf7aed338c87b6a3dea585a7931a77de8cb7fdfe5	6	1	1	6	1	3.0	1	-3.0	1	2.0	1	-1.0	1	3.0	1	-2.0	8.0	-6.0	false	false		
