subject	status	missing
106	complete	
109	complete	
104	complete	
110	complete	
105	complete	
108	complete	
107	complete	
111	complete	
112	complete	
113	complete	
115	complete	
116	complete	
117	complete	
118	complete	
120	complete	
121	complete	
122	complete	
124	complete	
125	complete	
126	complete	
127	complete	
128	complete	
129	complete	
130	complete	
131	complete	
132	complete	
133	complete	
134	complete	
135	complete	
136	complete	
137	complete	
138	complete	
140	complete	
141	complete	
142	complete	
143	complete	
144	complete	
145	complete	
147	complete	
149	complete	
150	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
151	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
152	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
153	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
154	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
156	incomplete	report,run-01:preproc_bold[found=0],run-01:brain_mask[found=0],run-01:confounds[found=0],run-02:preproc_bold[found=0],run-02:brain_mask[found=0],run-02:confounds[found=0]
155	complete	
157	complete	
158	complete	
159	complete	
