TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,3,1,3,8.075000e-01,2.422500e+00,1.0,0.0,2.99979e-06,0.0100937,4.0166416,1.0,5.570665,1.5540236,5.671111,3.5684764,9.241914,2.0,9.242063,9.850517,5.833876,9.850713,10.659816,--
2,2,1,1,1,2.422500e+00,8.075000e-01,1.0,1.0,--,--,10.661733,2.0,11.287192,0.6254596,11.387595,2.8820405,14.273107,1.0,14.273224,14.878822,4.217089,14.878973,17.303558,--
3,3,4,2,1,8.075000e-01,2.422500e+00,1.0,2.0,--,--,17.318966,2.0,18.154379,0.8354132,18.25477,4.287087,22.544603,2.0,22.544725,23.148895,5.829931,23.149048,23.958702,--
4,4,7,3,1,2.422500e+00,8.075000e-01,1.0,3.0,--,--,23.980986,2.0,24.921118,0.940131,25.021513,2.567369,27.590698,1.0,27.59082,28.195309,4.2143226,28.195463,30.619684,--
5,5,3,1,3,8.075000e-01,2.422500e+00,1.0,4.0,--,--,30.623732,1.0,31.25409,0.6303565,31.354479,4.4921436,35.84874,4.0,35.84886,36.455032,5.8313007,36.455193,37.264706,--
6,6,1,1,1,8.075000e-01,2.422500e+00,1.0,5.0,--,--,37.266914,1.0,37.88881,0.6218922,37.98918,4.500608,42.491425,7.0,42.49155,43.09695,5.8300333,43.0971,43.90639,--
7,7,3,1,3,5.652500e+00,2.422500e+00,1.0,6.0,--,--,43.90821,1.0,44.83919,0.9309813,44.93957,4.191519,49.133144,4.0,49.13326,49.73818,5.8299694,49.738327,55.3927,--
8,8,6,2,3,4.037500e+00,1.615000e+00,1.0,7.0,--,--,55.404404,2.0,56.454082,1.0496804,56.55447,3.2653196,59.821533,6.0,59.82165,60.42622,5.0218177,60.426373,64.4663,--
9,9,4,2,1,2.422500e+00,2.422500e+00,1.0,8.0,--,--,64.47704,1.0,66.23734,1.7603016,66.33773,3.3621984,69.70268,7.0,69.7028,70.308014,5.830971,70.30817,72.732735,--
10,10,6,2,3,8.075000e-01,8.075000e-01,1.0,9.0,--,--,72.74311,1.0,74.504074,1.7609631,74.60448,1.7465369,76.35322,4.0,76.35334,76.95823,4.215116,76.958374,77.76813,--
11,11,8,3,2,4.037500e+00,2.422500e+00,1.0,10.0,--,--,77.77628,1.0,79.33733,1.5610529,79.43771,3.5614471,83.00046,5.0,83.00059,83.60773,5.831446,83.60788,87.64731,--
