trial,partner,trait,ran,order,response,sub,age
1,3,0,1,0,5,10983,24
2,2,0,1,1,2,10983,24
3,1,0,1,2,0,10983,24
4,3,1,1,3,0,10983,24
5,2,1,1,4,-1,10983,24
6,1,1,1,5,-5,10983,24
1,3,0,1,0,0,10860,25
2,2,0,1,1,0,10860,25
3,1,0,1,2,0,10860,25
4,3,1,1,3,0,10860,25
5,2,1,1,4,0,10860,25
6,1,1,1,5,0,10860,25
1,3,0,1,0,5,10649,63
2,2,0,1,1,5,10649,63
3,1,0,1,2,5,10649,63
4,3,1,1,3,-4,10649,63
5,2,1,1,4,-4,10649,63
6,1,1,1,5,-4,10649,63
1,3,0,1,0,5,11021,25
2,2,0,1,1,3,11021,25
3,1,0,1,2,5,11021,25
4,3,1,1,3,-4,11021,25
5,2,1,1,4,-2,11021,25
6,1,1,1,5,0,11021,25
1,3,0,1,0,2,11126,58
2,2,0,1,1,1,11126,58
3,1,0,1,2,0,11126,58
4,3,1,1,3,0,11126,58
5,2,1,1,4,1,11126,58
6,1,1,1,5,-1,11126,58
1,3,0,1,0,5,10572,70
2,2,0,1,1,5,10572,70
3,1,0,1,2,3,10572,70
4,3,1,1,3,-2,10572,70
5,2,1,1,4,-2,10572,70
6,1,1,1,5,0,10572,70
1,3,0,1,0,5,10928,55
2,2,0,1,1,3,10928,55
3,1,0,1,2,1,10928,55
4,3,1,1,3,0,10928,55
5,2,1,1,4,0,10928,55
6,1,1,1,5,0,10928,55
1,3,0,1,0,5,10402,36
2,2,0,1,1,5,10402,36
3,1,0,1,2,3,10402,36
4,3,1,1,3,-5,10402,36
5,2,1,1,4,-5,10402,36
6,1,1,1,5,-5,10402,36
1,3,0,1,0,5,10858,80
2,2,0,1,1,0,10858,80
3,1,0,1,2,0,10858,80
4,3,1,1,3,-3,10858,80
5,2,1,1,4,-1,10858,80
6,1,1,1,5,0,10858,80
1,3,0,1,0,5,10596,27
2,2,0,1,1,2,10596,27
3,1,0,1,2,0,10596,27
4,3,1,1,3,-4,10596,27
5,2,1,1,4,-2,10596,27
6,1,1,1,5,0,10596,27
1,3,0,1,0,5,11064,22
2,2,0,1,1,0,11064,22
3,1,0,1,2,5,11064,22
4,3,1,1,3,-2,11064,22
5,2,1,1,4,-4,11064,22
6,1,1,1,5,-5,11064,22
1,3,0,1,0,4,122,20
2,2,0,1,1,2,122,20
3,1,0,1,2,0,122,20
4,3,1,1,3,-3,122,20
5,2,1,1,4,-2,122,20
6,1,1,1,5,-1,122,20
1,3,0,1,0,0,155,30
2,2,0,1,1,0,155,30
3,1,0,1,2,0,155,30
4,3,1,1,3,-1,155,30
5,2,1,1,4,0,155,30
6,1,1,1,5,0,155,30
1,3,0,1,0,5,10701,27
2,2,0,1,1,4,10701,27
3,1,0,1,2,3,10701,27
4,3,1,1,3,-5,10701,27
5,2,1,1,4,-4,10701,27
6,1,1,1,5,-1,10701,27
1,3,0,1,0,5,128,63
2,2,0,1,1,4,128,63
3,1,0,1,2,4,128,63
4,3,1,1,3,3,128,63
5,2,1,1,4,4,128,63
6,1,1,1,5,2,128,63
1,3,0,1,0,5,10974,80
2,2,0,1,1,3,10974,80
3,1,0,1,2,2,10974,80
4,3,1,1,3,-4,10974,80
5,2,1,1,4,-1,10974,80
6,1,1,1,5,0,10974,80
1,3,0,1,0,5,10897,31
2,2,0,1,1,2,10897,31
3,1,0,1,2,-1,10897,31
4,3,1,1,3,-3,10897,31
5,2,1,1,4,-1,10897,31
6,1,1,1,5,0,10897,31
1,3,0,1,0,3,10559,28
2,2,0,1,1,3,10559,28
3,1,0,1,2,0,10559,28
4,3,1,1,3,-4,10559,28
5,2,1,1,4,0,10559,28
6,1,1,1,5,0,10559,28
1,3,0,1,0,-1,10804,25
2,2,0,1,1,1,10804,25
3,1,0,1,2,1,10804,25
4,3,1,1,3,0,10804,25
5,2,1,1,4,-2,10804,25
6,1,1,1,5,-4,10804,25
1,3,0,1,0,4,10720,33
2,2,0,1,1,0,10720,33
3,1,0,1,2,0,10720,33
4,3,1,1,3,-5,10720,33
5,2,1,1,4,0,10720,33
6,1,1,1,5,-1,10720,33
1,3,0,1,0,5,10585,63
2,2,0,1,1,5,10585,63
3,1,0,1,2,3,10585,63
4,3,1,1,3,-3,10585,63
5,2,1,1,4,-3,10585,63
6,1,1,1,5,-2,10585,63
1,3,0,1,0,3,10718,28
2,2,0,1,1,0,10718,28
3,1,0,1,2,0,10718,28
4,3,1,1,3,0,10718,28
5,2,1,1,4,3,10718,28
6,1,1,1,5,-1,10718,28
1,3,0,1,0,5,10781,37
2,2,0,1,1,3,10781,37
3,1,0,1,2,0,10781,37
4,3,1,1,3,0,10781,37
5,2,1,1,4,0,10781,37
6,1,1,1,5,0,10781,37
1,3,0,1,0,5,10668,37
2,2,0,1,1,5,10668,37
3,1,0,1,2,5,10668,37
4,3,1,1,3,-5,10668,37
5,2,1,1,4,-5,10668,37
6,1,1,1,5,-5,10668,37
1,3,0,1,0,2,11177,55
2,2,0,1,1,0,11177,55
3,1,0,1,2,0,11177,55
4,3,1,1,3,-4,11177,55
5,2,1,1,4,-2,11177,55
6,1,1,1,5,0,11177,55
1,3,0,1,0,5,11193,55
2,2,0,1,1,5,11193,55
3,1,0,1,2,5,11193,55
4,3,1,1,3,0,11193,55
5,2,1,1,4,0,11193,55
6,1,1,1,5,0,11193,55
1,3,0,1,0,5,11007,46
2,2,0,1,1,0,11007,46
3,1,0,1,2,0,11007,46
4,3,1,1,3,-2,11007,46
