Subject,Run,vsmean_stan,fd_mean
104,1,91.703647,0.0812885244138418
104,2,94.158314,0.0784894651893532
105,1,107.323792,0.084579695589592
105,2,106.397772,0.0787852068845273
106,1,106.132565,0.161060664523184
106,2,95.061572,0.165863602162488
107,1,106.384215,0.0788204164918607
107,2,108.987225,0.08771157094
108,1,80.922331,0.123056207656716
108,2,77.318246,0.16304593799005
110,1,101.069952,0.0685287551940298
110,2,72.049061,0.110029659492537
111,2,39.927674,0.266473297150249
112,1,86.077968,0.0987816160298507
112,2,91.620362,0.117023944189055
113,1,69.513141,0.117129241313433
113,2,93.360759,0.135820278159204
115,1,110.18519,0.128074963322985
115,2,112.843939,0.131399446927363
116,1,51.684963,0.271497649174129
116,2,56.605757,0.250646617741294
117,1,93.233805,0.121486500029851
117,2,94.079651,0.114567607731343
120,1,90.218182,0.147341224844279
121,1,107.37882,0.0996891980447761
121,2,110.614564,0.0947691149034826
122,1,103.469073,0.116138395709413
122,2,105.082396,0.123608915298891
124,1,75.994868,0.154817232539303
124,2,71.190051,0.151826574709453
125,1,112.852423,0.084225733605995
125,2,124.756854,0.108237648097015
126,1,48.091573,0.32915707779602
126,2,59.997382,0.220628775731343
127,1,88.54693,0.13377889499005
127,2,85.885002,0.129179135451741
128,1,73.341576,0.255836527475622
128,2,78.054885,0.250784191641791
130,1,38.223803,0.416513633208955
130,2,37.507042,0.339777745761194
132,1,60.635524,0.222928948487562
132,2,59.157467,0.212445609512438
133,1,72.941062,0.225637039480597
133,2,71.286405,0.227052713700498
134,1,24.659901,0.308305150512438
134,2,21.930924,0.275912556425473
136,1,73.678429,0.156030638099502
136,2,81.804712,0.147301069024876
137,1,52.616604,0.205311038341791
137,2,66.780941,0.220096815885572
140,1,79.242314,0.224487650169154
140,2,75.591552,0.242811187510448
141,1,69.130567,0.163692855908955
141,2,74.959651,0.167089209924577
142,1,70.880463,0.219236107840796
142,2,75.201072,0.245968622673632
143,1,62.709165,0.20395524558209
143,2,58.686208,0.211727485646766
144,1,33.648491,0.326744978055373
144,2,34.242176,0.301022268479104
147,1,105.793786,0.169934368527363
147,2,107.772674,0.201740711276015
149,2,71.070258,0.266507001026866
150,1,43.191873,0.171287524711443
150,2,27.136257,0.233946635039801
151,1,61.435429,0.28036849199005
151,2,65.076467,0.264225098877711
153,1,58.062143,0.297581474905473
153,2,52.723742,0.184201177278607
154,1,60.262316,0.169259992128358
