sub,partner_1_trait_0,partner_1_trait_1,partner_2_trait_0,partner_2_trait_1,partner_3_trait_0,partner_3_trait_1,age,diff_partner_3_2_trait_0,diff_partner_3_1_trait_0,diff_partner_3_2_trait_1,diff_partner_3_1_trait_1,Fwin_minus_Floss_minus_Swin_minus_Sloss,Fwin_minus_Floss_minus_Cwin_minus_Closs,FSC_win_minus_FSC_loss
103,1.0,0.0,1.0,0.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,4.0
104,5.0,2.0,5.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,-2.0,0.0,2.0,13.0
107,0.0,0.0,5.0,0.0,5.0,2.0,23.0,0.0,5.0,2.0,2.0,-2.0,3.0,8.0
108,1.0,0.0,4.0,3.0,5.0,5.0,21.0,1.0,4.0,2.0,5.0,-1.0,-1.0,2.0
111,5.0,0.0,5.0,5.0,5.0,5.0,80.0,0.0,0.0,0.0,5.0,0.0,-5.0,5.0
112,5.0,4.0,5.0,5.0,5.0,5.0,23.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
113,5.0,2.0,5.0,5.0,5.0,5.0,34.0,0.0,0.0,0.0,3.0,0.0,-3.0,3.0
114,0.0,0.0,4.0,1.0,3.0,1.0,,-1.0,3.0,0.0,1.0,-1.0,2.0,5.0
115,5.0,0.0,5.0,2.0,5.0,5.0,21.0,0.0,0.0,3.0,5.0,-3.0,-5.0,8.0
116,0.0,0.0,1.0,1.0,5.0,2.0,25.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0
117,2.0,2.0,3.0,4.0,4.0,4.0,20.0,1.0,2.0,0.0,2.0,1.0,0.0,-1.0
118,3.0,3.0,2.0,1.0,3.0,2.0,21.0,1.0,0.0,1.0,-1.0,0.0,1.0,2.0
120,1.0,1.0,3.0,3.0,4.0,5.0,18.0,1.0,3.0,2.0,4.0,-1.0,-1.0,-1.0
121,0.0,2.0,0.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,0.0,0.0,1.0,-4.0
122,0.0,1.0,2.0,2.0,4.0,3.0,20.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0
124,0.0,0.0,3.0,4.0,5.0,5.0,20.0,2.0,5.0,1.0,5.0,1.0,0.0,-1.0
125,3.0,1.0,3.0,1.0,5.0,4.0,21.0,2.0,2.0,3.0,3.0,-1.0,-1.0,5.0
126,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,5.0,3.0,4.0,3.0,3.0,76.0,0.0,3.0,-1.0,-2.0,1.0,5.0,-6.0
128,4.0,2.0,4.0,4.0,5.0,3.0,63.0,1.0,1.0,-1.0,1.0,2.0,0.0,4.0
129,0.0,0.0,5.0,0.0,5.0,0.0,68.0,0.0,5.0,0.0,0.0,0.0,5.0,10.0
136,3.0,1.0,4.0,1.0,5.0,1.0,65.0,1.0,2.0,0.0,0.0,1.0,2.0,9.0
137,1.0,0.0,4.0,2.0,5.0,4.0,72.0,1.0,4.0,2.0,4.0,-1.0,0.0,4.0
138,0.0,0.0,5.0,5.0,5.0,5.0,68.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
140,5.0,5.0,5.0,5.0,5.0,5.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,5.0,0.0,5.0,0.0,5.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
142,4.0,3.0,4.0,3.0,5.0,0.0,70.0,1.0,1.0,-3.0,-3.0,4.0,4.0,7.0
144,1.5,1.0,3.0,1.5,4.0,0.0,72.0,1.0,2.5,-1.5,-1.0,2.5,3.5,6.0
145,0.0,0.0,4.0,3.0,4.0,3.0,71.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0
147,2.0,1.0,4.0,1.0,4.0,0.0,65.0,0.0,2.0,-1.0,-1.0,1.0,3.0,8.0
149,0.0,0.0,1.0,0.0,0.0,0.0,66.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0
150,0.0,0.0,0.0,0.0,2.0,2.0,23.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
151,2.0,0.0,0.0,3.0,1.0,0.0,65.0,1.0,-1.0,-3.0,0.0,4.0,-1.0,0.0
152,0.0,4.0,2.0,4.0,4.0,4.0,66.0,2.0,4.0,0.0,0.0,2.0,4.0,-6.0
153,1.0,1.0,0.0,3.0,3.0,2.0,29.0,3.0,2.0,-1.0,1.0,4.0,1.0,-2.0
154,0.0,0.0,4.0,0.0,5.0,0.0,67.0,1.0,5.0,0.0,0.0,1.0,5.0,9.0
155,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0
156,5.0,5.0,5.0,5.0,5.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3.0,2.0,3.0,4.0,3.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,-2.0,-1.0
158,1.0,0.0,2.0,0.0,4.0,3.0,26.0,2.0,3.0,3.0,3.0,-1.0,0.0,4.0
159,3.0,3.0,3.0,3.0,4.0,5.0,24.0,1.0,1.0,2.0,2.0,-1.0,-1.0,-1.0
10296,1.0,1.0,0.0,2.0,0.0,1.0,,0.0,-1.0,-1.0,0.0,1.0,-1.0,-3.0
10317,0.0,0.0,4.0,1.0,5.0,2.0,63.0,1.0,5.0,1.0,2.0,0.0,3.0,6.0
10319,0.0,4.0,0.0,3.0,5.0,0.0,,5.0,5.0,-3.0,-4.0,8.0,9.0,-2.0
10369,4.0,2.0,4.0,2.0,5.0,5.0,32.0,1.0,1.0,3.0,3.0,-2.0,-2.0,4.0
10402,3.0,5.0,5.0,5.0,5.0,5.0,36.0,0.0,2.0,0.0,0.0,0.0,2.0,-2.0
10462,0.0,5.0,5.0,0.0,5.0,0.0,62.0,0.0,5.0,0.0,-5.0,0.0,10.0,5.0
10486,4.0,2.0,5.0,2.0,5.0,5.0,42.0,0.0,1.0,3.0,3.0,-3.0,-2.0,5.0
10529,5.0,3.0,5.0,4.0,5.0,5.0,68.0,0.0,0.0,1.0,2.0,-1.0,-2.0,3.0
10541,5.0,0.0,4.0,0.0,5.0,2.0,69.0,1.0,0.0,2.0,2.0,-1.0,-2.0,12.0
10555,4.0,3.0,3.0,2.0,5.0,3.0,28.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0
10559,0.0,0.0,3.0,0.0,3.0,4.0,28.0,0.0,3.0,4.0,4.0,-4.0,-1.0,2.0
10572,3.0,0.0,5.0,2.0,5.0,2.0,70.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0
10584,5.0,5.0,5.0,5.0,5.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10585,3.0,2.0,5.0,3.0,5.0,3.0,63.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0
10589,1.0,3.0,1.0,3.0,4.0,4.0,34.0,3.0,3.0,1.0,1.0,2.0,2.0,-4.0
10590,3.0,0.0,3.0,2.0,5.0,4.0,56.0,2.0,2.0,2.0,4.0,0.0,-2.0,5.0
10596,0.0,0.0,2.0,2.0,5.0,4.0,27.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0
10603,0.0,0.0,5.0,3.0,5.0,3.0,69.0,0.0,5.0,0.0,3.0,0.0,2.0,4.0
10608,4.0,0.0,2.0,0.0,5.0,5.0,29.0,3.0,1.0,5.0,5.0,-2.0,-4.0,6.0
10617,0.0,0.0,5.0,5.0,5.0,5.0,73.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
10636,0.0,0.0,3.0,1.0,5.0,5.0,27.0,2.0,5.0,4.0,5.0,-2.0,0.0,2.0
10638,3.0,3.0,5.0,3.0,5.0,5.0,72.0,0.0,2.0,2.0,2.0,-2.0,0.0,2.0
10640,0.0,5.0,0.0,5.0,5.0,5.0,31.0,5.0,5.0,0.0,0.0,5.0,5.0,-10.0
10641,4.0,3.0,1.0,5.0,5.0,2.0,44.0,4.0,1.0,-3.0,-1.0,7.0,2.0,0.0
10642,1.0,0.0,2.0,0.0,5.0,5.0,32.0,3.0,4.0,5.0,5.0,-2.0,-1.0,3.0
10644,0.0,0.0,0.0,0.0,5.0,5.0,69.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
10647,2.0,0.0,0.0,1.0,2.0,4.0,24.0,2.0,0.0,3.0,4.0,-1.0,-4.0,-1.0
10649,5.0,4.0,5.0,4.0,5.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10652,0.0,2.0,0.0,0.0,5.0,0.0,70.0,5.0,5.0,0.0,-2.0,5.0,7.0,3.0
10656,4.0,0.0,1.0,0.0,2.0,1.0,21.0,1.0,-2.0,1.0,1.0,0.0,-3.0,6.0
10657,0.0,0.0,5.0,3.0,5.0,5.0,59.0,0.0,5.0,2.0,5.0,-2.0,0.0,2.0
10659,5.0,5.0,5.0,5.0,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10661,5.0,5.0,5.0,5.0,5.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10663,2.0,3.0,3.0,3.0,4.0,5.0,22.0,1.0,2.0,2.0,2.0,-1.0,0.0,-2.0
10668,5.0,5.0,5.0,5.0,5.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10673,0.0,0.0,1.0,1.0,3.0,5.0,48.0,2.0,3.0,4.0,5.0,-2.0,-2.0,-2.0
10674,4.0,1.0,4.0,1.0,5.0,1.0,33.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0
10677,0.0,0.0,0.0,0.0,1.0,1.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10685,0.0,0.0,0.0,0.0,5.0,0.0,34.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0
10690,5.0,1.0,5.0,1.0,5.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
10691,4.0,4.0,3.0,2.0,5.0,2.0,58.0,2.0,1.0,0.0,-2.0,2.0,3.0,4.0
10701,3.0,1.0,4.0,4.0,5.0,5.0,27.0,1.0,2.0,1.0,4.0,0.0,-2.0,2.0
10713,5.0,5.0,0.0,0.0,0.0,5.0,71.0,0.0,-5.0,5.0,0.0,-5.0,-5.0,-5.0
10716,0.0,0.0,0.0,0.0,5.0,5.0,69.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
10718,0.0,1.0,0.0,3.0,3.0,0.0,28.0,3.0,3.0,-3.0,-1.0,6.0,4.0,-1.0
10720,0.0,1.0,0.0,0.0,4.0,5.0,33.0,4.0,4.0,5.0,4.0,-1.0,0.0,-2.0
10723,4.0,2.0,4.0,2.0,3.0,1.0,21.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,6.0
10741,3.0,1.0,3.0,1.0,5.0,1.0,37.0,2.0,2.0,0.0,0.0,2.0,2.0,8.0
10748,5.0,2.0,5.0,2.0,5.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10767,2.0,2.0,2.0,2.0,3.0,2.0,25.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
10770,0.0,0.0,0.0,0.0,5.0,5.0,64.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
10774,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,-1.0,0.0,1.0
10777,3.0,3.0,3.0,2.0,5.0,1.0,38.0,2.0,2.0,-1.0,-2.0,3.0,4.0,5.0
10781,0.0,0.0,3.0,0.0,5.0,0.0,37.0,2.0,5.0,0.0,0.0,2.0,5.0,8.0
10783,5.0,2.0,5.0,1.0,5.0,3.0,51.0,0.0,0.0,2.0,1.0,-2.0,-1.0,9.0
10785,3.0,2.0,3.0,2.0,5.0,3.0,61.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0
10794,0.0,0.0,0.0,0.0,3.0,2.0,39.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
10800,2.0,3.0,4.0,2.0,3.0,5.0,26.0,-1.0,1.0,3.0,2.0,-4.0,-1.0,-1.0
10801,4.0,1.0,4.0,3.0,4.0,5.0,34.0,0.0,0.0,2.0,4.0,-2.0,-4.0,3.0
10802,3.0,2.0,5.0,2.0,5.0,5.0,42.0,0.0,2.0,3.0,3.0,-3.0,-1.0,4.0
10804,1.0,4.0,1.0,2.0,1.0,0.0,25.0,0.0,0.0,-2.0,-4.0,2.0,4.0,-3.0
10806,5.0,3.0,0.0,0.0,0.0,3.0,27.0,0.0,-5.0,3.0,0.0,-3.0,-5.0,-1.0
10807,5.0,5.0,5.0,5.0,5.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10809,2.0,0.0,3.0,1.0,5.0,1.0,68.0,2.0,3.0,0.0,1.0,2.0,2.0,8.0
10812,5.0,5.0,5.0,5.0,5.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10831,0.0,0.0,0.0,2.0,5.0,5.0,25.0,5.0,5.0,3.0,5.0,2.0,0.0,-2.0
10843,3.0,2.0,5.0,1.0,5.0,1.0,27.0,0.0,2.0,0.0,-1.0,0.0,3.0,9.0
10850,2.0,0.0,4.0,2.0,5.0,5.0,32.0,1.0,3.0,3.0,5.0,-2.0,-2.0,4.0
10854,5.0,5.0,5.0,5.0,5.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10857,2.0,2.0,2.0,3.0,5.0,5.0,22.0,3.0,3.0,2.0,3.0,1.0,0.0,-1.0
10858,0.0,0.0,0.0,1.0,5.0,3.0,80.0,5.0,5.0,2.0,3.0,3.0,2.0,1.0
10860,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10862,3.0,3.0,5.0,2.0,5.0,5.0,60.0,0.0,2.0,3.0,2.0,-3.0,0.0,3.0
10863,5.0,5.0,5.0,5.0,5.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10875,0.0,0.0,0.0,0.0,5.0,2.0,32.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0
10881,5.0,0.0,5.0,0.0,5.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
10886,0.0,0.0,0.0,0.0,3.0,3.0,55.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
