sub,trial,partner,trait,ran,order,response
103,1,3,0,1,0,3
103,2,2,0,1,1,1
103,3,1,0,1,2,1
103,4,3,1,1,3,1
103,5,2,1,1,4,0
103,6,1,1,1,5,0
104,1,3,0,1,0,5
104,2,2,0,1,1,5
104,3,1,0,1,2,5
104,4,3,1,1,3,0
104,5,2,1,1,4,0
104,6,1,1,1,5,0
104,1,3,0,1,0,5
104,2,2,0,1,1,5
104,3,1,0,1,2,5
104,4,3,1,1,3,0
104,5,2,1,1,4,0
104,6,1,1,1,5,-2
107,1,3,0,1,0,5
107,2,2,0,1,1,5
107,3,1,0,1,2,0
107,4,3,1,1,3,-2
107,5,2,1,1,4,0
107,6,1,1,1,5,0
108,1,3,0,1,0,5
108,2,2,0,1,1,4
108,3,1,0,1,2,1
108,4,3,1,1,3,-5
108,5,2,1,1,4,-3
108,6,1,1,1,5,0
111,1,3,0,1,0,5
111,2,2,0,1,1,5
111,3,1,0,1,2,5
111,4,3,1,1,3,5
111,5,2,1,1,4,5
111,6,1,1,1,5,0
112,1,3,0,1,0,5
112,2,2,0,1,1,5
112,3,1,0,1,2,5
112,4,3,1,1,3,-5
112,5,2,1,1,4,-5
112,6,1,1,1,5,-4
113,1,3,0,1,0,5
113,2,2,0,1,1,5
113,3,1,0,1,2,5
113,4,3,1,1,3,-5
113,5,2,1,1,4,-5
113,6,1,1,1,5,-2
114,1,3,0,1,0,3
114,2,2,0,1,1,4
114,3,1,0,1,2,0
114,4,3,1,1,3,1
114,5,2,1,1,4,1
114,6,1,1,1,5,0
115,1,3,0,1,0,5
115,2,2,0,1,1,5
115,3,1,0,1,2,5
115,4,3,1,1,3,-5
115,5,2,1,1,4,-2
115,6,1,1,1,5,0
116,1,3,0,1,0,5
116,2,2,0,1,1,1
116,3,1,0,1,2,0
116,4,3,1,1,3,-2
116,5,2,1,1,4,-1
116,6,1,1,1,5,0
117,1,3,0,1,0,4
117,2,2,0,1,1,3
117,3,1,0,1,2,2
117,4,3,1,1,3,-4
117,5,2,1,1,4,-4
117,6,1,1,1,5,-2
118,1,3,0,1,0,3
118,2,2,0,1,1,2
118,3,1,0,1,2,3
118,4,3,1,1,3,-2
118,5,2,1,1,4,-1
118,6,1,1,1,5,-3
