    trial partner trait  ran order response    sub
0       1       3     0  1.0   0.0      4.0    122
1       2       2     0  1.0   1.0      2.0    122
2       3       1     0  1.0   2.0      0.0    122
3       4       3     1  1.0   3.0     -3.0    122
4       5       2     1  1.0   4.0     -2.0    122
..    ...     ...   ...  ...   ...      ...    ...
320     2       2     0  1.0   1.0      1.0  10774
321     3       1     0  1.0   2.0      0.0  10774
322     4       3     1  1.0   3.0     -1.0  10774
323     5       2     1  1.0   4.0      0.0  10774
324     6       1     1  1.0   5.0      0.0  10774

[325 rows x 7 columns]
