Subject,Run,Study,MaskVoxels,StandardVoxels,CoveragePercent
sub-10317,1,RF1,267957,292019,91.7600
sub-10317,2,RF1,268092,292019,91.8000
sub-10369,1,RF1,265691,292019,90.9800
sub-10369,2,RF1,264247,292019,90.4800
sub-10402,1,RF1,259128,292019,88.7300
sub-10402,2,RF1,258710,292019,88.5900
sub-10418,1,RF1,278665,292019,95.4200
sub-10418,2,RF1,278603,292019,95.4000
sub-10462,1,RF1,280237,292019,95.9600
sub-10478,1,RF1,274101,292019,93.8600
sub-10478,2,RF1,273700,292019,93.7200
sub-10486,1,RF1,266521,292019,91.2600
sub-10486,2,RF1,266250,292019,91.1700
sub-104,01,SRNDNA,261934,292019,89.6900
sub-104,02,SRNDNA,261937,292019,89.6900
sub-10529,1,RF1,269327,292019,92.2200
sub-10529,2,RF1,269459,292019,92.2700
sub-10541,1,RF1,265871,292019,91.0400
sub-10541,2,RF1,265001,292019,90.7400
sub-10559,1,RF1,257264,292019,88.0900
sub-10559,2,RF1,256950,292019,87.9900
sub-10572,1,RF1,269192,292019,92.1800
sub-10572,2,RF1,266616,292019,91.3000
sub-10581,1,RF1,268301,292019,91.8700
sub-10581,2,RF1,266566,292019,91.2800
sub-10584,1,RF1,272919,292019,93.4500
sub-10585,1,RF1,278987,292019,95.5300
sub-10585,2,RF1,279830,292019,95.8200
sub-10589,1,RF1,263435,292019,90.2100
sub-10589,2,RF1,262634,292019,89.9300
sub-10590,1,RF1,269045,292019,92.1300
sub-10590,2,RF1,267758,292019,91.6900
sub-10596,1,RF1,268501,292019,91.9400
sub-10596,2,RF1,267406,292019,91.5700
sub-105,01,SRNDNA,263297,292019,90.1600
sub-105,02,SRNDNA,262809,292019,89.9900
sub-10603,1,RF1,269361,292019,92.2400
sub-10606,1,RF1,267966,292019,91.7600
sub-10606,2,RF1,267717,292019,91.6700
sub-10608,1,RF1,265455,292019,90.9000
sub-10608,2,RF1,262346,292019,89.8300
sub-10617,1,RF1,275187,292019,94.2300
sub-10636,1,RF1,271711,292019,93.0400
sub-10636,2,RF1,270734,292019,92.7100
sub-10638,1,RF1,268311,292019,91.8800
sub-10638,2,RF1,268510,292019,91.9400
sub-10640,1,RF1,267287,292019,91.5300
sub-10640,2,RF1,266983,292019,91.4200
sub-10641,1,RF1,265431,292019,90.8900
sub-10642,1,RF1,265683,292019,90.9800
sub-10642,2,RF1,265733,292019,90.9900
sub-10644,1,RF1,265243,292019,90.8300
sub-10644,2,RF1,265699,292019,90.9800
sub-10647,1,RF1,268313,292019,91.8800
sub-10647,2,RF1,268581,292019,91.9700
sub-10649,1,RF1,265913,292019,91.0600
sub-10649,2,RF1,265328,292019,90.8500
sub-10652,1,RF1,267643,292019,91.6500
sub-10652,2,RF1,267564,292019,91.6200
sub-10656,1,RF1,260118,292019,89.0700
sub-10656,2,RF1,260142,292019,89.0800
sub-10657,1,RF1,272848,292019,93.4300
sub-10657,2,RF1,272527,292019,93.3200
sub-10661,1,RF1,276818,292019,94.7900
sub-10661,2,RF1,276987,292019,94.8500
sub-10663,1,RF1,261836,292019,89.6600
sub-10663,2,RF1,261337,292019,89.4900
sub-10668,1,RF1,273325,292019,93.5900
sub-10673,1,RF1,270629,292019,92.6700
sub-10673,2,RF1,269193,292019,92.1800
sub-10674,1,RF1,263824,292019,90.3400
sub-10674,2,RF1,263058,292019,90.0800
sub-10677,1,RF1,271136,292019,92.8400
sub-10677,2,RF1,273879,292019,93.7800
sub-10685,1,RF1,266786,292019,91.3500
sub-10685,2,RF1,264972,292019,90.7300
sub-10690,1,RF1,278915,292019,95.5100
sub-10690,2,RF1,278324,292019,95.3100
sub-10691,1,RF1,272490,292019,93.3100
sub-10691,2,RF1,271344,292019,92.9100
sub-106,01,SRNDNA,257747,292019,88.2600
sub-106,02,SRNDNA,256970,292019,87.9900
sub-10700,1,RF1,265839,292019,91.0300
sub-10700,2,RF1,269887,292019,92.4200
sub-10701,1,RF1,269492,292019,92.2800
sub-10701,2,RF1,268677,292019,92.0000
sub-10713,1,RF1,267069,292019,91.4500
sub-10713,2,RF1,266984,292019,91.4200
sub-10716,1,RF1,272665,292019,93.3700
sub-10716,2,RF1,273053,292019,93.5000
sub-10718,1,RF1,269457,292019,92.2700
sub-10718,2,RF1,269976,292019,92.4500
sub-10720,1,RF1,266151,292019,91.1400
