sub,trial,partner,trait,ran,order,response,age
116,4,3,1,1,3,-2,25.0
116,5,2,1,1,4,-1,25.0
116,6,1,1,1,5,0,25.0
117,1,3,0,1,0,4,20.0
117,2,2,0,1,1,3,20.0
117,3,1,0,1,2,2,20.0
117,4,3,1,1,3,-4,20.0
117,5,2,1,1,4,-4,20.0
117,6,1,1,1,5,-2,20.0
118,1,3,0,1,0,3,21.0
118,2,2,0,1,1,2,21.0
118,3,1,0,1,2,3,21.0
118,4,3,1,1,3,-2,21.0
118,5,2,1,1,4,-1,21.0
118,6,1,1,1,5,-3,21.0
120,1,3,0,1,0,4,18.0
120,2,2,0,1,1,3,18.0
120,3,1,0,1,2,1,18.0
120,4,3,1,1,3,-5,18.0
120,5,2,1,1,4,-3,18.0
120,6,1,1,1,5,-1,18.0
121,1,3,0,1,0,1,20.0
121,2,2,0,1,1,0,20.0
121,3,1,0,1,2,0,20.0
121,4,3,1,1,3,-2,20.0
121,5,2,1,1,4,-1,20.0
121,6,1,1,1,5,-2,20.0
122,1,3,0,1,0,4,20.0
122,2,2,0,1,1,2,20.0
122,3,1,0,1,2,0,20.0
122,4,3,1,1,3,-3,20.0
122,5,2,1,1,4,-2,20.0
122,6,1,1,1,5,-1,20.0
124,1,3,0,1,0,5,20.0
124,2,2,0,1,1,3,20.0
124,3,1,0,1,2,0,20.0
124,4,3,1,1,3,-5,20.0
124,5,2,1,1,4,-4,20.0
124,6,1,1,1,5,0,20.0
125,1,3,0,1,0,5,21.0
125,2,2,0,1,1,3,21.0
125,3,1,0,1,2,3,21.0
125,4,3,1,1,3,4,21.0
125,5,2,1,1,4,1,21.0
125,6,1,1,1,5,1,21.0
126,1,3,0,1,0,0,20.0
126,2,2,0,1,1,0,20.0
126,3,1,0,1,2,0,20.0
126,4,3,1,1,3,0,20.0
126,5,2,1,1,4,0,20.0
126,6,1,1,1,5,0,20.0
127,1,3,0,1,0,3,76.0
127,2,2,0,1,1,3,76.0
127,3,1,0,1,2,0,76.0
127,4,3,1,1,3,3,76.0
127,5,2,1,1,4,4,76.0
127,6,1,1,1,5,5,76.0
128,1,3,0,1,0,5,63.0
128,2,2,0,1,1,4,63.0
128,3,1,0,1,2,4,63.0
128,4,3,1,1,3,3,63.0
128,5,2,1,1,4,4,63.0
128,6,1,1,1,5,2,63.0
129,1,3,0,1,0,5,68.0
129,2,2,0,1,1,5,68.0
129,3,1,0,1,2,0,68.0
129,4,3,1,1,3,0,68.0
129,5,2,1,1,4,0,68.0
129,6,1,1,1,5,0,68.0
136,1,3,0,1,0,5,65.0
136,2,2,0,1,1,4,65.0
136,3,1,0,1,2,3,65.0
136,4,3,1,1,3,-1,65.0
136,5,2,1,1,4,-1,65.0
136,6,1,1,1,5,-1,65.0
137,1,3,0,1,0,5,72.0
137,2,2,0,1,1,4,72.0
137,3,1,0,1,2,1,72.0
137,4,3,1,1,3,-4,72.0
137,5,2,1,1,4,-2,72.0
137,6,1,1,1,5,0,72.0
138,1,3,0,1,0,5,68.0
138,2,2,0,1,1,5,68.0
138,3,1,0,1,2,0,68.0
138,4,3,1,1,3,-5,68.0
138,5,2,1,1,4,-5,68.0
138,6,1,1,1,5,0,68.0
140,1,3,0,1,0,5,68.0
140,2,2,0,1,1,5,68.0
140,3,1,0,1,2,5,68.0
140,4,3,1,1,3,5,68.0
140,5,2,1,1,4,5,68.0
140,6,1,1,1,5,5,68.0
141,1,3,0,1,0,5,76.0
141,2,2,0,1,1,5,76.0
141,3,1,0,1,2,5,76.0
141,4,3,1,1,3,0,76.0
141,5,2,1,1,4,0,76.0
141,6,1,1,1,5,0,76.0
142,1,3,0,1,0,5,70.0
142,2,2,0,1,1,4,70.0
142,3,1,0,1,2,4,70.0
142,4,3,1,1,3,0,70.0
142,5,2,1,1,4,3,70.0
142,6,1,1,1,5,3,70.0
144,1,3,0,1,0,5,72.0
144,2,2,0,1,1,5,72.0
144,3,1,0,1,2,0,72.0
144,4,3,1,1,3,0,72.0
144,5,2,1,1,4,-2,72.0
144,6,1,1,1,5,0,72.0
144,1,3,0,1,0,3,72.0
144,2,2,0,1,1,1,72.0
144,3,1,0,1,2,3,72.0
144,4,3,1,1,3,0,72.0
144,5,2,1,1,4,-1,72.0
144,6,1,1,1,5,-2,72.0
