sub,run,fd_mean
117,2,0.121486500029851
117,1,0.114567607731343
10854,2,0.131458156663228
10854,1,0.126012137370079
10590,1,0.122763317343307
10590,2,0.130947928761134
10924,2,0.15724785496063
10924,1,0.125573261927795
10953,1,0.340849217531496
10953,2,0.441278562007874
10770,2,0.243571679338969
10770,1,0.20209752719685
10677,1,0.188212021751968
10677,2,0.21798079780315
10794,1,0.0600412329781889
10794,2,0.0648293842442795
10866,1,0.195591230559055
10866,2,0.200256006650394
125,2,0.084225733605995
125,1,0.108237648097015
152,1,0.429247663026368
152,2,0.529755661242786
158,1,0.113922399859701
158,2,0.179522298791045
10638,2,0.150138082874016
10638,1,0.159032740899685
10748,1,0.0856845985355512
10748,2,0.0879245073594488
10940,1,0.113570820192913
10940,2,0.0874409763287519
104,2,0.0812885244138418
104,1,0.0784894651893532
10589,2,0.129833813740252
10589,1,0.0992921015111417
10802,2,0.154792143850394
10802,1,0.130454399504961
10875,1,0.150789674510366
10875,2,0.129972398992571
136,2,0.156030638099502
136,1,0.147301069024876
141,1,0.163692855908955
141,2,0.167089209924577
10656,1,0.126500422700787
10656,2,0.103678544095276
10896,1,0.175271944838583
10896,2,0.146397121998425
10908,1,0.282336652897638
10908,2,0.296311691308622
131,1,0.404621170687562
131,2,0.579231376054726
10663,1,0.18218389820315
10663,2,0.133951796040157
10713,2,0.345263921097953
10713,1,0.28591992566748
10584,1,0.103857607862992
10930,2,0.104811389810236
10930,1,0.0956265990669291
10642,2,0.223372069876548
10642,1,0.202254177738976
10541,2,0.335579437429921
10541,1,0.305895630385039
155,1,0.101754450434826
155,2,0.0817542820597015
122,2,0.116138395709413
122,1,0.123608915298891
128,1,0.255836527475622
128,2,0.250784191641791
10777,1,0.111838591688819
10777,2,0.143810774638583
10700,1,0.211551869586614
10700,2,0.114814588897402
110,1,0.0685287551940298
110,2,0.110029659492537
10929,1,0.175350448632008
10929,2,0.161116291757321
10954,1,0.426596569248031
10954,2,0.506365267877953
10603,1,0.178916755582677
10674,2,0.128226508559055
10674,1,0.0763413034625984
10690,2,0.218447623864055
10690,1,0.208839162452756
10950,2,0.29352913531
10950,1,0.38953885307874
10857,2,0.208199747270783
10857,1,0.147215346162992
10741,2,0.202589423244252
10741,1,0.190886659448819
10881,1,0.57824387904126
151,2,0.28036849199005
151,1,0.264225098877711
126,1,0.32915707779602
126,2,0.220628775731343
10812,2,0.138066056027559
10812,1,0.159200754444882
11005,2,1.25796752874016
11005,1,0.502517604645669
107,2,0.0788204164918607
107,1,0.08771157094
142,1,0.219236107840796
142,2,0.245968622673632
135,2,0.341761454
135,1,0.37885189520995
10898,1,0.256187018285039
10898,2,0.27772861862126
10801,2,0.1516295520845
10801,1,0.16803260933937
132,1,0.222928948487562
132,2,0.212445609512438
145,1,1.28085493334328
145,2,1.54241546467662
10806,2,0.365694796879882
10806,1,0.264608062914094
138,2,0.816008234159204
138,1,0.810895760189055
10652,2,0.158357765793701
10652,1,0.15200982311811
10843,1,0.10910780157713
10843,2,0.0980671635847834
10834,1,0.0959965452598425
10834,2,0.0940931391664882
10767,2,0.097805033507874
10767,1,0.0788771692783464
10783,1,0.271090947999094
10783,2,0.272656086011614
10617,1,0.193411614728346
10886,1,0.479312269464567
121,2,0.0996891980447761
121,1,0.0947691149034826
156,2,0.232349010599005
156,1,0.213310797094527
10918,2,0.115838379158472
10918,1,0.114240256525118
10862,2,0.163921554617008
10862,1,0.143647151331929
10636,2,0.154766552102362
10636,1,0.121663951543307
10641,1,0.192213936731496
10850,2,0.0912586089763779
10850,1,0.0742322210320236
10827,1,0.121217068389197
10827,2,0.122343854338087
113,2,0.117129241313433
113,1,0.135820278159204
10673,2,0.307263836826772
10673,1,0.27522003593937
10649,1,0.211840605511811
10649,2,0.249818556996457
129,2,0.457955461024876
129,1,0.41379103200194
10817,1,0.192804115205512
10817,2,0.339367433266297
10983,2,0.296016476262992
10983,1,0.26244444511811
10860,2,0.217224355062205
10860,1,0.0845674118958268
154,1,0.169259992128358
154,2,0.262665321716418
10606,2,0.071679975398213
10606,1,0.100885261706772
10701,1,0.0712203573954724
10701,2,0.073506740023622
10858,2,0.223845817901272
10858,1,0.218353875894409
10596,1,0.206936199142126
10596,2,0.235814333128346
10402,1,0.174677628107874
10402,2,0.163206830056067
111,2,0.299442026670448
111,1,0.266473297150249
10928,2,0.264350458031496
10928,1,0.177810468305512
10572,1,0.292942604706299
10572,2,0.281575647814961
10720,2,0.0845562412663252
10720,1,0.0993201256376378
10804,1,0.0981577892299213
10804,2,0.151838721866142
130,1,0.416513633208955
130,2,0.339777745761194
147,2,0.169934368527363
147,1,0.201740711276015
10974,1,0.491318022864134
10974,2,0.292531376470472
10897,1,0.140639725574803
10559,1,0.179546999417323
10559,2,0.232159001797638
10668,1,0.0809307518503937
10718,1,0.240740081594488
10718,2,0.235686407573598
10781,1,0.0995576946488189
10781,2,0.0944894913090551
108,1,0.123056207656716
108,2,0.16304593799005
10585,2,0.254755780909882
10585,1,0.216803118850394
105,1,0.084579695589592
105,2,0.0787852068845273
10831,1,0.252615148533929
10831,2,0.299194667527559
10803,1,0.0668290410267638
140,1,0.224487650169154
140,2,0.242811187510448
137,2,0.205311038341791
137,1,0.220096815885572
10529,2,0.162917070200787
10529,1,0.171450335767717
10809,1,0.107273199173228
10809,2,0.08222938709937
10317,1,0.167343421893701
10317,2,0.175303480209449
10657,1,0.239336301488189
10657,2,0.312376870540945
10952,2,0.129678100551181
10952,1,0.170101370882229
116,2,0.271497649174129
116,1,0.250646617741294
10478,2,0.0961626118602362
10478,1,0.0710852089364409
10958,1,0.162050450956366
10958,2,0.290604044751181
159,1,0.0934530412228855
159,2,0.109297627154891
10984,2,0.232690102378608
