sub,flip,coded
10964,50,1
11053,50,1
11128,50,1
11042,50,1
11007,50,1
133,76,0
10723,20,0
131,76,0
10958,50,1
10673,20,0
10663,20,0
10529,20,0
10647,50,1
10807,50,1
104,76,0
154,76,0
10661,20,0
10657,20,0
11168,50,1
10770,50,1
10804,50,1
152,76,0
11410,50,1
11120,50,1
150,76,0
10850,50,1
10866,50,1
125,76,0
10785,50,1
10800,50,1
11316,50,1
11203,50,1
10652,20,0
10486,20,0
121,76,0
10590,20,0
11348,50,1
11376,50,1
10810,50,1
10603,20,0
10881,50,1
144,76,0
142,76,0
10954,50,1
10677,20,0
11078,50,1
117,76,0
115,76,0
11167,50,1
11071,50,1
10854,50,1
10838,50,1
113,76,0
10720,50,1
10809,50,1
10691,20,0
10908,50,1
11036,50,1
11337,50,1
11058,50,1
10977,50,1
136,76,0
10817,50,1
11338,50,1
11171,50,1
11064,50,1
10929,50,1
134,76,0
10831,50,1
132,76,0
11246,50,1
11125,50,1
107,76,0
157,76,0
10584,20,0
11241,50,1
11110,50,1
11340,50,1
10777,50,1
11066,50,1
10812,50,1
10974,50,1
105,76,0
155,76,0
10402,20,0
10801,50,1
10956,50,1
10638,20,0
11358,50,1
153,76,0
10857,50,1
10924,50,1
11209,50,1
10938,50,1
11145,50,1
128,76,0
126,76,0
10700,20,0
10966,50,1
10462,20,0
124,76,0
11016,50,1
11227,50,1
149,76,0
10926,50,1
11312,50,1
10979,50,1
11193,50,1
10983,50,1
10951,50,1
10642,50,1
10608,20,0
10863,50,1
147,76,0
145,76,0
10969,50,1
10572,20,0
10741,20,0
11068,50,1
10748,50,1
11329,50,1
10827,50,1
10950,50,1
11012,50,1
10767,50,1
10806,50,1
118,76,0
10718,50,1
10617,20,0
10596,20,0
116,76,0
11090,50,1
11063,50,1
11072,50,1
10930,50,1
11116,50,1
10896,50,1
11311,50,1
10606,20,0
10984,50,1
10641,20,0
10887,50,1
10674,20,0
11031,50,1
11330,50,1
10640,50,1
11076,50,1
137,76,0
10478,20,0
140,76,0
11060,50,1
135,76,0
10644,20,0
11177,50,1
11065,50,1
10713,50,1
11364,50,1
11326,50,1
108,76,0
10656,20,0
158,76,0
11075,50,1
11343,50,1
11113,50,1
11325,50,1
111,76,0
106,76,0
156,76,0
10685,50,1
10668,50,1
10369,20,0
11238,50,1
129,76,0
10913,50,1
127,76,0
10418,20,0
10636,20,0
11139,50,1
130,76,0
11387,50,1
10953,50,1
10783,50,1
11134,50,1
10803,50,1
10589,20,0
10886,50,1
10952,50,1
11085,50,1
10919,50,1
10918,50,1
10897,50,1
11192,50,1
10940,50,1
151,76,0
10649,20,0
10781,50,1
10834,50,1
10843,50,1
11201,50,1
10928,50,1
10581,20,0
10961,50,1
10862,50,1
122,76,0
10860,50,1
120,76,0
10716,50,1
10690,50,1
11084,50,1
11374,50,1
11164,50,1
11021,50,1
11126,50,1
143,76,0
138,76,0
10802,50,1
10875,50,1
141,76,0
10317,20,0
10559,20,0
11321,50,1
10585,20,0
10898,50,1
10858,50,1
11286,50,1
11039,50,1
11005,50,1
109,76,0
159,76,0
11083,50,1
10794,50,1
11301,50,1
11030,50,1
10541,20,0
112,76,0
11074,50,1
11345,50,1
10998,50,1
10701,20,0
110,76,0
