sub,task,run,vsmean_stan
104,sharedreward,1,91.703647
104,sharedreward,2,94.158314
105,sharedreward,1,107.323792
105,sharedreward,2,106.397772
106,sharedreward,1,106.132565
106,sharedreward,2,95.061572
107,sharedreward,1,106.384215
107,sharedreward,2,108.987225
108,sharedreward,1,80.922331
108,sharedreward,2,77.318246
109,sharedreward,1,NA
109,sharedreward,2,NA
110,sharedreward,1,101.069952
110,sharedreward,2,72.049061
111,sharedreward,1,40.913038
111,sharedreward,2,39.927674
112,sharedreward,1,86.077968
112,sharedreward,2,91.620362
113,sharedreward,1,69.513141
113,sharedreward,2,93.360759
115,sharedreward,1,110.18519
115,sharedreward,2,112.843939
116,sharedreward,1,51.684963
116,sharedreward,2,56.605757
117,sharedreward,1,93.233805
117,sharedreward,2,94.079651
118,sharedreward,1,91.527254
118,sharedreward,2,63.931808
120,sharedreward,1,90.218182
120,sharedreward,2,45.454712
121,sharedreward,1,107.37882
121,sharedreward,2,110.614564
122,sharedreward,1,103.469073
122,sharedreward,2,105.082396
124,sharedreward,1,75.994868
124,sharedreward,2,71.190051
125,sharedreward,1,112.852423
125,sharedreward,2,124.756854
126,sharedreward,1,48.091573
126,sharedreward,2,59.997382
127,sharedreward,1,88.54693
127,sharedreward,2,85.885002
128,sharedreward,1,73.341576
128,sharedreward,2,78.054885
129,sharedreward,1,65.686669
129,sharedreward,2,57.147687
130,sharedreward,1,38.223803
130,sharedreward,2,37.507042
131,sharedreward,1,44.647507
131,sharedreward,2,42.456172
132,sharedreward,1,60.635524
132,sharedreward,2,59.157467
133,sharedreward,1,72.941062
133,sharedreward,2,71.286405
134,sharedreward,1,24.659901
134,sharedreward,2,21.930924
135,sharedreward,1,45.151784
135,sharedreward,2,54.872526
136,sharedreward,1,73.678429
136,sharedreward,2,81.804712
137,sharedreward,1,52.616604
137,sharedreward,2,66.780941
138,sharedreward,1,24.370113
138,sharedreward,2,29.891952
140,sharedreward,1,79.242314
140,sharedreward,2,75.591552
141,sharedreward,1,69.130567
141,sharedreward,2,74.959651
142,sharedreward,1,70.880463
