TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,5,2,2,8.075000e-01,2.422500e+00,1.0,0.0,2.500019e-06,0.0120561,4.0283885,1.0,5.2789793,1.2505904,5.3793945,3.8719096,9.253577,5.0,9.253724,9.862201,5.833812,9.862368,10.672331,--
2,2,6,2,3,8.075000e-01,2.422500e+00,1.0,1.0,--,--,10.684079,1.0,11.629092,0.945013,11.729463,4.177487,15.909756,3.0,15.909872,16.517994,5.8339143,16.518135,17.327888,--
3,3,1,1,1,2.422500e+00,1.615000e+00,1.0,2.0,--,--,17.334478,2.0,18.478657,1.1441777,18.579016,3.1708224,21.752542,2.0,21.75266,22.361012,5.026532,22.36115,24.786272,--
4,4,4,2,1,4.037500e+00,2.422500e+00,1.0,3.0,--,--,24.79957,2.0,25.32889,0.5293191,25.42925,4.593181,30.025393,2.0,30.025509,30.629597,5.8300266,30.629744,34.669556,--
5,5,7,3,1,8.075000e-01,1.615000e+00,1.0,4.0,--,--,34.681957,1.0,35.82869,1.1467316,35.92905,3.1682684,39.100063,9.0,39.10018,39.705967,5.0240097,39.706104,40.51542,--
6,6,9,3,3,2.422500e+00,1.615000e+00,1.0,5.0,--,--,40.518757,1.0,41.26218,0.7434237,41.362556,3.5715764,44.936047,1.0,44.93616,45.542934,5.024176,45.54307,47.967823,--
7,7,1,1,1,8.075000e-01,8.075000e-01,1.0,6.0,--,--,47.9708,2.0,48.49553,0.5247308,48.595886,2.9827693,51.580944,1.0,51.581062,52.18733,4.216533,52.18746,52.997597,--
8,8,6,2,3,8.075000e-01,8.075000e-01,1.0,7.0,--,--,53.009514,1.0,53.845352,0.8358415,53.9457,2.6716585,56.620182,2.0,56.6203,57.22543,4.215918,57.225567,58.035774,--
9,9,7,3,1,8.075000e-01,8.075000e-01,1.0,8.0,--,--,58.040043,1.0,58.46199,0.4219479,58.562355,3.0855522,61.650417,7.0,61.65054,62.25698,4.2169394,62.25712,63.06704,--
10,10,9,3,3,7.267500e+00,1.615000e+00,1.0,9.0,--,--,63.070164,1.0,63.49551,0.4253427,63.595875,3.8896573,67.4871,3.0,67.48722,68.09195,5.0217834,68.09209,75.36148,--
11,11,7,3,1,8.075000e-01,1.615000e+00,1.0,10.0,--,--,75.36463,2.0,75.89528,0.5306503,75.99564,3.7843497,79.782364,3.0,79.7825,80.38887,5.0242357,80.38901,81.19853,--
12,12,9,3,3,5.652500e+00,2.422500e+00,1.0,11.0,--,--,81.20174,1.0,81.72867,0.5269318,81.82902,4.595568,86.4266,2.0,86.42672,87.03266,5.8309245,87.0328,92.68732,--
13,13,1,1,1,8.075000e-01,8.075000e-01,1.0,12.0,--,--,92.69039,2.0,93.21232,0.5219238,93.3127,2.9855762,96.30028,3.0,96.3004,96.90596,4.215567,96.90609,97.7155,--
14,14,4,2,1,2.422500e+00,1.615000e+00,1.0,13.0,--,--,97.72793,1.0,98.46199,0.7340645,98.56236,3.5809355,102.14536,8.0,102.145485,102.75187,5.02394,102.75201,105.176254,--
15,15,4,2,1,4.037500e+00,1.615000e+00,1.0,14.0,--,--,105.187874,2.0,105.612175,0.4242949,105.71255,3.890705,109.60586,3.0,109.60597,110.210526,5.02265,110.2107,114.2498,--
16,16,7,3,1,2.422500e+00,8.075000e-01,1.0,15.0,--,--,114.25459,1.0,114.67865,0.4240594,114.779015,3.0834405,117.86571,6.0,117.86582,118.47202,4.2174287,118.47216,120.89745,--
17,17,8,3,2,4.037500e+00,8.075000e-01,1.0,16.0,--,--,120.90067,1.0,121.428604,0.5279373,121.52898,2.9795628,124.51098,5.0,124.51109,125.11699,4.2163215,125.117134,129.15715,--
18,18,7,3,1,8.075000e-01,2.422500e+00,1.0,17.0,--,--,129.16048,2.0,129.5786,0.4181245,129.67896,4.7043753,134.38583,4.0,134.38596,134.9918,5.8313384,134.99194,135.8016,--
19,19,3,1,3,8.882500e+00,2.422500e+00,1.0,18.0,--,--,135.80473,2.0,136.42857,0.6238284,136.52893,4.4986715,141.02997,8.0,141.03008,141.63635,5.8316197,141.6365,150.5213,--
20,20,7,3,1,4.037500e+00,2.422500e+00,1.0,19.0,--,--,150.52577,2.0,151.16226,0.6364852,151.2626,4.486015,155.75114,2.0,155.75127,156.35661,5.8308344,156.35677,160.3964,--
21,21,9,3,3,8.075000e-01,1.615000e+00,1.0,20.0,--,--,160.39961,1.0,161.02846,0.6288508,161.12881,3.6861491,164.81749,1.0,164.8176,165.42403,5.024421,165.42416,166.23473,--
22,22,2,1,2,2.422500e+00,1.615000e+00,1.0,21.0,--,--,166.2378,1.0,166.97878,0.7409887,167.07912,3.5740113,170.6559,5.0,170.656,171.26155,5.0237646,171.26169,173.68654,--
23,23,3,1,3,4.037500e+00,2.422500e+00,1.0,22.0,--,--,173.68835,1.0,174.21178,0.5234246,174.31215,4.5990753,178.91447,2.0,178.91458,179.52008,5.831719,179.52022,183.55952,--
24,24,5,2,2,2.422500e+00,8.075000e-01,1.0,23.0,--,--,183.57191,1.0,183.9953,0.4233719,184.09564,3.0841281,187.18237,5.0,187.1825,187.78896,4.217033,187.7891,190.21477,--
25,25,3,1,3,2.422500e+00,2.422500e+00,1.0,24.0,--,--,190.2178,2.0,190.54544,0.3276296,190.6458,4.7948704,195.44292,6.0,195.44304,196.049,5.831181,196.04913,198.47351,--
26,26,6,2,3,8.075000e-01,1.615000e+00,1.0,25.0,--,--,198.4867,1.0,198.91183,0.4251408,199.01219,3.8898592,202.90395,4.0,202.90408,203.50803,5.02132,203.50815,204.31851,--
27,27,4,2,1,8.075000e-01,2.422500e+00,1.0,26.0,--,--,204.33041,1.0,205.06192,0.7315028,205.1623,4.3909974,209.55484,6.0,209.55496,210.15958,5.8291597,210.15971,210.969,--
28,28,6,2,3,4.037500e+00,2.422500e+00,1.0,27.0,--,--,210.98102,2.0,211.51216,0.5311456,211.61253,4.5913544,216.20691,7.0,216.20703,216.81157,5.830544,216.8117,220.851,--
29,29,9,3,3,8.075000e-01,8.075000e-01,1.0,28.0,--,--,220.85588,1.0,221.37851,0.5226353,221.47887,2.9848647,224.46608,1.0,224.4662,225.06989,4.2140102,225.07002,225.87932,--
30,30,3,1,3,2.422500e+00,8.075000e-01,1.0,29.0,--,--,225.88249,1.0,226.51184,0.6293571,226.6122,2.8781428,229.49368,1.0,229.4938,230.10033,4.217847,230.10046,232.52553,--
31,31,1,1,1,7.267500e+00,8.075000e-01,1.0,30.0,--,--,232.52742,2.0,232.94557,0.4181531,233.04593,3.089347,236.13768,2.0,236.1378,236.74321,4.215796,236.74336,244.01306,--
32,32,1,1,1,8.075000e-01,1.615000e+00,1.0,31.0,--,--,244.01491,2.0,244.44518,0.4302719,244.54553,3.8847282,248.43263,1.0,248.43275,249.03716,5.022243,249.0373,249.84694,--
33,33,4,2,1,8.075000e-01,1.615000e+00,1.0,32.0,--,--,249.85913,2.0,250.27843,0.4192989,250.37878,3.8957012,254.27594,1.0,254.27605,254.88147,5.022339,254.8816,255.69196,--
34,34,3,1,3,8.075000e-01,8.075000e-01,1.0,33.0,--,--,255.695,2.0,256.22858,0.5335507,256.32895,2.9739492,259.30478,8.0,259.3049,259.91022,4.215209,259.91037,260.7204,--
35,35,1,1,1,5.652500e+00,2.422500e+00,1.0,34.0,--,--,260.72223,2.0,261.14508,0.4228413,261.24542,4.699659,265.94666,1.0,265.94678,266.55588,5.8336606,266.55603,272.21118,--
36,36,9,3,3,8.075000e-01,8.075000e-01,1.0,35.0,--,--,272.21658,2.0,272.64542,0.4288295,272.74576,3.0786705,275.82663,8.0,275.82672,276.4331,4.21652,276.43323,277.2433,--
37,37,2,1,2,8.075000e-01,8.075000e-01,1.0,36.0,--,--,277.24643,2.0,277.77853,0.5320854,277.87888,2.9754145,280.85663,5.0,280.85672,281.4615,4.2150493,281.46164,282.27106,--
38,38,4,2,1,2.422500e+00,2.422500e+00,1.0,37.0,--,--,282.28366,2.0,282.71234,0.4286714,282.8127,4.6938286,287.5085,1.0,287.50864,288.11417,5.830491,288.11432,290.53912,--
