TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,7,3,1,8.075000e-01,1.615000e+00,1.0,0.0,2.6000198e-06,0.0053691,4.015323,1.0,4.9529247,0.9376015,5.0533414,3.3773985,8.432762,8.0,8.43292,9.040433,5.02511,9.040613,9.850709,--
2,2,9,3,3,4.037500e+00,8.075000e-01,1.0,1.0,--,--,9.856298,1.0,10.486387,0.6300887,10.586752,2.8774114,13.466798,1.0,13.466916,14.07516,4.2188616,14.075306,18.115433,--
3,3,4,2,1,4.037500e+00,2.422500e+00,1.0,2.0,--,--,18.130621,2.0,18.769762,0.639142,18.870136,4.483358,23.3556,3.0,23.355717,23.962557,5.831937,23.962704,28.002928,--
4,4,2,1,2,8.075000e-01,8.075000e-01,1.0,3.0,--,--,28.007895,2.0,28.53659,0.5286944,28.636972,2.9788055,31.61708,5.0,31.617195,32.22276,4.2148633,32.2229,33.03359,--
5,5,4,2,1,5.652500e+00,2.422500e+00,1.0,4.0,--,--,33.045918,1.0,33.78736,0.7414435,33.887737,4.3810563,38.27208,6.0,38.272194,38.877815,5.831896,38.877956,44.532314,--
6,6,1,1,1,2.422500e+00,8.075000e-01,1.0,5.0,--,--,44.535503,2.0,44.954296,0.4187905,45.05465,3.0887096,48.14557,1.0,48.145687,48.75019,4.214688,48.750336,51.175133,--
7,7,4,2,1,8.075000e-01,8.075000e-01,1.0,6.0,--,--,51.18857,2.0,51.819576,0.6310066,51.919945,2.8764935,54.798626,1.0,54.798744,55.402916,4.214345,55.403057,56.212273,--
8,8,3,1,3,8.075000e-01,2.422500e+00,1.0,7.0,--,--,56.21541,2.0,56.852962,0.6375532,56.953335,4.4849467,61.439552,8.0,61.43967,62.04585,5.8304415,62.045994,62.855564,--
9,9,9,3,3,8.075000e-01,2.422500e+00,1.0,8.0,--,--,62.863514,1.0,63.602936,0.7394183,63.703297,4.383082,68.0888,1.0,68.08891,68.69266,5.8291407,68.6928,69.50214,--
10,10,6,2,3,5.652500e+00,8.075000e-01,1.0,9.0,--,--,69.51415,1.0,70.55285,1.0386965,70.65321,2.4688034,73.12456,3.0,73.12467,73.72872,4.2145643,73.72886,79.38356,--
11,11,7,3,1,2.422500e+00,1.615000e+00,1.0,10.0,--,--,79.39102,2.0,79.91949,0.5284659,80.019875,3.786534,83.808716,1.0,83.80883,84.41577,5.024747,84.41591,86.84029,--
12,12,3,1,3,2.422500e+00,1.615000e+00,1.0,11.0,--,--,86.8433,2.0,87.36945,0.5261534,87.46982,3.7888465,91.260826,8.0,91.26094,91.86574,5.022435,91.865875,94.29122,--
13,13,3,1,3,5.652500e+00,1.615000e+00,1.0,12.0,--,--,94.29303,2.0,95.13595,0.8429214,95.23631,3.4720786,98.71153,9.0,98.711655,99.31608,5.02305,99.316216,104.97115,--
14,14,6,2,3,4.037500e+00,2.422500e+00,1.0,13.0,--,--,104.98535,1.0,105.71939,0.7340464,105.819756,4.3884535,110.21048,3.0,110.210594,110.81797,5.8326197,110.81811,114.85757,--
15,15,9,3,3,2.422500e+00,2.422500e+00,1.0,14.0,--,--,114.864265,2.0,115.7025,0.838235,115.80286,4.284265,120.091064,7.0,120.09119,120.69662,5.8323545,120.696754,123.12076,--
16,16,1,1,1,8.075000e-01,1.615000e+00,1.0,15.0,--,--,123.123795,2.0,123.95324,0.8294458,124.05361,3.4855542,127.54107,2.0,127.54119,128.14656,5.022759,128.1467,128.95747,--
17,17,3,1,3,2.422500e+00,2.422500e+00,1.0,16.0,--,--,128.95929,2.0,129.48607,0.5267777,129.58641,4.595722,134.18356,8.0,134.18369,134.7886,5.8293223,134.78876,137.21318,--
18,18,8,3,2,5.652500e+00,1.615000e+00,1.0,17.0,--,--,137.22003,2.0,137.95248,0.7324607,138.05286,3.5825393,141.6384,5.0,141.63852,142.2433,5.023279,142.24347,147.89755,--
19,19,9,3,3,8.075000e-01,1.615000e+00,1.0,18.0,--,--,147.90312,2.0,148.33601,0.4328926,148.43639,3.8821075,152.32118,6.0,152.3213,152.92677,5.0236573,152.92691,153.7371,--
20,20,1,1,1,4.037500e+00,1.615000e+00,1.0,19.0,--,--,153.74017,2.0,154.57048,0.830301,154.67084,3.484699,158.15732,3.0,158.15744,158.7636,5.023413,158.76373,162.80345,--
21,21,3,1,3,2.422500e+00,1.615000e+00,1.0,20.0,--,--,162.8054,1.0,163.95229,1.1468865,164.05264,3.1681135,167.22334,3.0,167.22345,167.82933,5.023922,167.82948,170.25537,--
22,22,4,2,1,4.037500e+00,8.075000e-01,1.0,21.0,--,--,170.26811,1.0,171.00255,0.7344438,171.10292,2.7730563,173.87846,6.0,173.87857,174.4832,4.2150955,174.48334,178.52347,--
23,23,8,3,2,8.075000e-01,1.615000e+00,1.0,22.0,--,--,178.53027,1.0,179.15402,0.6237435,179.25436,3.6912565,182.94783,5.0,182.94795,183.55363,5.023365,183.55379,184.36353,--
24,24,1,1,1,8.075000e-01,1.615000e+00,1.0,23.0,--,--,184.36653,2.0,185.61922,1.2526909,185.71957,3.062309,188.78406,4.0,188.78418,189.39157,5.0250382,189.39171,190.20236,--
25,25,2,1,2,4.037500e+00,8.075000e-01,1.0,24.0,--,--,190.20435,2.0,190.93571,0.7313669,191.03607,2.776133,193.81473,5.0,193.81485,194.41968,4.215323,194.41982,198.45985,--
26,26,1,1,1,8.075000e-01,2.422500e+00,1.0,25.0,--,--,198.46175,2.0,199.08615,0.6244094,199.18651,4.4980907,203.6879,4.0,203.688,204.2926,5.8308635,204.29276,205.10301,--
27,27,7,3,1,8.882500e+00,8.075000e-01,1.0,26.0,--,--,205.1112,1.0,205.8525,0.7412832,205.95287,2.7662168,208.72244,7.0,208.72256,209.32634,4.215125,209.32648,218.21071,--
28,28,5,2,2,8.075000e-01,2.422500e+00,1.0,27.0,--,--,218.22334,1.0,218.852,0.6286621,218.95238,4.493838,223.44843,5.0,223.44853,224.0532,5.829863,224.05334,224.86284,--
29,29,4,2,1,2.422500e+00,2.422500e+00,1.0,28.0,--,--,224.87411,1.0,225.50189,0.6277798,225.60225,4.49472,230.09935,7.0,230.09947,230.70589,5.831779,230.70602,233.13103,--
30,30,6,2,3,8.075000e-01,8.075000e-01,1.0,29.0,--,--,233.14316,1.0,233.88574,0.7425918,233.98611,2.7649083,236.75336,4.0,236.75348,237.35864,4.2154956,237.3588,238.16812,--
31,31,1,1,1,2.422500e+00,1.615000e+00,1.0,30.0,--,--,238.172,2.0,239.31906,1.1470543,239.41942,3.1679456,242.58936,1.0,242.58948,243.19472,5.022713,243.19485,245.61925,--
32,32,9,3,3,8.075000e-01,2.422500e+00,1.0,31.0,--,--,245.62654,1.0,246.56923,0.9426896,246.66959,4.1798105,250.85216,4.0,250.85226,251.45686,5.830328,251.457,252.26637,--
33,33,6,2,3,8.075000e-01,8.075000e-01,1.0,32.0,--,--,252.27843,2.0,253.01894,0.7405074,253.11931,2.7669926,255.88828,7.0,255.8884,256.49374,4.215297,256.49387,257.30347,--
34,34,4,2,1,8.075000e-01,2.422500e+00,1.0,33.0,--,--,257.31485,2.0,257.83624,0.5214104,257.93665,4.6010895,262.54044,4.0,262.5406,263.14612,5.8312707,263.14624,263.9554,--
35,35,3,1,3,2.422500e+00,8.075000e-01,1.0,34.0,--,--,263.95865,1.0,264.48547,0.5268248,264.58582,2.9806752,267.56964,2.0,267.56973,268.17435,4.215699,268.17447,270.59912,--
36,36,7,3,1,2.422500e+00,2.422500e+00,1.0,35.0,--,--,270.6063,1.0,271.3354,0.7291186,271.43576,4.3933816,275.83224,7.0,275.83237,276.43933,5.8330603,276.43948,278.8642,--
37,37,4,2,1,8.075000e-01,2.422500e+00,1.0,36.0,--,--,278.87665,2.0,279.61874,0.7421028,279.71912,4.3803973,284.10217,3.0,284.1023,284.70566,5.8290052,284.70578,285.51593,--
38,38,6,2,3,4.037500e+00,2.422500e+00,1.0,37.0,--,--,285.5279,2.0,286.05176,0.5238648,286.15213,4.598635,290.7537,7.0,290.7538,291.3602,5.832294,291.36032,295.3997,--
39,39,3,1,3,7.267500e+00,1.615000e+00,1.0,38.0,--,--,295.404,2.0,296.1355,0.731497,296.23587,3.583503,299.82172,7.0,299.82184,300.42538,5.0213985,300.42554,307.69507,--
40,40,1,1,1,2.422500e+00,1.615000e+00,1.0,39.0,--,--,307.697,2.0,308.4353,0.7382987,308.53564,3.5767014,312.11386,1.0,312.11398,312.71933,5.0223455,312.71948,315.14435,--
41,41,7,3,1,8.075000e-01,2.422500e+00,1.0,40.0,--,--,315.15155,1.0,315.88556,0.7340122,315.98596,4.388488,320.37607,7.0,320.37622,320.9808,5.8292546,320.98093,321.79117,--
42,42,5,2,2,8.075000e-01,1.615000e+00,1.0,41.0,--,--,321.80313,1.0,323.05188,1.2487489,323.15222,3.066251,326.2207,5.0,326.22083,326.8264,5.0232735,326.82657,327.63705,--
43,43,6,2,3,8.075000e-01,8.075000e-01,1.0,42.0,--,--,327.64923,1.0,328.4851,0.8358779,328.58548,2.671622,331.25958,4.0,331.2597,331.86646,4.217224,331.8666,332.67676,--
44,44,9,3,3,8.075000e-01,1.615000e+00,1.0,43.0,--,--,332.68423,2.0,333.6182,0.9339783,333.71875,3.3810217,337.10388,7.0,337.104,337.7077,5.0234637,337.70782,338.51755,--
45,45,7,3,1,8.075000e-01,8.075000e-01,1.0,44.0,--,--,338.5233,2.0,339.76837,1.2451023,339.86874,2.2623978,342.13416,4.0,342.13428,342.7404,4.217113,342.74054,343.55054,--
46,46,3,1,3,8.075000e-01,8.075000e-01,1.0,45.0,--,--,343.55374,2.0,344.4871,0.9333472,344.58743,2.5741527,347.16394,6.0,347.16406,347.76926,4.2155128,347.76938,348.57895,--
47,47,7,3,1,8.075000e-01,8.075000e-01,1.0,46.0,--,--,348.58612,1.0,349.3185,0.7323962,349.41888,2.7751038,352.196,7.0,352.19614,352.80164,4.2155166,352.8018,353.61206,--
48,48,6,2,3,8.075000e-01,1.615000e+00,1.0,47.0,--,--,353.62482,2.0,354.25174,0.626911,354.3521,3.688089,358.04306,8.0,358.04318,358.64838,5.023563,358.64853,359.45807,--
49,49,6,2,3,2.422500e+00,8.075000e-01,1.0,48.0,--,--,359.4697,2.0,360.00183,0.5321187,360.10233,2.9753814,363.08115,7.0,363.08127,363.6853,4.215613,363.68546,366.10995,--
50,50,7,3,1,7.267500e+00,8.075000e-01,1.0,49.0,--,--,366.11755,1.0,366.75186,0.634301,366.85223,2.873199,369.72885,9.0,369.72897,370.33417,4.216612,370.33432,377.60406,--
51,51,9,3,3,8.075000e-01,8.075000e-01,1.0,50.0,--,--,377.60962,1.0,378.23618,0.6265598,378.33655,2.8809402,381.2201,2.0,381.22018,381.82532,4.2156963,381.82547,382.6348,--
52,52,4,2,1,2.422500e+00,2.422500e+00,1.0,51.0,--,--,382.64694,2.0,383.28503,0.6380697,383.38538,4.4844303,387.8727,4.0,387.87283,388.47913,5.832184,388.47928,390.90436,--
