TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,7,3,1,2.422500e+00,2.422500e+00,1.0,0.0,2.6999987e-06,0.0076973,4.0184054,2.0,4.643472,0.6250668,4.743896,4.497433,9.244479,3.0,9.244619,9.851767,5.833361,9.85193,12.276938,--
2,2,3,1,3,8.075000e-01,2.422500e+00,1.0,1.0,--,--,12.281917,1.0,13.111888,0.8299714,13.212353,4.2925286,17.506922,3.0,17.507038,18.112318,5.8304014,18.112452,18.923342,--
3,3,1,1,1,8.075000e-01,8.075000e-01,1.0,2.0,--,--,18.925154,2.0,20.276815,1.3516613,20.377167,2.1558387,22.534302,1.0,22.534418,23.140001,4.2148476,23.140137,23.94983,--
4,4,4,2,1,8.075000e-01,8.075000e-01,1.0,3.0,--,--,23.965332,1.0,24.69322,0.7278879,24.793571,2.779612,27.575752,8.0,27.575869,28.18147,4.2161393,28.181604,28.990726,--
5,5,6,2,3,8.075000e-01,2.422500e+00,1.0,4.0,--,--,29.003786,2.0,30.143368,1.1395812,30.243727,3.9829187,34.229218,7.0,34.229332,34.834877,5.8310905,34.835014,35.64459,--
6,6,3,1,3,4.037500e+00,2.422500e+00,1.0,5.0,--,--,35.647644,2.0,37.209915,1.5622714,37.31027,3.5602286,40.87269,9.0,40.872803,41.477886,5.8302426,41.47802,45.5176,--
7,7,1,1,1,8.075000e-01,2.422500e+00,1.0,6.0,--,--,45.519478,1.0,45.94349,0.4240119,46.043842,4.698488,50.74527,8.0,50.745388,51.350872,5.831393,51.35101,52.160717,--
8,8,9,3,3,8.075000e-01,8.075000e-01,1.0,7.0,--,--,52.168854,1.0,53.310154,1.1412977,53.410515,2.3662024,55.779858,3.0,55.779972,56.385525,4.21667,56.385662,57.19536,--
9,9,7,3,1,2.422500e+00,8.075000e-01,1.0,8.0,--,--,57.201817,2.0,58.560204,1.3583854,58.66056,2.1491146,60.811775,3.0,60.81189,61.416565,4.214748,61.416702,63.841446,--
10,10,1,1,1,2.422500e+00,1.615000e+00,1.0,9.0,--,--,63.844437,1.0,64.57655,0.7321155,64.67691,3.5828846,68.261696,9.0,68.26181,68.86528,5.0208473,68.865425,71.28959,--
11,11,7,3,1,8.075000e-01,2.422500e+00,1.0,10.0,--,--,71.297516,1.0,71.72671,0.4291903,71.82706,4.69331,76.52318,7.0,76.52329,77.13583,5.838313,77.13597,77.94584,--
12,12,2,1,2,4.037500e+00,2.422500e+00,1.0,11.0,--,--,77.94897,2.0,78.576546,0.6275769,78.676895,4.494923,83.17362,5.0,83.17374,83.77979,5.8308225,83.77992,87.81988,--
13,13,7,3,1,4.037500e+00,1.615000e+00,1.0,12.0,--,--,87.83409,1.0,88.67673,0.8426409,88.777084,3.4723592,92.25167,8.0,92.251785,92.85746,5.023372,92.8576,96.89739,--
14,14,3,1,3,5.652500e+00,1.615000e+00,1.0,13.0,--,--,96.90073,2.0,97.426674,0.5259463,97.52702,3.7890537,101.31852,6.0,101.318634,101.92463,5.0239,101.92476,107.57987,--
15,15,5,2,2,4.037500e+00,2.422500e+00,1.0,14.0,--,--,107.59246,2.0,108.22665,0.6341921,108.32701,4.488308,112.81862,5.0,112.81873,113.42493,5.8324704,113.425064,117.46489,--
16,16,3,1,3,8.075000e-01,2.422500e+00,1.0,15.0,--,--,117.46791,1.0,117.993286,0.5253784,118.093636,4.5971217,122.69365,4.0,122.69377,123.30005,5.832143,123.300186,124.11082,--
17,17,1,1,1,8.075000e-01,8.075000e-01,1.0,16.0,--,--,124.11262,1.0,126.29346,2.180837,126.393814,1.3266633,127.72227,8.0,127.72238,128.3269,4.2142797,128.32703,129.13634,--
18,18,9,3,3,8.075000e-01,8.075000e-01,1.0,17.0,--,--,129.14404,0.0,131.9278,2.7837641,132.02815,0.7237359,132.75323,999.0,132.75336,133.35878,4.2147465,133.35892,134.16896,--
19,19,6,2,3,2.422500e+00,2.422500e+00,1.0,18.0,--,--,134.18166,2.0,134.81023,0.6285747,134.9106,4.493925,139.406,7.0,139.40611,140.01105,5.8293843,140.01118,142.43579,--
20,20,9,3,3,2.422500e+00,8.075000e-01,1.0,19.0,--,--,142.4432,2.0,143.17642,0.7332208,143.27676,2.774279,146.05405,9.0,146.05415,146.65866,4.215452,146.6588,149.08363,--
