contrast_name	candidate_cope	rf1_authoritative_cope	weights_ev1_to_ev10	notes
C_pun	1	1	1.0,0,0,0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
C_rew	2	2	0,1.0,0,0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F_pun	3	3	0,0,1.0,0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F_rew	4	4	0,0,0,1.0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
S_pun	5	5	0,0,0,0,1.0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
S_rew	6	6	0,0,0,0,0,1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
rew-pun	7	10	-1.0,1.0,-1.0,1.0,-1.0,1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-S	8	11	0,0,1.0,1.0,-1.0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-C	9	12	-1.0,-1.0,1.0,1.0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
(F+S)-C	10	13	-2.0,-2.0,1.0,1.0,1.0,1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-S (rew-pun)	11	14	0,0,-1.0,1.0,1.0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
S-C (rew-pun)	12	15	1.0,-1.0,0,0,-1.0,1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-C (rew-pun)	13	16	1.0,-1.0,-1.0,1.0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-S (rew)	14	17	0,0,0,1.0,0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
S-C (rew)	15	18	0,-1.0,0,0,0,1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-C (rew)	16	19	0,-1.0,0,1.0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-(S+C) all	17	23	-1.0,-1.0,2.0,2.0,-1.0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero; historical label retained though neutral is not weighted
F-(S+C) rew	18	24	0,-1.0,0,2.0,0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-(S+C) pun	19	25	-1.0,0,2.0,0,-1.0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-(S+C) rew-pun	20	26	1.0,-1.0,-2.0,2.0,1.0,-1.0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-S (pun)	21	31	0,0,1.0,0,-1.0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
F-C (pun)	22	32	-1.0,0,1.0,0,0,0,0,0,0,0	neutral and missed-trial nuisance weights are zero
