subject_id	run01_excluded	run02_excluded	run01_coverage	run02_coverage	run01_vmpfc_coverage	run02_vmpfc_coverage	exclusion_reason
10317	0	0	91.76	91.81	93.65	96.15	
10369	0	0	90.98	90.49	91.28	91.28	
104	0	0	89.70	89.70	95.77	96.60	
10402	0	0	88.74	88.59	99.24	98.63	
10418	0	0	95.43	95.41	97.87	98.18	
10462	0	NA	95.97	NA	98.35	NA	
10478	0	0	93.86	93.73	95.51	95.94	
10486	0	0	91.27	91.18	96.95	96.91	
105	0	0	90.16	90.00	96.48	95.91	
10529	0	0	92.23	92.27	94.73	94.99	
10541	0	0	91.05	90.75	98.25	97.92	
10559	0	0	88.10	87.99	98.54	97.80	
10572	0	0	92.18	91.30	98.44	96.41	
10581	0	0	91.88	91.28	99.20	99.65	
10585	0	0	95.54	95.83	98.72	98.87	
10589	0	0	90.21	89.94	95.89	96.83	
10590	0	0	92.13	91.69	98.49	97.97	
10596	0	0	91.95	91.57	98.70	97.59	
106	0	0	88.26	88.00	91.80	93.17	
10606	0	0	91.76	91.68	93.15	93.15	
10608	0	0	90.90	89.84	98.35	96.95	
10617	0	NA	94.24	NA	98.84	NA	
10636	0	0	93.05	92.71	91.85	90.83	
10638	0	0	91.88	91.95	93.55	94.57	
10640	0	0	91.53	91.43	97.50	97.52	
10641	0	NA	90.90	NA	97.61	NA	
10642	0	0	90.98	91.00	93.43	93.46	
10644	0	0	90.83	90.99	97.71	97.68	
10647	0	0	91.88	91.97	93.65	95.28	
10649	0	0	91.06	90.86	97.07	97.24	
10652	0	0	91.65	91.63	96.67	96.67	
10656	0	0	89.08	89.08	86.63	88.33	
10657	0	0	93.44	93.33	95.44	94.47	
10661	0	0	94.79	94.85	98.56	98.42	
10663	0	0	89.66	89.49	93.79	94.45	
10668	0	NA	93.60	NA	98.91	NA	
10673	0	0	92.68	92.18	99.81	99.57	
10674	0	0	90.34	90.08	95.72	95.75	
10677	0	0	92.85	93.79	100.00	100.00	
10685	0	0	91.36	90.74	94.19	93.98	
10690	0	0	95.51	95.31	98.06	97.90	
10691	0	0	93.31	92.92	98.96	98.82	
107	0	0	90.18	90.04	96.46	97.47	
10700	0	0	91.03	92.42	97.14	97.47	
10701	0	0	92.29	92.01	97.14	97.21	
10713	0	0	91.46	91.43	97.85	98.16	
10716	0	0	93.37	93.51	99.65	99.69	
10718	0	0	92.27	92.45	97.21	97.40	
10720	0	0	91.14	90.81	94.54	94.50	
10723	0	0	92.63	92.47	92.51	93.31	
10741	0	0	88.98	88.94	94.97	94.54	
10748	0	0	91.68	91.63	96.60	98.44	
10767	0	0	91.47	91.42	90.13	89.04	
10770	0	0	89.96	90.69	97.99	98.16	
10777	0	0	91.56	91.16	94.87	95.61	
10781	0	0	93.95	93.82	98.16	98.32	
10783	0	0	89.62	89.18	99.60	99.46	
10785	0	0	91.41	91.45	98.51	97.68	
10794	0	0	89.83	90.44	95.75	95.65	
108	0	0	89.68	89.50	95.25	94.64	
10800	0	0	92.23	92.16	92.46	92.82	
10801	0	0	91.04	91.06	95.87	95.82	
10802	0	0	93.38	93.40	98.87	98.49	
10803	0	NA	90.59	NA	96.24	NA	
10804	0	0	91.86	91.83	96.03	96.15	
10806	0	0	92.40	92.48	94.54	94.21	
10807	0	0	89.25	88.62	98.68	98.37	
10809	0	0	91.67	92.00	97.94	98.39	
10810	0	0	93.43	93.32	97.61	97.52	
10812	0	0	91.55	91.79	98.56	99.17	
10817	0	0	89.33	89.44	95.46	93.86	
10827	0	0	89.51	89.70	92.42	93.81	
10831	0	0	92.56	91.95	94.02	94.64	
10834	0	0	94.34	94.29	93.08	93.50	
10838	0	0	89.90	89.24	96.39	92.51	
10843	0	0	89.56	89.04	93.22	93.20	
10850	0	0	92.72	92.39	94.97	95.16	
10854	0	0	90.70	90.23	94.33	96.39	
10857	0	0	91.34	91.36	97.35	97.19	
10858	0	0	92.10	91.59	97.68	97.90	
10860	0	0	91.80	91.18	94.59	96.10	
10862	0	0	94.36	93.84	95.56	95.84	
10863	0	0	90.78	91.03	97.66	96.93	
10866	0	0	91.69	91.53	97.07	96.81	
10875	0	0	93.08	92.95	93.86	94.59	
10881	0	NA	91.59	NA	99.22	NA	
10886	0	NA	91.66	NA	98.44	NA	
10887	0	0	90.96	90.89	94.92	95.98	
10896	0	0	91.53	91.60	93.91	93.83	
10897	0	NA	92.64	NA	97.02	NA	
10898	0	0	91.79	91.52	97.50	97.47	
109	0	0	88.65	88.65	95.53	98.16	
10908	0	0	90.72	90.99	97.59	97.92	
10913	0	0	94.08	93.82	98.87	99.27	
10918	0	0	93.20	92.90	96.15	95.30	
10919	0	0	90.48	90.43	95.58	97.07	
10924	0	0	92.61	92.69	98.23	98.75	
10926	0	0	90.41	90.47	86.91	89.75	
10928	0	0	94.26	94.34	99.34	99.91	
10929	0	0	93.91	94.17	98.35	98.94	
10930	0	0	90.00	90.09	94.14	93.27	
10938	0	0	91.64	91.44	98.09	98.25	
10940	0	0	91.74	91.95	94.68	95.61	
10950	0	0	89.84	89.52	98.94	99.15	
10951	0	0	90.76	90.37	94.00	92.98	
10952	0	0	89.88	89.62	95.84	96.36	
10953	0	0	90.60	90.29	92.98	95.39	
10954	0	0	90.27	90.46	90.10	90.17	
10956	0	0	91.00	91.13	91.16	91.19	
10958	0	0	91.03	91.14	93.43	94.66	
10961	0	0	92.32	92.37	97.73	98.25	
10964	0	0	93.28	92.43	94.71	93.22	
10966	0	0	90.53	90.16	93.74	92.56	
10969	0	0	93.82	93.30	98.54	98.87	
10974	0	0	90.36	90.96	95.77	93.95	
10977	0	0	90.87	91.08	94.28	93.91	
10979	0	0	91.31	91.27	95.02	96.17	
10983	0	0	89.86	89.65	94.31	95.32	
10984	0	0	92.32	92.20	98.72	98.70	
10998	0	0	93.41	93.14	96.69	96.41	
110	0	0	88.83	88.34	94.73	94.87	
11005	0	0	90.15	89.13	97.85	99.01	
11007	0	0	92.34	91.64	97.40	97.26	
11012	0	0	95.47	95.97	90.60	91.40	
11016	0	0	91.69	91.36	94.61	93.88	
11021	0	0	91.75	91.79	89.87	88.83	
11030	0	0	90.75	90.14	89.30	87.64	
11031	0	0	92.85	92.74	94.35	93.79	
11036	0	0	90.64	90.73	96.53	97.40	
11039	0	0	91.45	91.07	98.51	98.72	
11042	0	0	93.16	92.59	92.42	86.46	
11053	0	0	95.46	95.06	97.85	97.47	
11058	0	0	95.07	94.81	98.42	97.59	
11060	0	0	92.55	92.54	95.58	95.06	
11063	0	0	91.87	91.57	98.02	97.40	
11064	0	0	89.50	89.60	90.50	95.65	
11065	0	0	92.55	92.57	95.56	96.10	
11066	0	0	92.17	92.58	91.42	90.55	
11068	0	0	92.52	92.55	98.42	98.18	
11071	0	0	93.03	92.53	99.60	97.78	
11072	0	0	90.04	90.34	89.84	92.72	
11074	0	0	92.11	91.75	99.65	99.06	
11075	0	0	89.00	89.02	94.50	96.01	
11076	0	NA	89.44	NA	98.13	NA	
11078	0	0	92.88	92.78	99.55	99.60	
11083	0	0	91.39	91.61	98.72	99.15	
11084	0	0	91.80	91.91	97.94	97.97	
11085	0	0	91.75	92.08	97.73	98.72	
11090	0	0	94.06	94.13	95.82	96.22	
111	0	0	87.32	86.86	96.36	97.02	
11110	0	0	90.17	89.62	96.69	96.50	
11113	0	0	90.28	90.34	98.91	99.36	
11116	0	0	92.22	91.49	99.79	99.55	
11120	0	0	91.71	90.74	97.80	97.31	
11125	0	0	91.39	91.18	99.20	99.13	
11126	0	NA	94.71	NA	89.65	NA	
11128	0	0	91.43	91.56	95.51	97.12	
11134	0	0	92.08	92.24	93.27	94.94	
