subject,feat_relpath,cope_idx,contrast_name,contrast_fix,H_common,H_source,scale_factor,psc_mean,roi
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope1.feat,1,C_pun,1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope10.feat,10,rew-pun,3.0,0.1365668,ppheight_header,4.552226666666666,0.011408,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope11.feat,11,F-S,2.0,0.1365668,ppheight_header,6.828339999999999,0.049536,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope12.feat,12,F-C,2.0,0.1365668,ppheight_header,6.828339999999999,0.011911,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope13.feat,13,(F+S)-C,4.0,0.1365668,ppheight_header,3.4141699999999995,-0.022515,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope14.feat,14,F-S (rew-pun),2.0,0.1365668,ppheight_header,6.828339999999999,0.136521,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope15.feat,15,S-C (rew-pun),2.0,0.1365668,ppheight_header,6.828339999999999,-0.115804,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope16.feat,16,F-C (rew-pun),2.0,0.1365668,ppheight_header,6.828339999999999,0.038134,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope17.feat,17,F-S (rew),1.0,0.1365668,ppheight_header,13.656679999999998,0.184976,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope18.feat,18,S-C (rew),1.0,0.1365668,ppheight_header,13.656679999999998,-0.150141,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope19.feat,19,F-C (rew),1.0,0.1365668,ppheight_header,13.656679999999998,0.047052,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope2.feat,2,C_rew,1.0,0.1365668,ppheight_header,13.656679999999998,0.218029,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope20.feat,20,F-S (rew-neu),1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope21.feat,21,S-C (rew-neu),1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope22.feat,22,F-C (rew-neu),1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope23.feat,23,F-(S+C) all,4.0,0.1365668,ppheight_header,3.4141699999999995,0.035938,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope24.feat,24,F-(S+C) rew,2.0,0.1365668,ppheight_header,6.828339999999999,0.123849,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope25.feat,25,F-(S+C) pun,2.0,0.1365668,ppheight_header,6.828339999999999,-0.057738,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope26.feat,26,F-(S+C) rew-pun,4.0,0.1365668,ppheight_header,3.4141699999999995,0.087139,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope27.feat,27,F_dec,1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope28.feat,28,S_dec,1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope29.feat,29,C_dec,1.0,0.1365668,ppheight_header,13.656679999999998,0.176678,masks/seed-ofc.nii.gz
sub-10317,derivatives/fsl/sub-10317/L2_task-sharedreward_model-1_type-act_sm-5.gfeat/cope3.feat,3,F_pun,1.0,0.1365668,ppheight_header,13.656679999999998,0.144114,masks/seed-ofc.nii.gz
