Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	classification	classification_tags
ICA_00	16.03800903140703	13.36611901734403	1.1905412399306234	0.01661009177708394	126	0	0.0	0.0	3584	0.0	0.0	13.0	-1	0.21532249422617086	n/a	accepted	Low variance
ICA_01	42.12860330505102	19.2948416911636	11.943489684127954	0.12969055028594673	7905	2027	0.45634161886551944	0.17834714895754836	3875	0.0	0.0	7.3	-1	0.8223365421611366	6.0	accepted	Likely BOLD
ICA_02	38.682536248009335	19.71856503518213	12.879680265325172	0.14808433453505113	5748	1897	0.4019539427773901	0.1264948179643901	3959	0.0	0.0	8.7	-1	0.9657963339411845	7.4	rejected	Less likely BOLD
ICA_03	53.17721771210648	18.101534486114762	11.195808221899393	0.04450138617178714	1482	359	0.5393566050650239	0.15083798882681565	2611	8.130170838623107	2.2352507794297656e-15	2.2	1	0.6106962477090002	2.2	accepted	Likely BOLD
ICA_04	42.61884508610728	11.020905078040066	2.812891176869873	0.035397338236511866	3261	0	0.527613104524181	0.0	2186	2.734333093712682	0.006318302990673489	3.2	-1	0.19144616269651776	3.2	accepted	Likely BOLD
ICA_05	19.017698750713084	12.303509075886714	1.3449619863787794	0.018171033594872255	593	71	0.20272572402044292	0.0	3498	4.822765249858348	7.937210311028054e-06	8.4	-1	0.20513863332907598	8.2	accepted	Likely BOLD
ICA_06	27.43861505644637	20.005661649726182	2.031150404711255	0.023624250314343773	1308	519	0.31316998468606433	0.0	3395	7.496905191715433	5.57321682894501e-11	6.2	1	0.2147213893409651	6.2	accepted	Likely BOLD
ICA_07	16.163703568741997	15.570174091143082	1.3730191607101048	0.01795237178592289	268	335	0.0	0.10225563909774436	3496	1.60035571683087	0.11483749509248573	10.8	1	0.24639456991482026	n/a	rejected	Unlikely BOLD
ICA_08	39.11261256744737	20.23426259582593	17.775679699690862	0.20103591384689684	7118	4103	0.404163052905464	0.15935654141007918	3655	0.0	0.0	7.7	-1	1.3182713140991271	6.4	rejected	Less likely BOLD
ICA_09	38.53973924160531	14.273002413578382	1.7923700403509424	0.026682321011860133	2765	1230	0.37852897473997027	0.1842641663269466	2837	11.193608366623574	1.5228516252250557e-26	4.6	-1	0.1349007349990976	4.6	accepted	Likely BOLD
ICA_10	15.074975277516469	14.109558399048208	1.1350130796940125	0.0176557876382961	0	55	0.0	0.0	3584	0.0	0.0	13.5	-1	0.21839348043418816	n/a	accepted	Low variance
ICA_11	17.67485572594686	14.847513925060122	1.6161262568764947	0.016775642530027342	321	87	0.1763779527559055	0.0	3561	0.0	0.0	11.3	-1	0.2652252213479162	10.6	accepted	Likely BOLD
ICA_12	51.15825338654633	16.44922659642554	12.42542619205288	0.04341000994756294	1422	60	0.5558312655086849	0.0	2456	6.671233712030381	4.45469020579644e-11	2.6	-1	0.7045162213473247	2.6	accepted	Likely BOLD
ICA_13	44.44302226648976	23.798948680938388	16.75768769454092	0.20611126604431135	8635	4686	0.46721410457674195	0.24767063921993498	3976	2.671913769860039	0.010835174384859998	5.8	-1	1.0937194100359282	5.0	accepted	Likely BOLD
ICA_14	18.048402811705255	16.364145133072938	1.2171633047599169	0.01620572787991951	784	352	0.1858974358974359	0.0	3504	5.256318523529986	3.4220373708045456e-06	8.4	1	0.19561650141519163	8.2	accepted	Likely BOLD
ICA_15	21.96669993572179	15.502118316884065	1.3885886613459775	0.021304728913873208	682	306	0.0	0.0	3626	0.0	0.0	11.7	1	0.1833598347262224	10.0	accepted	Likely BOLD
ICA_16	14.026324444628424	13.050586046942389	1.1204029307348207	0.016787245485732908	0	42	0.0	0.0	3615	0.0	0.0	14.0	1	0.23169985796881262	n/a	accepted	Low variance
