Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	63.80483288929097	21.028290058945455	43.152923301907606	0.145661210842416	12090	6055	0.5244679970191273	0.24919258881523032	4584	0.0	0.0	6.0	1	0.5010259245638308	accepted	n/a
PCA_01	53.608826921164315	22.734256743837598	13.132125466789082	0.049324927927770094	10147	3648	0.4976199920666402	0.18351392127280208	3780	2.178220224198598	0.034162708203497594	4.8	1	0.13348612378782135	accepted	n/a
PCA_02	30.13461622305737	22.672382044914375	5.602504040795133	0.023368342405348026	4056	5179	0.2657520325203252	0.23114307931570763	3816	0.0	0.0	8.2	-1	0.06969966974839989	accepted	n/a
PCA_03	38.827365739743996	17.542573662116475	4.392063336696885	0.01592542449114927	3672	610	0.3736900165471594	0.0492091388400703	3861	3.9816053702402745	0.0002496095035043591	6.6	1	0.0403421943454529	accepted	n/a
PCA_04	53.20832265482747	17.979701896956776	9.72757553261428	0.01407085874084278	1504	273	0.5361101780315755	0.0	2595	6.642388638246889	6.180671777876535e-11	2.4	-1	0.03694231553319829	accepted	n/a
PCA_05	45.95709217161506	16.411567892065477	9.378870746286069	0.013511206983622442	1670	111	0.5378254211332313	0.0	2621	5.302116037545156	1.5414802618038999e-07	2.6	1	0.0339071444202216	accepted	n/a
PCA_06	43.45947829780315	11.247244613220534	2.8266646883904647	0.011494212762701803	5367	91	0.48906560636182905	0.0	2870	3.2326951459153936	0.0012889712781715085	3.4	1	0.03582812079820148	accepted	n/a
PCA_07	26.130024928023765	16.015746385725272	1.7446247908584296	0.009214923080927912	1052	39	0.0	0.0	3625	0.0	0.0	10.2	1	0.02139461579026464	accepted	n/a
PCA_08	22.578623516540965	17.56160000110943	1.5039106281283028	0.007740032736458857	1687	2127	0.24799762681696827	0.25097465886939574	3427	8.252368701786784	7.831205536884132e-14	4.8	1	0.020918612538894286	accepted	n/a
PCA_09	20.766793439346834	13.673641020683748	1.2808674243795612	0.006947841254438707	463	66	0.0	0.0	3585	0.0	0.0	9.8	1	0.016015210730922574	accepted	n/a
PCA_10	16.927508113463702	14.549405777209598	1.2622795747234383	0.006249916813956666	351	41	0.0	0.0	3584	0.0	0.0	10.3	-1	0.014697256546103635	accepted	n/a
PCA_11	17.82967076142171	15.62874277939988	1.1012431080656666	0.006125135794599496	398	137	0.0	0.0	3600	0.0	0.0	10.6	1	0.014411371518177011	accepted	n/a
PCA_12	15.666697882694656	13.517997220696438	1.0278758638795353	0.005679522417659048	98	0	0.0	0.0	3607	0.0	0.0	12.0	-1	0.013179918670956355	accepted	n/a
PCA_13	15.612929333096673	13.736152678475161	1.1457900785228619	0.005316364381419528	183	38	0.0	0.0	3584	0.0	0.0	10.9	1	0.013634982620974555	accepted	n/a
PCA_14	13.502731651976957	12.017480611315044	0.9151199971139174	0.00511433348829169	0	0	0.0	0.0	3587	0.0	0.0	12.7	-1	0.011849748797248174	accepted	n/a
PCA_15	15.364615606423186	12.666844947150848	0.8853430937046093	0.005056501412630432	0	0	0.0	0.0	3554	0.0	0.0	11.5	-1	0.01159657746638595	accepted	n/a
PCA_16	13.903362486068467	13.552642585736013	0.9202183271441616	0.004834778502603505	168	0	0.0	0.0	3617	0.0	0.0	12.6	1	0.011070212122946536	accepted	n/a
