Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	classification	classification_tags
ICA_00	35.362425543988046	12.848721738635446	2.5551950067801954	0.022325164742977986	2248	140	0.5399954159981664	0.0	1839	-0.06257257853232107	0.9501115458083861	5.0	1	1.2152517716052906	n/a	rejected	Unlikely BOLD
ICA_01	33.225843747062875	12.150779518580036	1.5313837149289746	0.017832740468637795	2787	0	0.49907783105864995	0.0	3119	10.706347530960352	8.045819198143621e-25	3.6	-1	0.7751616256446457	2.6	accepted	Likely BOLD
ICA_02	50.04066098058952	18.820728365129742	11.23497057395942	0.0355058768023835	1600	230	0.5058441558441559	0.0	2590	4.079285423245393	4.880902649828908e-05	2.4	-1	3.776010214810426	1.6	accepted	Likely BOLD
ICA_03	17.727540068554198	18.864154175970963	1.3350792041493134	0.013016916465816271	770	267	0.08941485864562787	0.0	3856	0.0	0.0	9.2	1	1.2666097136388295	n/a	rejected	Unlikely BOLD
ICA_04	13.69517098887713	16.576526029477495	1.192294011171922	0.011185530965959497	106	0	0.0	0.0	3926	0.0	0.0	13.1	1	1.4641991903973492	n/a	rejected	Unlikely BOLD
ICA_05	63.58132715650306	21.883813146482517	45.083129639843996	0.5839268143539325	11502	3665	0.5039019924140036	0.16437201461084575	3157	0.0	0.0	3.8	-1	11.92528389690267	2.4	rejected	Less likely BOLD
ICA_06	43.89223057024838	26.435756092786534	14.95509780504328	0.14129984118910396	8523	2623	0.45669195751138086	0.17994157740993183	3509	0.0	0.0	5.4	1	5.730412222911732	n/a	rejected	Less likely BOLD
ICA_07	17.104006876811713	13.76281862537212	1.0243432283926914	0.012982684957889165	173	0	0.0	0.0	3882	0.0	0.0	11.1	1	1.007237524820434	n/a	accepted	Low variance
ICA_08	49.14263579598856	19.290424551684925	9.880449291699632	0.034478864020194316	1452	238	0.5360028099754127	0.0	2710	2.773024702369653	0.005672881935166053	3.0	1	3.381446386540456	2.2	accepted	Likely BOLD
ICA_09	14.350213895185034	13.96756744385451	1.0473332464239975	0.01266562535242515	44	43	0.0	0.0	3888	0.0	0.0	12.3	-1	1.2274696827819185	n/a	accepted	Low variance
ICA_10	25.23385530688883	16.140330288910945	2.886313490201484	0.032931702479934905	1122	52	0.0	0.0	3895	0.0	0.0	9.9	1	1.9237301409330487	5.3	accepted	Accept borderline
ICA_11	46.665770440426286	12.54767299222488	2.330504894383092	0.02849222650398395	5201	329	0.4555632616665015	0.0	2892	7.353646511248504	4.004832981317064e-13	3.2	1	0.8399159678674665	2.4	accepted	Likely BOLD
ICA_12	14.0537234623677	16.674432305630006	1.16819023783984	0.011567227712629495	218	56	0.0	0.0	3777	0.0	0.0	11.1	-1	1.397997606549815	n/a	rejected	Unlikely BOLD
ICA_13	20.935725244910884	17.23447037250255	1.4859109557664076	0.01763730588648921	881	295	0.0	0.0	3907	0.0	0.0	10.5	1	1.1936830677852708	5.9	accepted	Likely BOLD
ICA_14	15.277709101226435	15.851599817117474	1.19215172654805	0.01218429217906303	253	166	0.0	0.0	3714	1.382449260084964	0.1712030048253082	8.9	1	1.3123738084033463	n/a	rejected	Unlikely BOLD
ICA_15	14.373808537506461	13.507167610147231	1.0976529728677058	0.011967185918579478	0	41	0.0	0.0	3815	0.6438773105639333	0.52276253904935	10.7	-1	1.2843324663262115	n/a	accepted	Low variance
