Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	62.97185782309909	22.11023185141576	59.648148896015165	0.1942193920890027	13542	5133	0.5047363852511605	0.1686574783052578	5078	0.0	0.0	5.5	-1	0.6892730720860595	accepted	n/a
PCA_01	43.81356689749698	20.292680794136412	4.724048692853562	0.02201894989441276	7047	1125	0.3939751919669226	0.16666666666666666	4099	0.0	0.0	6.9	-1	0.05152512324373459	accepted	n/a
PCA_02	28.436731150529734	17.527465022053207	2.8624428970628126	0.016052658220730206	2140	398	0.24455205811138014	0.0	4051	0.0	0.0	7.7	1	0.03467382441012801	accepted	n/a
PCA_03	44.74402801713543	13.787425397784865	5.237539681401959	0.014247073520837823	6422	266	0.46436855154762857	0.0	3387	-2.4531774836430604	0.014353423101021574	5.0	1	0.037540775867742966	accepted	n/a
PCA_04	47.31382315945041	18.192170171509517	8.32019443967464	0.01406490380445633	2836	344	0.4388065034840093	0.0	2970	0.2401583936345106	0.8102674927333638	3.0	-1	0.03374915910606966	accepted	n/a
PCA_05	47.82692169198045	18.464757996603623	8.686979007577245	0.013786550625655121	1642	268	0.513789897737837	0.0	3025	1.3379409745813091	0.18161330827822814	2.2	1	0.03240724069707195	accepted	n/a
PCA_06	19.252322247247147	16.808973064392706	1.3713344104784349	0.008049317233406447	357	0	0.0	0.0	3701	0.0	0.0	8.4	1	0.01684221091798297	accepted	n/a
PCA_07	25.313566699541138	12.895210577421185	1.1200743123288288	0.00672534539991834	1169	0	0.0	0.0	3753	7.443169321700342	2.34375261829844e-12	5.9	1	0.014034281288242247	accepted	n/a
PCA_08	16.644652933349203	14.399703804126087	1.1927370852324493	0.006282319820171529	119	111	0.0	0.0	3450	1.2682513320143105	0.20556315683490414	7.9	1	0.013288683461237035	accepted	n/a
PCA_09	16.39296762475594	18.288856775686238	1.1167391070904344	0.005816381605745663	580	298	0.0	0.0	3844	0.0	0.0	9.7	-1	0.012070702524490495	accepted	n/a
PCA_10	15.854958496002814	16.1056314412575	1.0947331487916545	0.005532738524033235	452	177	0.0	0.0	3873	0.0	0.0	10.8	-1	0.011461164392485838	accepted	n/a
PCA_11	16.512096090803162	13.223222927191333	0.9262376460212882	0.005416480790812703	201	0	0.0	0.0	3744	3.981601660537898	0.0001291847665012812	7.7	1	0.011217155104924522	accepted	n/a
PCA_12	15.282031087603082	12.914574905115336	1.016134249643481	0.00527457487486238	176	47	0.0	0.0	3847	0.0	0.0	11.4	1	0.01106634169252057	accepted	n/a
PCA_13	16.546539442154785	12.559122997599255	0.8389026988338664	0.005065358756323183	341	0	0.0	0.0	3862	2.489360290770894	0.015303416877870098	8.7	1	0.010576240975254015	accepted	n/a
PCA_14	12.615878777461624	13.97183620977349	0.8968161177410894	0.004961928186215753	0	110	0.0	0.0	3844	0.5495325395161029	0.5847577945914415	10.8	-1	0.01032611331053772	accepted	n/a
PCA_15	12.328462104239803	15.211309370723173	0.946937609253088	0.004805910593967855	46	0	0.0	0.0	3826	0.0	0.0	11.6	-1	0.009947910921517939	accepted	n/a
