TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,9,3,3,8.075000e-01,8.075000e-01,1.0,0.0,2.5001355e-06,0.0096677,4.020078,1.0,5.1738715,1.1537932,5.274328,2.3537068,7.630253,3.0,7.630398,8.238068,4.21799,8.238236,9.048481,--
2,2,7,3,1,7.267500e+00,2.422500e+00,1.0,1.0,--,--,9.054196,1.0,9.472653,0.4184572,9.573017,4.704043,14.2795925,7.0,14.279736,14.887065,5.832868,14.887202,22.156914,--
3,3,7,3,1,2.422500e+00,8.075000e-01,1.0,2.0,--,--,22.163128,1.0,22.706293,0.5431657,22.806679,2.9643342,25.772697,6.0,25.772833,26.377632,4.2145057,26.377777,28.801943,--
4,4,9,3,3,4.037500e+00,1.615000e+00,1.0,3.0,--,--,28.807634,2.0,29.123947,0.3163135,29.224302,3.9986866,33.225445,9.0,33.225563,33.83292,5.025286,33.833057,37.87303,--
5,5,3,1,3,4.037500e+00,8.075000e-01,1.0,4.0,--,--,37.878338,1.0,38.40614,0.527801,38.506493,2.979699,41.4881,2.0,41.488216,42.092976,4.21464,42.093117,46.132362,--
6,6,4,2,1,2.422500e+00,1.615000e+00,1.0,5.0,--,--,46.147163,1.0,46.672546,0.525385,46.77291,3.789615,50.565346,7.0,50.565464,51.171085,5.0239234,51.171223,53.595787,--
7,7,1,1,1,8.882500e+00,1.615000e+00,1.0,6.0,--,--,53.5991,2.0,54.022488,0.4233911,54.122856,3.891609,58.017242,4.0,58.017376,58.62381,5.024711,58.623947,67.51051,--
8,8,1,1,1,4.037500e+00,1.615000e+00,1.0,7.0,--,--,67.51243,1.0,67.939255,0.4268237,68.03961,3.8881762,71.9308,9.0,71.93092,72.536156,5.02373,72.53629,76.575836,--
9,9,2,1,2,4.037500e+00,8.075000e-01,1.0,8.0,--,--,76.57771,2.0,77.10605,0.52834,77.20641,2.97916,80.18791,5.0,80.18803,80.7953,4.217592,80.79544,84.8347,--
10,10,9,3,3,8.075000e-01,8.075000e-01,1.0,9.0,--,--,84.84269,1.0,85.37268,0.5299962,85.47305,2.9775038,88.453026,2.0,88.45314,89.059166,4.216477,89.05932,89.86909,--
11,11,3,1,3,7.267500e+00,8.075000e-01,1.0,10.0,--,--,89.8723,2.0,90.80601,0.933707,90.906364,2.573793,93.482056,6.0,93.48217,94.08759,4.215298,94.08774,101.35689,--
12,12,5,2,2,2.422500e+00,2.422500e+00,1.0,11.0,--,--,101.36996,1.0,101.90604,0.5360749,102.006386,4.5864253,106.595695,5.0,106.59581,107.20185,5.8318925,107.20199,109.627106,--
13,13,7,3,1,8.075000e-01,2.422500e+00,1.0,12.0,--,--,109.63449,2.0,110.67235,1.0378518,110.772705,4.084648,114.86025,2.0,114.860374,115.46582,5.8313265,115.46596,116.275696,--
14,14,4,2,1,8.075000e-01,2.422500e+00,1.0,13.0,--,--,116.28839,2.0,116.72266,0.4342646,116.823006,4.6882353,121.51361,2.0,121.513725,122.12527,5.836878,122.125404,122.93494,--
15,15,6,2,3,2.422500e+00,1.615000e+00,1.0,14.0,--,--,122.94631,1.0,123.68928,0.7429656,123.789635,3.5720344,127.36438,2.0,127.364494,127.969025,5.0227084,127.96916,130.39438,--
16,16,8,3,2,4.037500e+00,1.615000e+00,1.0,15.0,--,--,130.40138,2.0,131.03922,0.6378387,131.13959,3.6771612,134.81981,5.0,134.81993,135.42595,5.024567,135.42609,139.46585,--
17,17,7,3,1,8.075000e-01,1.615000e+00,1.0,16.0,--,--,139.4717,1.0,140.10579,0.63409853,140.20615,3.6809015,143.88853,8.0,143.88864,144.49467,5.022985,144.49481,145.30453,--
18,18,1,1,1,2.422500e+00,1.615000e+00,1.0,17.0,--,--,145.30768,1.0,146.55656,1.2488883,146.65694,3.0661118,149.72676,7.0,149.72688,150.3314,5.023723,150.33154,152.75577,--
19,19,4,2,1,5.652500e+00,1.615000e+00,1.0,18.0,--,--,152.76817,1.0,153.40607,0.6378826,153.50642,3.6771173,157.18677,8.0,157.18689,157.7906,5.0224233,157.79074,163.44688,--
20,20,6,2,3,8.075000e-01,8.075000e-01,1.0,19.0,--,--,163.45914,1.0,163.98915,0.530017,164.08952,2.977483,167.06956,2.0,167.06969,167.6759,4.2167645,167.67604,168.4864,--
21,21,4,2,1,8.075000e-01,2.422500e+00,1.0,20.0,--,--,168.49843,2.0,169.75572,1.2572938,169.85608,3.8652062,173.7236,3.0,173.72372,174.33095,5.83251,174.33109,175.14125,--
22,22,1,1,1,8.075000e-01,1.615000e+00,1.0,21.0,--,--,175.14473,0.0,177.9339,2.7891715,178.03426,1.5258286,179.56274,999.0,179.56285,180.16884,5.0241137,180.16898,180.97893,--
23,23,3,1,3,8.075000e-01,2.422500e+00,1.0,22.0,--,--,180.98105,1.0,181.5057,0.5246435,181.60608,4.5978565,186.2057,4.0,186.20584,186.81111,5.8300614,186.81125,187.62082,--
24,24,7,3,1,5.652500e+00,8.075000e-01,1.0,23.0,--,--,187.63622,2.0,188.2723,0.6360728,188.37267,2.8714273,191.2464,1.0,191.24654,191.85306,4.2168374,191.8532,197.50748,--
25,25,6,2,3,8.075000e-01,8.075000e-01,1.0,24.0,--,--,197.52003,2.0,197.93878,0.4187443,198.03912,3.0887556,201.12961,7.0,201.12973,201.73596,4.2159286,201.7361,202.54573,--
26,26,6,2,3,8.075000e-01,2.422500e+00,1.0,25.0,--,--,202.55783,1.0,203.38899,0.8311606,203.48933,4.2913394,207.7836,1.0,207.78372,208.38925,5.831433,208.3894,209.20059,--
27,27,6,2,3,8.075000e-01,2.422500e+00,1.0,26.0,--,--,209.21275,2.0,210.35535,1.142593,210.4557,3.979907,214.43849,7.0,214.43861,215.0428,5.8300514,215.04294,215.8522,--
28,28,4,2,1,5.652500e+00,1.615000e+00,1.0,27.0,--,--,215.86443,2.0,217.00531,1.1408803,217.10567,3.1741197,220.2829,1.0,220.283,220.88766,5.023236,220.8878,226.54207,--
29,29,4,2,1,8.075000e-01,2.422500e+00,1.0,28.0,--,--,226.55402,1.0,227.38925,0.8352356,227.48964,4.2872643,231.7795,9.0,231.77962,232.3839,5.8298683,232.38403,233.19362,--
30,30,4,2,1,2.422500e+00,2.422500e+00,1.0,29.0,--,--,233.20581,1.0,233.73883,0.5330224,233.83919,4.5894775,238.43066,8.0,238.4308,239.04051,5.8347054,239.04065,241.46501,--
31,31,6,2,3,8.075000e-01,2.422500e+00,1.0,30.0,--,--,241.477,2.0,242.00543,0.5284241,242.1058,4.5940757,246.70181,8.0,246.70193,247.30774,5.8307323,247.30788,248.11765,--
32,32,7,3,1,2.422500e+00,2.422500e+00,1.0,31.0,--,--,248.12698,0.0,250.91194,2.78495,251.0123,2.33755,253.35246,999.0,253.35258,253.95743,5.8304424,253.95757,256.38254,--
33,33,2,1,2,4.037500e+00,1.615000e+00,1.0,32.0,--,--,256.38577,1.0,256.8052,0.4194385,256.90558,3.8955615,260.8042,5.0,260.80432,261.40875,5.0230002,261.4089,265.4493,--
34,34,3,1,3,8.075000e-01,8.075000e-01,1.0,33.0,--,--,265.45117,2.0,265.9736,0.5224358,266.07394,2.9850643,269.06195,9.0,269.06207,269.66675,4.2155905,269.6669,270.47617,--
35,35,7,3,1,8.075000e-01,8.075000e-01,1.0,34.0,--,--,270.48325,1.0,270.90515,0.4219039,271.00552,3.085596,274.09323,7.0,274.09338,274.69974,4.2164936,274.69986,275.5096,--
36,36,3,1,3,8.075000e-01,2.422500e+00,1.0,35.0,--,--,275.5128,2.0,275.93872,0.4259291,276.03906,4.696571,280.73843,6.0,280.73856,281.3441,5.831294,281.3442,282.15366,--
37,37,1,1,1,8.075000e-01,8.075000e-01,1.0,36.0,--,--,282.1558,1.0,282.58868,0.4328925,282.68906,3.0746076,285.76562,6.0,285.76575,286.37173,4.215928,286.37186,287.18152,--
38,38,1,1,1,8.075000e-01,8.075000e-01,1.0,37.0,--,--,287.18347,1.0,287.92227,0.7388255,288.02264,2.7686746,290.79346,9.0,290.79358,291.3987,4.2152557,291.39886,292.2081,--
39,39,3,1,3,2.422500e+00,8.075000e-01,1.0,38.0,--,--,292.21014,1.0,293.05536,0.8452076,293.1557,2.6622925,295.82098,3.0,295.8211,296.42557,4.215436,296.42572,298.85056,--
40,40,8,3,2,8.075000e-01,1.615000e+00,1.0,39.0,--,--,298.8579,2.0,299.90527,1.0473729,300.00565,3.267627,303.2756,5.0,303.2757,303.88028,5.0223684,303.88043,304.69058,--
41,41,9,3,3,2.422500e+00,1.615000e+00,1.0,40.0,--,--,304.69623,1.0,307.28876,2.5925388,307.38916,1.7224612,309.11407,2.0,309.1142,309.7197,5.0234623,309.71982,312.1441,--
42,42,6,2,3,8.075000e-01,8.075000e-01,1.0,41.0,--,--,312.15643,2.0,312.88837,0.7319367,312.98874,2.7755632,315.76645,6.0,315.76657,316.37204,4.215616,316.3722,317.18167,--
43,43,5,2,2,4.037500e+00,8.075000e-01,1.0,42.0,--,--,317.19342,1.0,317.92172,0.7283149,318.02206,2.779185,320.80463,5.0,320.80475,321.40945,4.21604,321.4096,325.4496,--
44,44,7,3,1,2.422500e+00,2.422500e+00,1.0,43.0,--,--,325.4584,0.0,328.24677,2.7883499,328.3471,2.3341503,330.68335,999.0,330.68347,331.28854,5.8301325,331.28867,333.7145,--
45,45,4,2,1,8.075000e-01,1.615000e+00,1.0,44.0,--,--,333.72754,1.0,334.15494,0.4273927,334.25528,3.8876073,338.14566,8.0,338.1458,338.75186,5.0243273,338.752,339.5613,--
46,46,1,1,1,8.075000e-01,1.615000e+00,1.0,45.0,--,--,339.5658,2.0,340.3053,0.7395058,340.40564,3.5754943,343.983,4.0,343.9831,344.58832,5.022524,344.58847,345.39832,--
47,47,3,1,3,8.075000e-01,8.075000e-01,1.0,46.0,--,--,345.40024,1.0,345.82236,0.4221371,345.9227,3.085363,349.01135,2.0,349.01147,349.61655,4.2163153,349.61667,350.426,--
48,48,9,3,3,2.422500e+00,1.615000e+00,1.0,47.0,--,--,350.43347,2.0,350.75497,0.3214992,350.85535,3.9935007,354.85233,9.0,354.85245,355.4576,5.0241523,355.45776,357.88235,--
49,49,1,1,1,2.422500e+00,2.422500e+00,1.0,48.0,--,--,357.88553,1.0,358.20496,0.3194343,358.30533,4.803066,363.11157,8.0,363.1117,363.7177,5.8321877,363.71786,366.14267,--
50,50,3,1,3,5.652500e+00,2.422500e+00,1.0,49.0,--,--,366.14456,2.0,366.57172,0.4271495,366.67206,4.6953506,371.37048,9.0,371.3706,371.97705,5.8325047,371.9772,377.63226,--
51,51,9,3,3,8.075000e-01,1.615000e+00,1.0,50.0,--,--,377.63934,1.0,378.1717,0.5323489,378.27206,3.7826512,382.05667,2.0,382.0568,382.6613,5.0219383,382.66144,383.47067,--
52,52,9,3,3,2.422500e+00,2.422500e+00,1.0,51.0,--,--,383.4763,1.0,384.105,0.628695,384.20535,4.493805,388.7013,1.0,388.7014,389.3065,5.8301983,389.30664,391.73083,--
53,53,6,2,3,8.075000e-01,8.075000e-01,1.0,52.0,--,--,391.74374,2.0,392.37134,0.6275932,392.4717,2.879907,395.3534,6.0,395.3535,395.95755,4.213816,395.9577,396.76746,--
