dataset	method	n_runs	mean_classic_fwhm_mm	sd_classic_fwhm_mm	sem_classic_fwhm_mm
ds003745	baseline	100	3.7268551	0.11197413825238237	0.011197413825238237
ds003745	afni_total_target	100	5.774944	0.08430389990619616	0.008430389990619616
ds003745	fsl_susan_kernel	100	8.2600109	0.29501991865332095	0.029501991865332096
rf1	baseline	665	3.5458274887218044	0.339545853829598	0.013167023450486837
rf1	afni_total_target	665	5.852013503759398	0.09056959012286885	0.0035121380620576517
rf1	fsl_susan_kernel	665	7.918607142857143	0.9248330833176072	0.035863488711425084
