TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,3,1,3,8.075000e-01,8.075000e-01,1.0,0.0,2.500019e-06,0.0082325,4.01308,1.0,4.9591284,0.9460481,5.0595512,2.561452,7.6237946,4.0,7.623942,8.231895,4.2188153,8.232061,9.042555,--
2,2,4,2,1,2.422500e+00,8.075000e-01,1.0,1.0,--,--,9.058116,1.0,10.209366,1.15125,10.309732,2.35625,12.668813,7.0,12.668932,13.2758465,4.2177315,13.275985,15.700732,--
3,3,9,3,3,8.075000e-01,1.615000e+00,1.0,2.0,--,--,15.710779,2.0,16.958961,1.2481833,17.059319,3.0668168,20.128763,7.0,20.128881,20.733994,5.0232153,20.734129,21.543497,--
4,4,7,3,1,4.037500e+00,8.075000e-01,1.0,3.0,--,--,21.550684,1.0,22.59286,1.0421748,22.693222,2.465325,25.160892,7.0,25.16102,25.766666,4.215982,25.7668,29.806715,--
5,5,6,2,3,8.075000e-01,1.615000e+00,1.0,4.0,--,--,29.819834,2.0,31.57708,1.7572452,31.677439,2.5577548,34.237717,7.0,34.23784,34.843468,5.023634,34.843605,35.652737,--
6,6,9,3,3,8.075000e-01,1.615000e+00,1.0,5.0,--,--,35.66,2.0,37.942505,2.282504,38.042866,2.032496,40.07853,8.0,40.078648,40.68395,5.0239477,40.684086,41.493767,--
7,7,7,3,1,8.075000e-01,1.615000e+00,1.0,6.0,--,--,41.500183,1.0,42.860085,1.3598998,42.96111,2.9551003,45.918476,6.0,45.91859,46.524483,5.024297,46.524616,47.33423,--
8,8,7,3,1,8.075000e-01,2.422500e+00,1.0,7.0,--,--,47.340706,1.0,48.592274,1.2515664,48.69264,3.8709335,52.565845,7.0,52.565968,53.170925,5.830216,53.171062,53.980385,--
9,9,4,2,1,8.075000e-01,2.422500e+00,1.0,8.0,--,--,53.99379,2.0,55.142437,1.1486487,55.242786,3.9738512,59.218662,2.0,59.218777,59.823982,5.8301945,59.824123,60.633682,--
10,10,9,3,3,4.037500e+00,2.422500e+00,1.0,9.0,--,--,60.641598,1.0,61.89263,1.2510306,61.992977,3.8714695,65.86656,2.0,65.86668,66.471825,5.8302255,66.47197,70.51178,--
11,11,1,1,1,8.075000e-01,1.615000e+00,1.0,10.0,--,--,70.51563,2.0,71.55901,1.0433761,71.659386,3.2716238,74.932465,2.0,74.93259,75.53789,5.022256,75.538025,76.348625,--
12,12,4,2,1,5.652500e+00,1.615000e+00,1.0,11.0,--,--,76.360886,2.0,77.50911,1.1482307,77.60947,3.1667693,80.77813,4.0,80.778244,81.382904,5.02202,81.38303,87.037766,--
13,13,3,1,3,8.075000e-01,1.615000e+00,1.0,12.0,--,--,87.041016,2.0,88.592514,1.5514971,88.69287,2.7635028,91.458145,9.0,91.45826,92.0644,5.0233836,92.06453,92.87469,--
14,14,5,2,2,2.422500e+00,8.075000e-01,1.0,13.0,--,--,92.88797,1.0,94.02724,1.1392663,94.1276,2.368234,96.498665,5.0,96.49879,97.1049,4.2169256,97.105034,99.530205,--
15,15,6,2,3,5.652500e+00,2.422500e+00,1.0,14.0,--,--,99.54225,1.0,100.37559,0.8333381,100.47595,4.2891617,104.768295,1.0,104.76841,105.37572,5.833466,105.375854,111.031685,--
16,16,9,3,3,8.075000e-01,2.422500e+00,1.0,15.0,--,--,111.03942,2.0,111.97541,0.9359881,112.07576,4.186512,116.264626,7.0,116.26475,116.86835,5.828922,116.868484,117.67958,--
17,17,6,2,3,4.037500e+00,1.615000e+00,1.0,16.0,--,--,117.69227,2.0,119.359024,1.6667546,119.45938,2.6482453,122.11049,9.0,122.1106,122.71422,5.0219507,122.714355,126.75357,--
18,18,7,3,1,7.267500e+00,1.615000e+00,1.0,17.0,--,--,126.76148,1.0,128.20921,1.4477223,128.30956,2.8672776,131.17906,8.0,131.17918,131.78392,5.022431,131.78406,139.05379,--
19,19,1,1,1,8.075000e-01,1.615000e+00,1.0,18.0,--,--,139.05693,2.0,140.09225,1.0353343,140.19261,3.2796657,143.4746,4.0,143.47473,144.07935,5.022425,144.0795,144.88945,--
20,20,9,3,3,8.075000e-01,2.422500e+00,1.0,19.0,--,--,144.89742,2.0,146.55878,1.6613501,146.65912,3.46115,150.12271,8.0,150.12283,150.73366,5.8362308,150.7338,151.54298,--
21,21,4,2,1,8.075000e-01,8.075000e-01,1.0,20.0,--,--,151.55542,1.0,152.80888,1.2534664,152.90926,2.2540336,155.16632,8.0,155.16644,155.77109,4.2156615,155.77122,156.58153,--
22,22,6,2,3,2.422500e+00,2.422500e+00,1.0,21.0,--,--,156.59393,1.0,157.64229,1.0483655,157.74265,4.0741343,161.81955,2.0,161.81967,162.42543,5.8314986,162.42557,164.85051,--
23,23,4,2,1,2.422500e+00,1.615000e+00,1.0,22.0,--,--,164.86282,2.0,165.8087,0.9458824,165.90906,3.3691175,169.28163,1.0,169.28174,169.88661,5.0237923,169.88675,172.31154,--
24,24,4,2,1,5.652500e+00,2.422500e+00,1.0,23.0,--,--,172.32362,2.0,173.0589,0.7352821,173.15927,4.387218,177.54843,4.0,177.54855,178.15268,5.829057,178.15282,183.80861,--
25,25,2,1,2,2.422500e+00,8.075000e-01,1.0,24.0,--,--,183.81319,1.0,184.85863,1.0454367,184.95898,2.4620633,187.42369,5.0,187.42381,188.02966,4.2164745,188.0298,190.45482,--
26,26,6,2,3,8.075000e-01,8.075000e-01,1.0,25.0,--,--,190.46793,1.0,191.60854,1.1406065,191.70888,2.3668935,194.07794,1.0,194.07806,194.68344,4.215515,194.6836,195.49347,--
27,27,3,1,3,8.075000e-01,2.422500e+00,1.0,26.0,--,--,195.49649,1.0,196.95879,1.4622931,197.05916,3.6602068,200.7216,2.0,200.72173,201.32545,5.8289723,201.3256,202.13516,--
28,28,3,1,3,4.037500e+00,8.075000e-01,1.0,27.0,--,--,202.13708,1.0,204.20886,2.0717669,204.30923,1.4357331,205.74722,4.0,205.74734,206.35239,4.2152996,206.35252,210.39267,--
29,29,6,2,3,8.075000e-01,2.422500e+00,1.0,28.0,--,--,210.40529,2.0,211.85849,1.4532019,211.95886,3.6692982,215.63034,7.0,215.63046,216.2364,5.831125,216.23656,217.04616,--
30,30,1,1,1,2.422500e+00,2.422500e+00,1.0,29.0,--,--,217.04941,2.0,218.90921,1.8598044,219.00958,3.2626956,222.2754,3.0,222.27553,222.8816,5.8322,222.88174,225.30695,--
