dataset	subject	session	type	runs	strategy	cope	contrast	cope_path	varcope_path	mask_path	ratings_eligible
ds003745	144		act	01,02	fixed_effects	1	C_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope1.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope1.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope1.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	2	C_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope2.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope2.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope2.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	3	F_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope3.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope3.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope3.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	4	F_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope4.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope4.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	5	S_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope5.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope5.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope5.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	6	S_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope6.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope6.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	10	rew-pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope10.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope10.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	11	F-S	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope11.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope11.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	12	F-C	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope12.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope12.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope12.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	13	(F+S)-C	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope13.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope13.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope13.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	14	F-S (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope14.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope14.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope14.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	15	S-C (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope15.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope15.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope15.feat/mask.nii.gz	true
