dataset	subject	session	type	runs	strategy	status	problem	path
ds003745	104		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-104/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	104		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-104/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	105		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-105/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	105		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-105/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	106		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-106/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	106		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-106/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	107		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-107/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	107		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-107/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	108		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-108/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	108		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-108/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	109		act	01	l1_passthrough	unverified	unverified retained L1 runs [1]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-109/L1_task-sharedreward_model-fulltrial_type-act_run-1_sm-6.feat
ds003745	109		ppi_seed-vs	01	l1_passthrough	unverified	unverified retained L1 runs [1]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-109/L1_task-sharedreward_model-fulltrial_type-ppi_seed-vs_run-1_sm-6.feat
ds003745	110		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-110/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	110		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-110/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	111		act	02	l1_passthrough	unverified	unverified retained L1 runs [2]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-111/L1_task-sharedreward_model-fulltrial_type-act_run-2_sm-6.feat
ds003745	111		ppi_seed-vs	02	l1_passthrough	unverified	unverified retained L1 runs [2]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-111/L1_task-sharedreward_model-fulltrial_type-ppi_seed-vs_run-2_sm-6.feat
ds003745	112		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-112/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	112		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-112/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	113		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-113/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	113		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-113/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	115		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-115/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	115		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-115/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	116		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-116/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	116		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-116/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	117		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-117/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	117		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-117/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	120		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-120/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	120		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-120/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	121		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-121/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	121		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-121/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	122		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-122/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	122		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-122/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	124		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-124/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	124		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-124/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	125		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-125/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	125		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-125/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	126		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-126/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	126		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-126/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	127		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-127/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	127		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-127/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	128		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-128/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	128		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-128/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	129		act	02	l1_passthrough	unverified	unverified retained L1 runs [2]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-129/L1_task-sharedreward_model-fulltrial_type-act_run-2_sm-6.feat
ds003745	129		ppi_seed-vs	02	l1_passthrough	unverified	unverified retained L1 runs [2]; 	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-129/L1_task-sharedreward_model-fulltrial_type-ppi_seed-vs_run-2_sm-6.feat
ds003745	130		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-130/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	130		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-130/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	131		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-131/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	131		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-131/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	132		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-132/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	132		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-132/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
ds003745	133		act	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-133/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat
ds003745	133		ppi_seed-vs	01,02	fixed_effects	unverified	unverified retained L1 runs [1, 2]; expected model directory absent	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-133/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat
